gene,shoot_control_1,shoot_control_2,shoot_control_3,shoot_ABA_1,shoot_ABA_2,shoot_ABA_3
AT1G02470,123,108,130,957,715,1902
AT1G02475,3273,5148,2446,5875,6669,5093
AT1G02480,0,0,0,0,1,0
AT1G02490,0,6,7,7,4,3
AT1G02500,17718,37041,20664,34987,43570,29782
AT1G02510,0,2,1,2,0,0
AT1G02520,466,557,619,331,345,259
AT1G02530,13,49,22,50,23,22
AT1G02540,0,0,0,0,0,0
AT1G02550,0,0,0,0,0,0
AT1G02560,13640,20758,9527,19322,20817,14320
AT1G02570,13,8,24,10,16,3
AT1G02575,0,0,4,0,0,2
AT1G02580,25,13,12,8,3,9
AT1G02590,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0
AT1G02610,228,548,218,706,334,289
AT1G02620,2,8,5,4,0,1
AT1G02630,0,4,0,0,0,2
AT1G02640,855,1966,810,639,387,328
AT1G02650,64,179,84,67,71,47
AT1G02660,1026,2437,710,3923,5257,3079
AT1G02670,78,90,97,447,456,459
AT1G02680,558,853,481,945,968,722
AT1G02690,1146,1497,1084,908,983,1088
AT1G02700,142,142,159,254,364,304
AT1G02710,444,445,330,454,653,670
AT1G02720,614,972,520,699,650,605
AT1G02730,2142,2151,1738,1659,1544,1751
AT1G02740,555,995,613,893,911,596
AT1G02750,739,1368,639,1266,1181,909
AT1G02760,2,0,0,0,0,0
AT1G02770,40,59,26,101,129,80
AT1G02780,40995,61761,37535,41311,47828,36548
AT1G02790,0,0,0,1,0,0
AT1G02800,102,109,88,50,81,170
AT1G02810,332,319,295,156,114,139
AT1G02813,0,8,8,2,0,2
AT1G02816,1059,1979,830,4013,6920,4240
AT1G02820,767,2054,504,660,2640,1577
AT1G02830,6,10,12,3,0,8
AT1G02840,4852,7315,4455,7870,6505,5460
AT1G02850,6881,14322,7376,12144,17099,12446
AT1G02860,907,2184,1114,2025,1301,992
AT1G02870,2010,3250,1857,1405,1470,1195
AT1G02880,1343,2694,1275,2341,2916,2083
AT1G02890,5090,10758,5104,8903,8971,6238
AT1G02900,740,863,772,1265,956,875
AT1G02910,2802,4937,1991,3842,4291,2661
AT1G02920,12422,25545,18147,8765,13096,6137
AT1G02930,23460,51537,34814,39195,42061,21946
AT1G02940,82,268,112,345,428,228
AT1G02950,249,385,263,269,334,416
AT1G02952,237,358,240,239,317,393
AT1G02960,775,1173,713,1694,1336,1149
AT1G02965,0,1,0,1,0,4
AT1G02970,179,218,243,210,225,220
AT1G02980,20,12,20,24,18,17
AT1G02990,951,1521,947,2025,1896,1615
AT1G03000,1523,2115,1300,2509,1868,1519
AT1G03010,57,58,53,108,109,114
AT1G03020,42,35,37,18,37,59
AT1G03022,0,0,0,0,0,0
AT1G03030,943,1660,1022,1999,2479,1869
AT1G03040,2723,4460,2585,3950,5213,3978
AT1G03050,14,22,9,16,37,19
AT1G03055,257,567,180,353,441,241
AT1G03060,2415,3395,2329,4705,4218,3673
AT1G03070,10,138,32,98,307,173
AT1G03080,3430,5347,3484,7765,8284,7287
AT1G03090,1107,2035,813,4585,2127,1247
AT1G03100,371,439,314,454,337,264
AT1G03103,0,0,0,0,0,0
AT1G03106,2,8,2,11,11,12
AT1G03110,1110,1565,1142,778,760,864
AT1G03120,12,23,10,40,104,38
AT1G03130,7675,13661,3899,12980,11416,4571
AT1G03140,1758,3203,1625,3279,3219,2086
AT1G03150,1025,1361,931,1215,1226,1086
AT1G03160,2701,3585,1933,3506,2970,2656
AT1G03170,26,31,43,29,16,40
AT1G03180,261,341,178,337,323,290
AT1G03190,734,1308,676,1209,1573,1096
AT1G03200,47,41,64,72,44,36
AT1G03210,738,1071,731,813,777,577
AT1G03220,8445,22616,9146,28247,17819,14231
AT1G03230,2353,5264,2250,2160,2098,1262
AT1G03240,2,0,5,1,0,0
AT1G03250,1382,2299,1250,1989,2584,1912
AT1G03260,507,1012,596,881,816,724
AT1G03270,186,260,147,226,227,177
AT1G03280,1751,2848,1723,3559,3154,2550
AT1G03290,1363,2603,1368,3771,4909,3188
AT1G03300,404,610,402,655,536,367
AT1G03310,2623,3620,2277,3086,5698,4267
AT1G03320,15,16,5,10,6,11
AT1G03330,1463,2251,1258,2183,2060,1499
AT1G03340,173,258,103,355,309,269
AT1G03350,2026,3521,1900,3714,4198,3084
AT1G03360,1258,2326,1517,808,1011,960
AT1G03365,1085,1801,1106,1952,1821,1520
AT1G03370,1794,3972,2101,3524,2732,1912
AT1G03380,1669,2900,1369,4606,4229,2854
AT1G03390,0,2,0,4,4,0
AT1G03400,464,1081,326,1163,1410,570
AT1G03410,837,1439,764,1494,1410,1041
AT1G03430,707,958,621,1214,1043,877
AT1G03440,945,2326,616,642,1463,799
AT1G03445,52,133,54,117,180,136
AT1G03457,449,683,402,568,363,339
AT1G03470,666,865,442,938,968,574
AT1G03475,8785,13598,6462,10778,10208,7042
AT1G03490,0,1,0,1,0,7
AT1G03495,977,2430,1258,2113,4467,3096
AT1G03502,12,19,8,21,18,13
AT1G03506,18,25,11,29,24,19
AT1G03510,183,246,151,175,154,131
AT1G03515,0,0,0,0,0,0
AT1G03520,509,712,426,1199,1486,1034
AT1G03530,1699,2532,2009,1019,1143,1296
AT1G03540,103,205,128,155,126,124
AT1G03545,281,422,274,478,397,332
AT1G03550,351,483,319,583,461,387
AT1G03560,607,972,607,843,671,602
