gene,shoot_control_1,shoot_control_2,shoot_control_3,shoot_ABA_1,shoot_ABA_2,shoot_ABA_3
AT1G15940,1801,2621,1639,2374,2249,1934
AT1G15950,6214,10581,5849,6646,9969,8959
AT1G15960,3625,5139,2882,3603,5134,4597
AT1G15970,724,1262,685,1091,1659,1293
AT1G15980,6010,10701,3094,7649,9645,3807
AT1G15990,39,62,16,56,49,26
AT1G16000,1033,1434,808,1184,1096,846
AT1G16010,2326,3574,2086,4174,4521,3839
AT1G16020,1218,1790,948,1609,1775,1430
AT1G16022,46,42,38,45,41,53
AT1G16025,42,38,33,36,38,46
AT1G16030,335,1636,377,671,939,472
AT1G16040,605,905,576,1074,1144,1012
AT1G16060,482,506,554,1096,999,1026
AT1G16070,163,226,162,161,147,150
AT1G16080,4867,9283,3389,7026,9898,4698
AT1G16090,214,610,262,221,284,144
AT1G16100,0,0,0,0,0,0
AT1G16110,623,1476,929,1259,816,671
AT1G16120,31,28,24,123,66,83
AT1G16130,415,1366,561,1189,1180,737
AT1G16150,41,89,44,70,67,44
AT1G16160,9,15,25,23,5,3
AT1G16170,965,1513,972,2002,1656,1462
AT1G16180,5399,10252,4986,11540,13536,9106
AT1G16190,1441,2297,1511,1547,1689,1444
AT1G16210,2810,5026,2495,4792,5190,3652
AT1G16220,403,527,353,356,429,299
AT1G16225,10,6,4,7,0,0
AT1G16230,6,17,20,3,0,0
AT1G16240,2297,4073,1987,6199,4856,3485
AT1G16250,451,902,353,1151,970,554
AT1G16260,865,1400,742,1301,1072,565
AT1G16270,2115,2944,1945,2423,2812,2868
AT1G16280,982,1631,964,823,968,897
AT1G16290,4,12,2,20,119,32
AT1G16300,1135,2079,1428,1433,2816,2109
AT1G16310,200,228,230,515,421,540
AT1G16320,2759,5050,2082,3937,5589,3455
AT1G16330,258,279,187,217,139,203
AT1G16340,839,1146,688,1159,1137,886
AT1G16350,5346,7587,4582,4671,4870,4080
AT1G16360,37,58,38,41,20,15
AT1G16370,151,280,276,199,202,260
AT1G16380,0,0,2,0,0,1
AT1G16390,968,2110,676,768,637,250
AT1G16400,2168,2200,2919,1101,1319,2286
AT1G16410,2624,3141,5073,2403,3625,8206
AT1G16420,376,930,455,114,216,91
AT1G16430,293,407,272,351,303,345
AT1G16440,33,44,52,34,31,62
AT1G16445,421,486,226,230,223,130
AT1G16450,0,0,0,0,0,0
AT1G16460,2314,3580,1847,3391,4063,2919
AT1G16470,3452,5936,3665,6417,7428,6377
AT1G16480,190,292,177,208,210,195
AT1G16489,63,84,53,78,85,93
AT1G16490,105,124,81,138,119,166
AT1G16500,352,489,247,774,702,436
AT1G16510,214,439,212,528,734,402
AT1G16515,40,54,35,327,568,315
AT1G16520,1044,1538,1099,1419,1912,1693
AT1G16530,60,62,57,82,35,60
AT1G16540,819,1415,784,1827,2179,1787
AT1G16560,2307,3438,2196,4201,4478,3662
AT1G16570,846,1235,706,1472,1409,1343
AT1G16590,139,275,111,215,258,188
AT1G16610,3039,4703,2702,3413,4156,3336
AT1G16630,458,467,393,294,263,379
AT1G16635,26,35,43,5,15,18
AT1G16640,191,481,268,112,143,89
AT1G16650,705,1181,677,556,507,488
AT1G16670,571,1318,745,1167,821,644
AT1G16680,1165,1575,966,1358,1401,1201
AT1G16690,455,646,417,536,535,479
AT1G16700,2863,4524,2547,5127,5840,4225
AT1G16705,13,34,14,50,59,24
AT1G16710,1812,2782,1723,3807,3475,3118
AT1G16720,7483,13031,3907,10518,14460,6608
AT1G16730,331,822,256,389,888,366
AT1G16740,1571,2118,1410,1756,1667,1568
AT1G16750,683,1415,487,1233,1813,1071
AT1G16760,2,0,0,0,0,1
AT1G16770,47,63,36,44,63,25
AT1G16780,1011,1372,914,1299,1355,1099
AT1G16790,618,759,404,669,588,423
AT1G16800,611,922,652,609,669,624
AT1G16810,2807,3025,2169,4499,3389,3067
AT1G16820,186,204,151,394,241,220
AT1G16825,179,355,155,416,356,228
AT1G16830,247,384,272,188,179,208
AT1G16840,1793,2783,1429,6052,5061,3338
AT1G16850,123,120,92,4595,5854,5005
AT1G16858,1709,2810,1800,4938,4660,3377
AT1G16860,1709,2810,1800,4938,4660,3377
AT1G16870,2478,3775,2228,2321,2353,2097
AT1G16880,17549,29187,9709,21530,22358,10401
AT1G16890,6615,9742,5710,12786,11362,9199
AT1G16900,1177,1525,1194,1373,1482,1538
AT1G16905,14,22,37,8,6,10
AT1G16910,4,2,4,0,2,2
AT1G16916,360,348,263,471,233,232
AT1G16920,1488,2200,1357,2037,1901,1565
AT1G16930,293,558,236,501,298,250
AT1G16940,0,0,0,0,0,0
AT1G16950,0,1,0,0,3,4
AT1G16960,426,705,270,659,617,445
AT1G16970,1131,1549,1029,1229,1160,1172
AT1G16980,0,0,0,2,0,1
AT1G17000,0,2,0,3,0,0
AT1G17010,0,3,0,1,0,1
AT1G17020,325,588,352,3712,2961,3696
AT1G17030,10,22,13,20,25,54
AT1G17040,432,605,305,606,608,412
AT1G17050,2880,6721,2020,3766,7938,3663
AT1G17060,389,780,400,903,604,552
AT1G17070,793,1039,715,1170,1165,1020
AT1G17080,1526,2711,1306,3422,3697,2200
AT1G17090,186,276,212,420,352,347
AT1G17100,7470,12476,4176,9858,12629,6813
AT1G17110,2961,4663,2676,4632,5138,4580
AT1G17120,804,1419,670,1765,2109,1376
AT1G17130,2222,3148,1996,2900,3251,2720
AT1G17140,2166,3862,1432,2889,4086,2218
AT1G17145,869,1584,801,1993,1438,1178
AT1G17147,441,1255,372,286,341,94
AT1G17150,2,0,2,3,3,0
AT1G17160,758,1321,764,1528,1595,1213
AT1G17170,11074,23284,8627,9101,22913,10836
AT1G17180,2437,4026,1755,1333,5448,1691
AT1G17190,375,627,401,656,674,496
AT1G17200,1807,3816,1083,2381,2266,1151
AT1G17210,3055,5225,2778,5027,5587,3981
AT1G17220,15906,21804,9155,16180,17152,9715
AT1G17230,694,1287,839,913,1012,1041
AT1G17232,296,515,367,367,409,405
AT1G17235,4,17,20,14,6,21
AT1G17240,31,82,63,181,121,135
AT1G17250,195,341,287,351,313,268
AT1G17255,243,436,328,478,392,352
AT1G17260,117,183,104,250,247,187
AT1G17270,306,489,286,576,525,382
AT1G17280,1907,3297,1677,3881,4424,3319
AT1G17285,82,78,77,88,80,78
AT1G17290,11662,26199,13562,39430,19674,13983
AT1G17300,42,43,50,38,19,17
AT1G17310,4,18,6,98,68,72
AT1G17330,821,1346,715,1109,1234,879
AT1G17340,1123,2151,1014,3020,2519,1900
AT1G17345,39,138,64,81,56,38
AT1G17350,652,721,589,808,614,591
AT1G17360,2261,3611,1994,2727,4196,2988
AT1G17370,2790,5137,2543,4803,6633,4490
AT1G17380,563,1479,897,729,1399,1287
AT1G17400,20,40,41,28,38,48
AT1G17410,310,478,242,514,435,297
AT1G17420,827,2145,1277,2605,3638,3473
AT1G17430,203,318,250,262,350,291
AT1G17440,1820,2699,1502,3390,3845,2980
AT1G17450,862,1221,944,1442,1589,1654
AT1G17455,418,496,300,663,447,412
AT1G17460,544,684,641,605,820,916
AT1G17470,4065,6427,3912,5921,5699,4719
AT1G17480,158,169,178,120,167,155
AT1G17490,497,791,468,977,840,764
AT1G17500,1346,2436,1769,2705,2274,2274
AT1G17510,432,528,372,724,556,485
AT1G17520,733,1096,618,1308,978,835
AT1G17530,1153,2180,1184,2162,2340,1635
AT1G17540,2,0,2,0,4,4
AT1G17545,0,0,0,0,1,1
AT1G17550,1610,2693,1661,5598,9498,6548
AT1G17560,628,807,679,500,385,449
AT1G17570,0,0,0,0,0,0
AT1G17580,2115,3447,1839,3847,3254,2734
AT1G17590,315,580,426,504,508,509
AT1G17600,285,617,300,504,253,167
AT1G17610,133,253,165,148,133,44
AT1G17615,6,4,6,2,4,6
AT1G17620,1435,3130,1946,3040,4009,2819
AT1G17630,232,375,228,275,286,285
AT1G17640,163,283,150,392,293,224
AT1G17650,2222,3654,1405,3061,3403,1607
AT1G17660,0,0,0,0,0,0
AT1G17665,643,781,605,934,277,526
AT1G17670,0,0,0,0,0,0
AT1G17680,1180,1936,1256,2324,2211,1890
AT1G17690,2365,3695,2618,2142,1847,1936
AT1G17700,51,149,77,87,123,134
AT1G17710,16,49,28,48,23,50
AT1G17720,4183,6244,3955,6419,7356,6421
AT1G17730,1212,2035,1093,2478,2453,1750
AT1G17744,1067,3131,1622,4732,9056,7426
AT1G17745,5105,12122,5659,20465,34972,25447
AT1G17750,278,437,413,232,452,543
AT1G17760,1348,2050,1150,2038,1881,1697
AT1G17770,0,0,0,0,0,0
AT1G17780,1028,1685,902,1898,1937,1274
AT1G17790,359,616,424,700,929,627
AT1G17800,0,0,0,0,0,0
AT1G17810,20,57,17,44,51,37
AT1G17820,859,1596,817,1608,2103,1586
AT1G17830,295,859,375,1272,1774,1110
AT1G17840,4997,10904,4370,13000,22890,11978
AT1G17850,2570,3316,1688,3464,3344,2191
AT1G17860,4611,8087,4669,4855,5805,4472
AT1G17870,646,1366,526,1624,4784,1798
AT1G17880,11490,17090,10022,10571,10726,8906
AT1G17890,1967,3417,2110,2651,2904,2537
AT1G17910,0,0,0,0,0,0
AT1G17920,231,405,206,290,423,367
AT1G17930,504,884,531,1027,956,692
AT1G17940,574,897,464,2697,5747,5819
AT1G17950,58,43,61,616,423,407
AT1G17960,131,92,143,326,140,174
AT1G17970,684,778,537,1519,921,760
AT1G17980,1672,2932,1450,3216,2861,2112
AT1G17990,5,14,2,13,8,4
AT1G18000,4,5,2,0,4,0
AT1G18010,5,4,3,0,6,1
AT1G18020,5,10,4,10,10,4
AT1G18030,663,1033,479,1042,805,638
AT1G18040,622,796,562,662,730,820
AT1G18050,0,3,0,1,8,0
AT1G18060,3052,6269,1841,4520,6440,2899
AT1G18070,8697,14647,8972,11672,12697,10913
AT1G18075,106,107,110,187,113,169
AT1G18080,19890,33755,17639,18904,25693,18957
AT1G18090,745,749,566,539,522,437
AT1G18100,408,373,268,769,708,655
AT1G18130,2,2,0,5,3,2
AT1G18140,224,269,273,210,214,279
AT1G18150,2176,3086,2076,3355,3654,3435
AT1G18160,2444,4280,2412,4842,4075,3301
AT1G18170,1578,2796,1037,2294,2776,1544
AT1G18180,212,307,213,432,410,347
AT1G18190,905,1433,970,1700,1726,1717
AT1G18200,258,265,203,437,139,123
AT1G18210,4672,9088,4484,7197,6938,5022
AT1G18220,0,0,0,0,0,0
AT1G18250,1248,1359,1101,684,963,1069
AT1G18260,1581,2857,1690,3160,3818,2690
AT1G18265,97,123,50,232,156,194
AT1G18270,1732,2781,1540,5150,3940,2979
AT1G18280,2,2,0,2,0,0
AT1G18290,59,87,47,274,187,111
AT1G18300,1366,2269,1229,580,1369,757
AT1G18310,0,0,2,0,0,0
AT1G18320,228,388,274,172,136,139
AT1G18330,785,996,365,473,1229,685
AT1G18335,311,506,312,605,574,547
AT1G18340,612,932,628,803,814,772
AT1G18350,90,164,51,50,30,45
AT1G18360,970,1457,779,1759,3855,2549
AT1G18370,1023,926,867,755,763,869
AT1G18382,149,513,334,275,264,207
AT1G18390,1123,3485,2104,2181,1817,1262
AT1G18400,1163,2137,1171,1592,698,279
AT1G18410,35,43,46,29,23,42
AT1G18415,476,706,451,745,656,643
AT1G18420,466,685,440,731,646,628
AT1G18430,4,0,1,4,0,0
AT1G18440,965,1279,785,1037,1170,833
AT1G18450,1939,3035,1738,2637,2489,1976
AT1G18460,1331,2454,987,2808,3543,1929
AT1G18470,1600,2954,1461,4645,2483,2325
AT1G18480,1622,2428,1679,1566,1957,1604
AT1G18485,929,1617,611,1548,1307,790
AT1G18486,0,0,0,0,0,0
AT1G18490,527,795,391,876,806,622
AT1G18500,5249,10103,5722,6174,6500,4901
AT1G18510,0,0,0,0,0,0
AT1G18520,0,1,0,0,2,0
AT1G18530,4,6,5,7,25,1
AT1G18540,22112,33060,19885,17143,20786,16906
AT1G18550,327,413,326,411,631,523
AT1G18560,272,321,262,335,358,422
AT1G18570,4233,12784,4657,4483,4299,1942
AT1G18580,1119,2166,1156,1738,2081,1879
AT1G18590,2791,4055,3800,2088,3520,4131
AT1G18600,901,1441,753,987,1285,997
AT1G18610,709,938,399,792,685,571
AT1G18620,2316,3858,1597,4370,3158,1825
AT1G18630,1063,1388,977,1217,1092,996
AT1G18640,1519,2398,1510,2082,2293,1880
AT1G18650,1024,1284,802,1545,1350,1048
AT1G18660,3694,5543,2560,5264,5689,4136
AT1G18670,888,1113,947,1464,2077,1901
AT1G18680,323,448,255,511,525,368
AT1G18690,426,735,425,793,658,553
AT1G18700,1854,2693,1562,3644,2963,2502
AT1G18710,294,357,163,866,1508,1121
AT1G18720,3380,4976,3154,6325,6309,6100
AT1G18730,5009,7607,3065,7508,7496,4024
AT1G18735,1751,2822,1036,2541,2821,1373
AT1G18740,1508,2492,1359,2865,4110,2423
AT1G18745,654,1057,960,806,517,787
AT1G18750,389,679,295,550,611,424
AT1G18760,0,2,0,0,0,0
AT1G18770,0,0,0,0,0,0
AT1G18773,113,237,93,209,120,79
AT1G18780,0,0,0,0,0,0
AT1G18790,1,0,0,0,0,0
AT1G18800,3499,5051,3726,2997,3487,3446
AT1G18810,406,727,200,773,3245,999
AT1G18820,0,0,0,0,0,0
AT1G18830,6,18,8,108,216,65
AT1G18835,51,53,50,59,64,61
AT1G18840,1465,2260,1324,2813,3091,2249
AT1G18850,1361,2349,1539,943,1046,979
AT1G18860,104,100,97,176,115,148
AT1G18870,143,326,116,1696,3159,2760
AT1G18871,3,2,3,12,19,19
AT1G18879,0,0,0,0,0,0
AT1G18880,477,620,581,784,694,820
AT1G18890,2181,6152,2756,7263,7699,4216
AT1G18900,1318,2575,1423,1313,2153,1661
AT1G18910,844,1249,860,1080,932,894
AT1G18940,43,94,27,88,87,89
AT1G18950,1862,2627,1820,2826,2861,2513
AT1G18960,4,14,4,10,14,2
AT1G18970,334,443,301,400,333,285
AT1G18980,361,474,459,497,487,726
AT1G18990,6,0,0,4,2,6
AT1G19000,5883,10036,4175,11668,13318,6951
AT1G19010,411,778,367,626,643,415
AT1G19020,3534,8215,3221,4736,5090,2064
AT1G19025,209,329,185,249,224,209
AT1G19040,0,0,0,0,0,0
AT1G19050,385,786,858,716,225,242
AT1G19060,0,1,0,0,0,0
AT1G19070,84,130,81,195,142,115
AT1G19080,610,795,527,898,749,765
AT1G19086,0,0,0,0,1,0
AT1G19090,0,2,0,0,0,0
AT1G19100,742,1244,670,967,885,858
AT1G19110,1979,3487,1520,2897,3645,2380
AT1G19115,14,6,10,20,8,3
AT1G19120,1242,1794,1113,1679,1618,1238
AT1G19130,2058,4012,2076,3140,3388,2498
AT1G19140,1690,3022,1415,2193,2842,1902
AT1G19150,3593,5673,1513,4336,5104,1866
AT1G19160,6,18,12,7,10,6
AT1G19170,616,993,557,969,1087,883
AT1G19180,4108,9696,5544,6377,14738,11380
AT1G19190,76,102,89,297,298,275
AT1G19200,100,117,52,710,764,727
AT1G19210,6,16,8,15,36,34
AT1G19220,666,1048,687,1281,677,754
AT1G19230,310,502,383,1700,1390,1392
AT1G19240,532,840,494,746,690,501
AT1G19250,141,138,283,189,177,240
AT1G19260,0,0,2,0,0,0
AT1G19270,702,1450,1049,2137,1819,1464
AT1G19290,503,698,490,601,571,577
AT1G19300,577,1256,644,814,1750,1269
AT1G19310,713,1202,766,1313,1040,860
AT1G19320,8,24,14,4,8,4
AT1G19330,481,678,371,1871,828,565
AT1G19340,237,339,170,349,237,186
AT1G19350,6869,12226,5968,16760,25087,13598
AT1G19360,2013,3492,2445,2572,2445,2182
AT1G19370,982,1314,1156,1416,998,1314
AT1G19371,0,0,0,0,0,0
AT1G19373,6,23,13,3,2,8
AT1G19376,3,11,9,5,0,7
AT1G19380,2934,8492,3986,4453,3944,1979
AT1G19390,0,0,1,0,0,0
AT1G19394,211,351,192,815,431,336
AT1G19396,473,807,397,1793,887,768
AT1G19397,257,435,211,1054,476,408
AT1G19400,1559,2552,1064,3468,2949,1742
AT1G19410,3,3,3,11,3,3
AT1G19430,1192,1597,1053,2025,1859,1540
AT1G19440,1601,2424,1753,2028,3474,2829
AT1G19450,3066,5137,3236,4013,4154,3833
AT1G19460,0,0,0,4,0,0
AT1G19464,0,6,1,4,0,3
AT1G19470,2,2,0,1,7,1
AT1G19480,380,545,316,656,636,511
AT1G19485,1303,1893,1236,2205,1997,1751
AT1G19490,201,258,161,422,673,358
AT1G19500,0,2,0,4,4,2
AT1G19510,8,26,14,8,6,0
AT1G19520,2225,3404,2429,1962,2009,1880
AT1G19530,237,206,118,2123,133,238
AT1G19540,76,108,97,809,144,157
AT1G19550,272,568,271,747,1163,876
AT1G19570,11004,22189,11571,33541,46420,36444
AT1G19580,1796,2768,1662,2438,2819,2449
AT1G19600,2135,3244,2033,3249,2500,2155
AT1G19610,109,212,151,78,44,51
AT1G19620,68,128,40,49,63,46
AT1G19630,137,285,152,164,664,605
AT1G19640,67,154,91,94,210,289
AT1G19650,1074,1698,980,1753,2394,2017
AT1G19660,3423,6209,1775,11917,14857,6334
AT1G19670,2979,7151,2971,3025,6944,5855
AT1G19680,1045,1858,1047,2363,2058,1612
AT1G19690,706,879,590,1078,992,743
AT1G19700,1654,2856,1243,2508,4072,3115
AT1G19710,966,1494,943,1308,1462,1263
AT1G19715,2403,3616,1701,4234,3466,2955
AT1G19720,2521,3904,1855,4398,3169,2403
AT1G19730,635,1053,564,905,783,633
AT1G19740,3179,5614,2481,4226,4227,2891
AT1G19750,109,175,97,102,98,70
AT1G19770,9006,24671,6049,7688,10717,3528
AT1G19780,18,19,16,13,11,13
AT1G19790,83,66,63,104,74,115
AT1G19800,2202,3639,1950,2393,2988,2155
AT1G19830,20,28,9,30,30,28
AT1G19835,3216,5258,3418,6450,7206,5699
AT1G19840,71,101,114,131,93,101
AT1G19850,1111,1027,1013,3033,2704,3911
AT1G19860,839,1217,834,1189,1722,1522
AT1G19870,3423,5317,3048,5539,6282,4476
AT1G19880,2122,3089,1851,3359,3087,2957
AT1G19890,0,0,1,1,0,0
AT1G19900,51,56,65,45,42,41
AT1G19910,6676,11597,6534,14292,15373,11857
AT1G19920,5050,7240,4176,4499,6370,5069
AT1G19930,0,0,0,0,0,0
AT1G19940,56,138,76,121,128,95
AT1G19950,375,536,355,456,402,306
AT1G19960,178,541,232,194,377,119
AT1G19968,0,2,3,8,20,11
AT1G19970,245,537,230,1663,4200,2660
AT1G19980,278,446,294,471,526,380
AT1G19990,765,910,690,765,588,669
AT1G20000,1,0,0,0,0,2
AT1G20010,10104,12968,6813,11714,7533,6387
AT1G20015,9,18,27,13,4,9
AT1G20020,39501,52534,24886,49231,43478,29280
AT1G20030,128,182,197,716,773,742
AT1G20040,0,0,0,0,0,0
AT1G20050,2558,3748,2548,4419,4740,3713
AT1G20060,274,266,205,346,185,288
AT1G20065,58,63,37,54,43,34
AT1G20070,681,682,458,709,1165,1222
AT1G20080,14,9,27,9,17,12
AT1G20090,3034,4604,2678,5653,6101,4601
AT1G20100,5617,9486,6570,8866,8253,7861
AT1G20110,3220,5477,3376,7940,7419,5896
AT1G20120,10,25,25,14,18,41
AT1G20130,6,7,4,2,2,0
AT1G20132,0,0,0,0,0,0
AT1G20135,0,0,0,0,0,0
AT1G20140,774,1464,797,677,990,804
AT1G20150,6,0,3,0,4,3
AT1G20160,265,299,354,687,720,975
AT1G20170,0,0,0,0,0,0
AT1G20180,2,0,4,138,126,205
AT1G20190,1110,1320,698,883,1188,681
AT1G20200,3502,5831,3399,5711,7243,5852
AT1G20210,0,0,0,0,0,0
AT1G20220,4504,6848,4571,3577,3984,3904
AT1G20225,1777,3474,1545,3847,4305,3183
AT1G20230,228,293,233,220,241,261
AT1G20240,0,0,0,0,0,0
AT1G20250,0,0,0,0,0,0
AT1G20260,8303,14147,7895,16964,18815,15554
AT1G20270,656,1050,695,1752,1256,1068
AT1G20280,0,0,0,1,0,0
AT1G20290,39,65,36,34,42,46
AT1G20300,957,1728,1090,865,903,837
AT1G20310,131,330,255,420,534,402
AT1G20320,0,2,4,0,0,2
AT1G20330,4562,7379,4593,6764,8814,6623
AT1G20340,75315,117843,42676,84682,88533,42315
AT1G20350,93,145,71,118,181,128
AT1G20360,0,0,0,0,0,0
AT1G20370,1120,1835,1234,1152,1189,1051
AT1G20375,1,0,1,0,3,1
AT1G20380,386,491,435,426,482,401
AT1G20400,96,120,105,136,96,87
AT1G20405,0,0,0,0,1,0
AT1G20410,859,1082,815,933,1094,1055
AT1G20420,0,0,0,0,0,0
AT1G20430,1320,1930,1331,1324,1452,1282
AT1G20440,7962,10429,4458,100260,125741,77296
AT1G20450,3611,5632,3022,49720,81191,49133
AT1G20460,402,805,349,837,942,667
AT1G20470,135,236,95,132,164,117
AT1G20480,214,255,181,340,298,319
AT1G20490,262,399,294,940,864,718
AT1G20500,0,0,0,4,2,0
AT1G20510,3167,8849,4188,3468,6441,3892
AT1G20515,48,123,52,116,87,71
AT1G20520,45,101,46,100,63,51
AT1G20530,104,76,52,95,58,76
AT1G20540,1119,1474,893,1863,1548,1318
AT1G20550,302,524,269,615,466,365
AT1G20560,2465,5225,2196,5305,7524,5429
AT1G20570,94,62,46,75,59,79
AT1G20575,997,1717,931,1635,1786,1430
AT1G20580,2387,3931,2230,2848,2767,2445
AT1G20590,3,0,1,2,0,0
AT1G20600,17,5,1,1,6,1
AT1G20610,472,376,399,523,368,444
AT1G20620,15839,27502,19055,45425,28174,31277
AT1G20630,2337,3811,2309,7674,5764,6239
AT1G20640,1118,1647,907,1756,1914,1313
AT1G20650,1094,1757,709,2592,3071,1546
AT1G20670,1013,1693,934,2116,1953,1525
AT1G20680,6,5,4,4,6,4
AT1G20690,222,324,224,404,225,230
AT1G20691,222,325,218,399,221,228
AT1G20693,8066,7358,6880,16839,8736,11386
AT1G20696,7658,8120,6491,14520,11037,11707
AT1G20700,50,22,35,48,20,26
AT1G20710,0,0,0,0,0,0
AT1G20720,306,348,350,304,283,335
AT1G20730,0,0,0,0,2,0
AT1G20735,0,0,0,0,0,0
AT1G20740,0,2,0,4,2,4
AT1G20750,6,12,12,10,8,5
AT1G20760,2277,3814,2242,4998,4953,3837
AT1G20770,1438,2112,1481,2024,2109,1816
AT1G20780,1935,4425,2158,3353,2814,1694
AT1G20790,0,2,2,0,0,2
AT1G20795,0,4,2,6,0,0
AT1G20800,0,0,0,0,0,0
AT1G20810,1818,2732,1133,2756,2608,1404
AT1G20816,581,861,536,767,639,532
AT1G20820,0,0,0,0,1,0
AT1G20823,506,965,341,348,1382,545
AT1G20830,1089,1651,748,1348,1585,1137
AT1G20840,2150,2678,2028,3749,2133,2190
AT1G20850,1700,2930,2204,2181,3011,3200
AT1G20860,2,4,0,4,0,3
AT1G20870,138,157,112,188,302,228
AT1G20875,3,2,4,1,6,5
AT1G20880,703,1098,560,1894,2094,1329
AT1G20890,488,966,406,607,796,539
AT1G20900,603,699,903,960,580,666
AT1G20910,1116,1791,942,1162,1097,1083
AT1G20920,2608,3539,2730,4874,3774,3900
AT1G20925,0,4,1,4,6,5
AT1G20930,453,572,485,456,436,445
AT1G20940,0,0,0,0,0,0
AT1G20950,4164,6518,4340,3704,4733,4298
AT1G20960,7922,12544,7542,10505,11130,9387
AT1G20967,0,0,0,0,0,0
AT1G20970,3329,5496,3461,10192,7699,6884
AT1G20980,4995,9824,5030,8314,9363,7227
AT1G20990,17,29,21,32,38,36
AT1G21000,3045,6569,3048,4907,7976,4715
AT1G21010,537,1155,712,852,1299,1024
AT1G21050,1500,3392,1134,663,1430,575
AT1G21060,815,1959,748,2115,2216,1223
AT1G21065,3380,6735,2483,5860,6901,3896
AT1G21070,504,787,528,812,831,776
AT1G21080,2088,4290,2145,4086,5386,3468
AT1G21090,427,393,385,397,443,527
AT1G21100,906,3250,1590,980,330,264
AT1G21110,906,2575,1857,761,336,418
AT1G21120,702,2343,1429,759,537,275
AT1G21130,13320,38817,13214,16538,13102,6550
AT1G21140,22,9,26,24,20,58
AT1G21150,127,192,116,131,153,131
AT1G21160,1192,2035,1326,2546,1926,1716
AT1G21170,1317,1777,1220,2316,2078,1986
AT1G21190,1713,2544,1416,1812,2092,1654
AT1G21200,357,710,487,874,813,704
AT1G21202,1,3,6,6,2,8
AT1G21210,17,16,2,16,7,9
AT1G21230,0,0,1,0,0,0
AT1G21240,188,454,228,56,670,228
AT1G21245,3,3,2,0,8,0
AT1G21250,2252,6753,3660,6762,7684,2999
AT1G21270,1581,2859,1805,2931,1513,842
AT1G21280,368,572,286,436,516,382
AT1G21281,0,0,0,0,0,0
AT1G21310,29646,31254,46968,41336,35535,54757
AT1G21320,283,564,281,82,81,53
AT1G21323,0,0,0,0,0,0
AT1G21326,258,592,160,87,131,49
AT1G21327,0,0,0,0,0,0
AT1G21340,11,7,10,8,20,2
AT1G21350,1972,2899,1462,2953,3292,2369
AT1G21360,91,108,75,167,112,74
AT1G21370,902,1757,1070,1919,1944,1590
AT1G21380,2448,4880,2910,4269,5173,4280
AT1G21390,358,702,389,551,653,514
AT1G21395,0,2,0,0,4,0
AT1G21400,1386,2986,1440,7074,15391,10351
AT1G21410,639,1268,465,2817,5918,3344
AT1G21420,0,0,0,0,0,0
AT1G21430,8,4,11,14,4,13
AT1G21440,2151,2664,2665,3386,4178,4693
AT1G21450,1831,3780,1968,3174,3204,2305
AT1G21460,1763,2894,941,2733,5589,3864
AT1G21470,6,23,3,33,21,34
AT1G21475,0,0,0,0,0,0
AT1G21480,553,854,516,1419,1557,1247
AT1G21500,2502,3130,1334,3197,2805,1606
AT1G21510,38,61,30,55,62,51
AT1G21520,627,747,734,1622,1319,960
AT1G21528,1,0,9,0,0,2
AT1G21529,0,0,0,12,2,8
AT1G21530,5,2,12,0,2,0
AT1G21540,198,598,262,145,198,175
AT1G21550,148,534,152,234,445,285
AT1G21560,816,1029,798,973,978,900
AT1G21580,3243,5109,3122,7243,5830,5154
AT1G21590,1892,2715,1761,2025,2730,2241
AT1G21600,5384,6780,4191,5927,3979,3851
AT1G21610,1435,2361,1396,2979,2351,1955
AT1G21620,8,20,4,6,6,0
AT1G21630,4076,6645,3910,8374,8968,7518
AT1G21640,3279,6070,2852,5359,5671,4201
AT1G21650,2094,3024,1846,3259,2973,2484
AT1G21651,465,755,420,1000,979,723
AT1G21660,2062,3383,1805,3716,5233,4037
AT1G21670,1626,2579,2103,2533,2497,2768
AT1G21680,4471,7303,3242,7591,6071,5166
AT1G21690,1196,1542,974,1475,1157,1100
AT1G21695,74,85,60,120,118,94
AT1G21700,1744,2842,1585,2821,2838,2371
AT1G21710,711,1087,600,943,1034,814
AT1G21720,3356,6148,3561,5797,7006,5229
AT1G21722,0,1,0,0,0,0
AT1G21730,1037,1548,966,1517,967,1102
AT1G21738,0,2,1,2,0,3
AT1G21740,444,488,476,471,393,507
AT1G21750,9664,13402,12794,11279,11702,14176
AT1G21760,1470,2822,1233,3064,3384,2185
AT1G21770,2145,3410,1672,4521,4377,2825
AT1G21780,3220,5046,2421,7725,7790,4827
AT1G21790,266,405,170,1576,2603,1386
AT1G21800,0,0,0,0,0,0
AT1G21810,144,155,176,114,179,153
AT1G21830,1254,2413,1279,1480,1453,1124
AT1G21835,0,0,0,0,0,0
AT1G21840,175,270,234,411,338,303
AT1G21850,2,3,7,2,3,3
AT1G21860,3,2,0,1,2,1
AT1G21864,0,0,0,0,0,0
AT1G21866,0,0,0,0,0,0
AT1G21870,0,0,0,0,0,0
AT1G21880,1466,2247,1503,1338,1457,1551
AT1G21890,21,33,20,118,49,104
AT1G21900,1714,3083,1981,2818,2798,2347
AT1G21910,3467,7154,2704,2120,4889,1791
AT1G21920,2057,4297,1756,3752,3248,1986
AT1G21925,0,0,0,0,0,0
AT1G21928,0,0,0,0,0,0
AT1G21930,724,1106,562,1138,923,636
