gene,root_control_1,root_control_2,root_control_3,root_MeJA_1,root_MeJA_2,root_MeJA_3
AT5G04250,690,612,983,968,797,781
AT5G04260,1318,1032,1553,1308,1311,1122
AT5G04267,1,0,0,0,0,2
AT5G04270,644,629,737,569,615,545
AT5G04275,2,2,3,1,0,0
AT5G04280,4070,4152,4888,3494,3340,3046
AT5G04290,2288,2476,3564,2276,1727,2434
AT5G04310,831,675,1285,1815,951,1516
AT5G04320,2652,2562,2979,2178,2062,2052
AT5G04330,179,214,294,948,788,920
AT5G04340,1181,1178,1793,2772,2005,2323
AT5G04347,0,0,0,0,0,0
AT5G04350,0,0,0,0,0,0
AT5G04360,448,381,410,417,394,324
AT5G04370,124,98,214,725,546,677
AT5G04380,0,0,2,0,0,0
AT5G04386,0,0,0,0,0,0
AT5G04390,57,119,136,120,96,118
AT5G04400,9,0,2,0,0,1
AT5G04410,6622,5843,8220,6491,6038,5974
AT5G04420,4880,4504,5741,4311,4114,3847
AT5G04430,13752,14096,17601,11289,10920,10451
AT5G04440,2146,1923,2352,2129,2097,1638
AT5G04460,2113,2007,2821,2463,1907,2284
AT5G04470,2711,2352,3877,3168,2532,2592
AT5G04480,3796,3833,4393,2885,2558,2732
AT5G04490,155,150,255,146,144,143
AT5G04500,0,3,0,1,2,1
AT5G04510,3975,3738,4804,3312,3259,3286
AT5G04520,974,844,1087,1164,1034,853
AT5G04530,4,0,2,8,2,0
AT5G04540,3377,2827,3716,3579,2909,3093
AT5G04550,5569,4183,6438,5167,4123,4349
AT5G04560,5878,5253,7326,5466,4605,6068
AT5G04590,27737,19676,42480,53870,43091,54920
AT5G04600,11037,10667,11850,8308,10499,7304
AT5G04610,205,150,239,203,97,145
AT5G04620,1525,1343,1714,1145,950,1090
AT5G04630,11,12,18,8,12,15
AT5G04640,0,1,0,0,2,0
AT5G04660,138,139,167,81,120,102
AT5G04670,2193,2072,2927,1771,1605,1823
AT5G04680,493,341,712,463,426,510
AT5G04690,128,94,108,114,111,86
AT5G04700,361,214,414,327,339,288
AT5G04710,2702,2889,3001,2382,2497,2059
AT5G04720,5205,4340,6126,4560,3429,3873
AT5G04730,15,14,39,41,6,19
AT5G04740,15693,14689,17441,18564,13917,12012
AT5G04750,9511,7768,8899,11307,8858,5654
AT5G04760,1566,1437,1754,2277,1793,1376
AT5G04770,1055,869,1536,783,891,1049
AT5G04780,383,389,409,299,316,238
AT5G04790,115,88,109,56,74,68
AT5G04800,14956,16071,16027,10522,13543,9981
AT5G04810,1888,1533,2199,1435,1289,1389
AT5G04820,500,588,812,592,605,473
AT5G04830,6005,5141,7466,7003,6385,6300
AT5G04840,713,636,859,571,502,558
AT5G04850,2754,2388,2959,2934,2741,2073
AT5G04853,0,0,0,0,0,0
AT5G04860,5075,4152,5375,5214,3281,3406
AT5G04870,9897,9641,12628,7782,6995,7159
AT5G04885,2317,1826,2313,1725,1524,1506
AT5G04890,1484,920,1894,1403,1241,1448
AT5G04895,2333,2044,2488,1364,1447,1570
AT5G04900,263,273,373,257,233,164
AT5G04910,1837,1805,1827,1798,2081,1270
AT5G04920,3716,3923,4738,4508,3914,3653
AT5G04930,4804,4381,6952,7141,5096,7021
AT5G04940,1977,1813,2399,1369,1329,1369
AT5G04950,5482,3531,5672,2206,1243,1781
AT5G04960,2177,3068,5011,4701,2064,3429
AT5G04970,894,741,1427,627,366,752
AT5G04980,696,550,808,416,382,333
AT5G04990,3211,2711,4059,3183,2282,2620
AT5G05000,4045,3735,4458,3140,2991,2814
AT5G05010,18378,18252,21664,15375,13956,14177
AT5G05020,0,2,2,4,0,0
AT5G05030,0,0,1,0,0,0
AT5G05040,2,9,8,5,3,3
AT5G05050,0,2,0,0,0,1
AT5G05060,785,729,857,748,746,538
AT5G05070,11,9,0,0,2,5
AT5G05080,12079,10968,11731,10359,9931,7434
AT5G05090,289,245,387,214,136,161
AT5G05100,5742,4901,5875,5688,5571,4326
AT5G05110,2099,1645,2251,2448,1278,1321
AT5G05113,0,0,0,0,0,2
AT5G05120,0,0,0,0,0,0
AT5G05130,662,583,584,494,501,448
AT5G05140,4660,4417,6277,6376,4588,4734
AT5G05150,0,2,0,6,10,0
AT5G05160,4365,3145,6537,3777,3210,4558
AT5G05170,29095,26987,39820,27014,21375,26040
AT5G05180,2391,2610,2952,1229,1297,1146
AT5G05190,908,701,1020,794,481,575
AT5G05200,2548,2052,2877,2430,2036,1919
AT5G05210,4983,4558,5681,3668,3565,3496
AT5G05220,6,4,6,8,2,2
AT5G05230,1908,1637,2090,1958,1498,1238
AT5G05240,1007,955,1234,622,638,640
AT5G05250,1946,1605,2741,1689,996,1124
AT5G05260,16,34,48,13,20,28
AT5G05270,7759,8007,17045,3797,6564,9873
AT5G05280,18,4,23,4,3,18
AT5G05282,18,4,23,4,3,18
AT5G05290,0,12,2,0,0,0
