gene,root_control_1,root_control_2,root_control_3,root_ACC_1,root_ACC_2,root_ACC_3
AT3G55800,375,250,279,344,266,519
AT3G55810,2,16,0,0,0,0
AT3G55820,260,190,241,254,146,228
AT3G55830,3462,2888,4007,3525,2705,3625
AT3G55840,1331,1128,1394,1335,1134,1271
AT3G55850,2505,2114,2644,2239,1676,2318
AT3G55860,8,2,8,0,0,6
AT3G55870,12,6,10,7,10,0
AT3G55880,1616,1270,1974,2020,1015,1408
AT3G55890,457,439,568,805,347,373
AT3G55900,144,143,128,213,140,156
AT3G55910,174,196,167,248,177,135
AT3G55920,1332,1424,1868,1490,1240,1684
AT3G55930,20,14,28,12,6,4
AT3G55940,137,120,269,153,146,181
AT3G55950,889,998,1614,939,703,1203
AT3G55960,3606,3198,4310,4012,3266,4254
AT3G55970,21,32,69,12,45,28
AT3G55980,2524,1668,3466,2038,1616,2936
AT3G55990,810,839,1641,898,633,1232
AT3G56000,254,393,491,273,310,293
AT3G56010,357,305,427,378,310,427
AT3G56020,13856,11454,12218,10469,10450,10132
AT3G56030,659,786,1029,778,658,795
AT3G56040,1187,1064,1376,1109,914,1221
AT3G56050,4110,3295,4613,4558,2998,3889
AT3G56060,557,597,693,745,531,511
AT3G56070,9903,11172,10974,8810,10090,9160
AT3G56080,407,483,434,235,309,309
AT3G56085,0,0,0,1,0,0
AT3G56090,3795,3391,3956,2707,2981,3023
AT3G56100,1836,1449,1521,1428,1075,930
AT3G56110,3266,3242,3969,2961,2761,2970
AT3G56120,2842,2528,2897,2339,2093,2538
AT3G56130,7018,7186,9236,6521,5596,6846
AT3G56140,1757,1606,1929,1850,1377,2147
AT3G56150,22278,20606,26251,21180,17851,21474
AT3G56160,1499,1518,1497,1380,1148,1546
AT3G56170,2989,2299,3195,3928,2029,2751
AT3G56180,13,5,5,7,2,6
AT3G56190,11281,10424,13144,11882,9856,11852
AT3G56200,2419,2659,2968,3312,2634,2991
AT3G56210,2284,2022,2508,2377,2022,2245
AT3G56220,636,708,685,544,586,600
AT3G56230,342,401,768,500,395,713
AT3G56240,32700,29941,42728,38665,24741,33259
AT3G56250,328,292,374,343,239,286
AT3G56260,175,124,163,176,176,140
AT3G56270,895,734,983,711,706,784
AT3G56290,1492,1262,2015,642,1469,2031
AT3G56300,333,310,394,273,255,352
AT3G56310,9052,7978,10996,10164,7955,10008
AT3G56320,1197,973,1312,1166,917,1288
AT3G56330,281,285,322,184,248,203
AT3G56340,24284,22353,22572,18150,21020,18481
AT3G56350,43,51,87,70,88,76
AT3G56360,6982,6838,10427,10741,6424,9937
AT3G56370,9024,7769,7668,6568,4830,4868
AT3G56380,6,4,0,9,2,8
AT3G56390,0,2,0,0,0,0
AT3G56400,640,481,670,1270,576,906
AT3G56408,2419,2087,3250,2720,1835,2985
AT3G56410,2400,2067,3218,2706,1819,2954
AT3G56420,4,2,3,2,0,4
