sample,condition
shoot_control_1,control
shoot_control_2,control
shoot_control_3,control
shoot_IAA_1,IAA
shoot_IAA_2,IAA
shoot_IAA_3,IAA
shoot_ABA_1,ABA
shoot_ABA_2,ABA
shoot_ABA_3,ABA
shoot_MeJA_1,MeJA
shoot_MeJA_2,MeJA
shoot_MeJA_3,MeJA
shoot_ACC_1,ACC
shoot_ACC_2,ACC
shoot_ACC_3,ACC
