,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3
AT3G13590,379.521015405752,264.339126638792,417.163213006009,292.710488739012,355.054870513286,377.854039656582
AT3G13594,0,2.20282605532326,0,0.992238944878007,0,2.05915007987238
AT3G13600,627.166028110832,756.670750003541,754.426213843529,813.635934799966,792.365854723199,943.090736581551
AT3G13610,13486.5863219917,10913.9016910991,12416.4929709833,19217.6838843972,11480.4545521393,16623.5185948097
AT3G13620,1240.23843761243,1214.85856951078,1248.96647442323,1105.3541845941,1479.5688299102,1111.94104313109
AT3G13630,3.02006113054975,0,1.68210972986294,3.96895577951203,0,2.05915007987238
AT3G13640,133.889376787706,101.32999854487,84.9465413580785,170.665098519017,135.358161779259,115.312404472853
AT3G13650,4052.92203719777,3674.3138602792,4159.01630708612,4524.60958864371,5136.32163120833,5159.20052512026
AT3G13660,13.0869315657156,8.81130422129305,24.3905910830126,14.8835841731701,8.32973303256976,5.14787519968096
AT3G13662,0,0,0,0,1.04121662907122,0
AT3G13670,10977.9222095483,10314.7330040512,11196.9634168327,12510.1486170219,10196.6344484945,12133.541845648
AT3G13672,4172.71779537624,3791.06364121134,3651.01916866751,5126.89862818466,5724.60902663357,4226.40553893807
AT3G13674,816.42319229195,759.974989086526,775.452585466815,616.180384769242,835.055736515119,538.467745886628
AT3G13677,541.597629411922,646.529447237378,583.69207626244,568.552915415098,661.172559460225,596.123948123055
AT3G13680,29.1939242619809,29.7381517468641,21.8674264882182,35.7206020156082,53.1020480826323,60.7449273562353
AT3G13682,370.460832014103,382.190320598586,389.408402463271,428.647224187299,311.323772092295,446.835567332307
AT3G13686,1.00668704351658,0,1.68210972986294,4.96119472439003,2.08243325814244,5.14787519968096
AT3G13690,3330.12073995286,3450.72701566389,4025.28858356202,6293.7716273612,4129.46515089646,5845.92707675769
AT3G13700,1929.81906242129,1669.74214993503,1544.17673201418,1770.15427766236,1585.77292607547,1391.98545399373
AT3G13710,1930.82574946481,1670.8435629627,1544.17673201418,1770.15427766236,1585.77292607547,1391.98545399373
AT3G13720,2184.51088443099,2064.0480138379,2246.45754423196,1846.55667641797,1525.38236158934,1478.46975734837
AT3G13724,1.00668704351658,2.20282605532326,0,4.96119472439003,4.16486651628488,3.08872511980857
AT3G13730,4490.83090112748,2603.7403973921,5501.33987151675,1820.75846385114,1407.72488250429,4135.80293542368
AT3G13740,996.620173081418,1062.86357169347,1129.53668360296,1104.36194564922,1333.79850184023,1105.76359289147
AT3G13750,9903.78713411615,9542.64247166038,10468.609903802,10225.0223269679,8907.60826170429,10911.4362732438
AT3G13760,1537.21111544982,1638.90258516051,1553.42833552843,1449.66109846677,931.888883018742,1493.91338294741
AT3G13770,112.748948873857,90.3158682682538,102.608693521639,123.037629164873,71.8439474059142,125.608154872215
AT3G13772,9567.55366158161,8549.16792070958,9298.70258668233,9109.74575292498,7992.37884475069,9500.91846853117
AT3G13780,578.845050022036,712.614228897076,675.36705653997,636.025163666802,673.66715900908,663.046325718907
AT3G13782,680.520441417211,1095.90596252332,1210.27795063639,868.209076768256,845.467902805831,895.730284744487
AT3G13784,137.916124961772,175.124671398199,158.118314607116,114.107478660971,115.575045826905,73.0998278354696
AT3G13790,15630.829724682,17772.4006143481,21707.6260638812,33955.4089326703,24541.4759472087,32240.1128005619
AT3G13800,1143.59648143484,1252.30661245128,1101.78187306023,1416.91721328579,1631.5864577546,1325.06307639788
AT3G13810,930.178828209324,806.234336248314,1127.01351900817,2037.06655383455,1437.92016474736,2226.97081138198
AT3G13820,4.02674817406634,4.40565211064653,7.56949378438323,5.95343366926804,0,14.4140505591067
AT3G13830,0,0,1.68210972986294,1.98447788975601,0,0
