"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",2073.40620773486,0.129881366678391,0.172114369915537,0.75462244519228,0.450475552321841,0.7942968617521
"AT1G01020",1849.91935578766,0.285952221954159,0.170510122207014,1.67703956957457,0.0935347444021725,0.372574689641964
"AT1G01040",3305.79594145797,0.0803918768531122,0.19071504898977,0.421528753388645,0.673369019490799,0.906095267804987
"AT1G01050",8711.33013922681,0.0207863844863887,0.130793518990309,0.158925187171765,0.873727816394473,0.971916497768863
"AT1G01060",2207.78657037463,-0.228107523733235,0.121320352038378,-1.88020822475916,0.0600797051211318,0.281603048775311
"AT1G01070",1410.40017864061,0.524119738934063,0.26285743570422,1.99393156799957,0.0461595335203134,0.236291808835746
"AT1G01080",730.62236711513,0.305504963160775,0.133290564902308,2.29202242022673,0.0219043494674619,0.141002002158476
"AT1G01090",11799.3391685041,-0.209838958933526,0.11425793969314,-1.8365372200574,0.0662782426050716,0.299420445544225
"AT1G01100",34822.2845308071,0.201766981980743,0.243723129862585,0.827853236968122,0.40775362083534,0.764451180894169
"AT1G01110",1313.76316459871,-0.127754132077732,0.12394507820285,-1.03073178806381,0.302666613576373,0.680933564461481
"AT1G01120",4072.54083789831,0.347908464669925,0.164219042260687,2.11856347400713,0.0341273753285015,0.192585430438293
"AT1G01160",3646.72891960536,0.182818526690486,0.138426984767249,1.32068560908031,0.186606214451227,0.545512756737738
"AT1G01170",814.920905831843,0.0357580735192725,0.17161932300928,0.208356919793577,0.834950291136492,0.961627944944995
"AT1G01210",1697.28887031136,0.246788016850189,0.152676068382212,1.61641585000981,0.106004433750505,0.40075608459138
"AT1G01220",2249.6258981629,-0.251193128191438,0.129481991234912,-1.93998505734835,0.0523815058927319,0.256946080272539
"AT1G01230",2642.05857233429,0.0256312361619106,0.132480588364826,0.193471635945088,0.846589617616596,0.965127058291511
"AT1G01240",939.705778530335,0.386768517068712,0.153636346012916,2.51742850637828,0.0118214958382391,0.0895155746807076
"AT1G01260",2278.50060340161,-0.150979456947125,0.133717748892014,-1.12909062707188,0.258859604846848,0.639394952615011
"AT1G01290",1578.47520237263,-0.0167985465841851,0.157553909045177,-0.106620944449993,0.91508970203158,0.982343078490545
