"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01260",2725.85927018064,0.526910014784202,0.132231818407442,3.98474452767977,6.7552762673237e-05,0.00097306339041674
"AT1G01430",2077.64990987196,0.649080240075191,0.123152942871005,5.27052155590842,1.36036647755205e-07,3.22297914127218e-06
"AT1G01650",4088.83578406154,0.703722636405955,0.109270092431028,6.44021269452253,1.19306192369024e-10,4.10911894792178e-09
"AT1G01710",3320.99540236403,0.67236752715024,0.106894491584218,6.29001099294726,3.17443490753934e-10,1.03611400178752e-08
"AT1G01720",3553.79935876083,0.527004799581058,0.137302654755707,3.83827101172022,0.000123903687162497,0.00166911937242368
"AT1G01800",8047.94378607335,1.01044259986686,0.109431046231367,9.23360083509119,2.61683568760484e-20,1.89298120147866e-18
"AT1G02310",464.181691994758,1.37579639318161,0.179666091301356,7.65751836207069,1.89560252196868e-14,8.94538318956017e-13
"AT1G02500",70079.6543083479,0.709037808005066,0.0849947768904739,8.34213388098833,7.29617806393214e-17,4.21971441111023e-15
"AT1G02850",4335.11750971878,0.807460962559235,0.155982086680323,5.17662623794798,2.2593419817574e-07,5.17741564757039e-06
"AT1G03080",12260.9952269437,0.671355508221815,0.14003648711024,4.79414702607691,1.63368431363153e-06,3.34803723102674e-05
"AT1G03200",199.768896236035,0.636573087667189,0.186990042889592,3.40431542680084,0.000663301102076656,0.00713582108695613
"AT1G03457",1793.17202560527,1.25622927400394,0.12578167452265,9.98737915337363,1.73097834292367e-23,1.43683655544268e-21
"AT1G04180",848.851374166201,0.972071768698094,0.186655208881831,5.20784699511655,1.91044351219888e-07,4.45307015025267e-06
"AT1G04440",8657.48049501207,0.438167856635879,0.118699723522121,3.69139744924698,0.000223025317162503,0.00280379697914954
"AT1G04980",5333.02880089187,1.05228511557377,0.194915655789978,5.39866903614765,6.71370941190926e-08,1.66229139902595e-06
"AT1G05010",3629.96755027207,0.805685263873763,0.218909210793349,3.68045392404403,0.000232819127832767,0.00290878949316131
"AT1G05100",152.02726830618,1.17755764030052,0.230857607407424,5.10079634595854,3.38227347070399e-07,7.58497012730468e-06
"AT1G05200",1626.03206889856,1.59903471025194,0.163015803392168,9.80907787452442,1.02904595768989e-22,8.21670052583109e-21
"AT1G05575",484.923947240359,0.969882519995006,0.161188757379885,6.01706059256488,1.77612612488088e-09,5.34366185889846e-08
"AT1G05620",8843.81753619381,1.26274225323249,0.122368477002395,10.3191792867356,5.77143705359476e-25,5.39197090885639e-23
"AT1G05680",940.349007883461,0.857342762105907,0.2586616241946,3.31453405496634,0.000917959974553226,0.00936879450366663
"AT1G05805",1938.79629508655,0.49025557317419,0.101835772035105,4.81417839111768,1.47806729856076e-06,3.04534651621323e-05
"AT1G06180",1998.94134839403,0.823040757411049,0.106418337994796,7.73401251061917,1.04208786536084e-14,4.97872041015877e-13
"AT1G06570",1637.97339747319,0.576339901459933,0.138461636553748,4.16245189501433,3.1484848444502e-05,0.000491240272282168
"AT1G06620",10986.2157252239,2.0811215847239,0.166332355683758,12.511826554544,6.43278029408608e-36,1.13315143562084e-33
"AT1G06640",27928.9089416504,1.29502211147923,0.12984210289599,9.97382268613291,1.98440821386751e-23,1.641297632373e-21
"AT1G06645",214.884434214619,3.60569914520601,0.229712939632517,15.6965434815044,1.59710279751996e-55,5.58405214478342e-53
"AT1G06800",2317.41816678029,0.557182943347579,0.0955123149885105,5.83362410820641,5.42362312837528e-09,1.52815051661035e-07
"AT1G07260",2320.01025389923,0.460403361455502,0.112213626145345,4.102918489232,4.07971009936779e-05,0.000618251052011844
"AT1G07640",2669.73007328742,0.843044003636223,0.228938201848022,3.68240860123409,0.000231040712129535,0.00289283530824805
"AT1G07750",6101.26024746004,0.797587069683825,0.126362023077398,6.31192070417623,2.75593435905579e-10,9.07217421819848e-09
"AT1G07985",190.069166417437,1.11578605207792,0.271158030304831,4.11489215651691,3.87360476702989e-05,0.000590795132874962
"AT1G08200",24260.3345996616,0.709142790624943,0.100814276506665,7.03415047151638,2.00478683853181e-12,8.11622124315087e-11
"AT1G08210",2029.16900522161,0.558039198983272,0.167745203555151,3.32670733443534,0.000878786169797835,0.00906115712880019
"AT1G08920",9222.41754822056,2.20968867866481,0.108770388940384,20.3151675763146,9.44271996641005e-92,9.90455481567629e-89
"AT1G09090",3786.77045541305,2.18542259418966,0.157337260550327,13.8900511331238,7.27833431952565e-44,1.67954842757374e-41
"AT1G09210",39045.4022117299,1.00541702558947,0.147525704874352,6.81519892716855,9.4133417640295e-12,3.59045081895446e-10
"AT1G09500",51.0072183339769,1.47022466119774,0.380810866239245,3.86077392096807,0.000113028449190824,0.00154151565811315
"AT1G09850",3197.68390883841,0.583168195536905,0.151518826924564,3.84881672709389,0.000118689763576294,0.00160732686871277
"AT1G10070",470.83347761262,1.16784055693872,0.289990202169773,4.02717246376145,5.64516259972839e-05,0.000828148583288826
"AT1G10140",3205.73446346262,1.4047812999988,0.247818621980895,5.66858652013287,1.43980359802798e-08,3.858874312206e-07
"AT1G10150",1122.09585130167,0.588949458480728,0.151004365599482,3.90021477950401,9.61073895183471e-05,0.0013392355800274
"AT1G10360",319.920410763176,1.37938379330625,0.305994329857481,4.50787370455103,6.5480531905499e-06,0.000119827815563148
"AT1G10500",2962.17634035012,0.504214956540843,0.126398042262615,3.98910416265185,6.63232951257714e-05,0.000958344620114152
"AT1G10530",506.694160634859,0.793442489816012,0.165468507962509,4.79512687692686,1.62571902305966e-06,3.33467486009998e-05
"AT1G10585",80.6861926717657,4.81903484173756,0.640623258287307,7.52241630224471,5.37730414623631e-14,2.46203711266963e-12
"AT1G10700",4055.74989903951,1.31718018382473,0.117984020941324,11.164055719713,6.11373899168133e-29,7.34795005062699e-27
"AT1G11100",1282.01824272958,0.378836577708354,0.109403465039935,3.46274752422211,0.000534689859425207,0.00595487605989193
"AT1G11185",2048.06931339044,2.15950063270608,0.316972005027274,6.81290649791065,9.5646311692322e-12,3.63613556608241e-10
"AT1G11440",877.10742294162,0.89064148945442,0.231935889290691,3.84003308922216,0.000123017728528341,0.00166106325542423
"AT1G11580",136267.961283296,1.10004350942219,0.127370195919563,8.6365848892695,5.79183666673121e-18,3.56406461123972e-16
"AT1G11670",7559.34351918808,0.608319467781406,0.133227531702083,4.56601920045853,4.97073258502259e-06,9.31800366628604e-05
"AT1G11720",1620.44586493097,1.01718867267913,0.139366654216686,7.29865173556948,2.90665588459785e-13,1.26554700364113e-11
"AT1G11840",58477.8240689067,0.683454519067427,0.168698618382447,4.0513344188629,5.09263591195861e-05,0.000755740619320623
"AT1G12240",14186.37616408,1.39774177253852,0.184606805051139,7.57145313333017,3.69072223125412e-14,1.71362386737264e-12
"AT1G12250",342.86857469087,0.832208895916694,0.186464579777704,4.46309372487162,8.0784695192859e-06,0.000144960157563796
"AT1G12540",12.6275464206814,7.23448309303012,1.38999174534102,5.20469500432553,1.94315480925341e-07,4.52018552200925e-06
"AT1G12750",1325.38164372413,0.619529214339545,0.143973100251874,4.30309004429098,1.68432355818545e-05,0.000279621945530125
"AT1G13190",3337.47835019672,0.443276030274609,0.116624925488789,3.80086871152789,0.000144189688891683,0.00190163121366623
"AT1G13195",1525.25311684592,0.526237817702951,0.118961392911695,4.42360168137553,9.70689139178543e-06,0.000170887176210389
"AT1G13210",5420.86693672571,0.687328161361762,0.198378502736823,3.46473106651883,0.000530761958917833,0.00591398501399706
"AT1G13245",1318.66575813252,1.12885145155639,0.25401295054711,4.44407046619079,8.82726718620935e-06,0.000156932216940652
"AT1G13260",2913.00640173278,1.47909575216343,0.241422205346585,6.12659365794478,8.97803676088873e-10,2.80348005810918e-08
"AT1G13280",9249.98573701332,1.42468870726307,0.0905067349258052,15.7412452060168,7.88761169216656e-56,2.8439769907568e-53
"AT1G13360",7365.06483650787,0.629995269870518,0.135426947922107,4.65191957388622,3.28859345730483e-06,6.35042532391349e-05
"AT1G13390",3020.12269395573,0.728204592309203,0.133145293693948,5.46924770756882,4.51949745446316e-08,1.13855811418332e-06
"AT1G13420",2826.71411262435,1.65007374421528,0.309767427910562,5.32681487961898,9.99499376943676e-08,2.40756238229147e-06
"AT1G13990",1935.42865982121,0.772687492736056,0.14415396212242,5.36015438881842,8.31508595533952e-08,2.02190646475674e-06
"AT1G14010",6042.095322536,0.405461235114587,0.121103233907474,3.34806282237162,0.000813785619561397,0.00849340432247797
"AT1G14120",11575.6815674882,2.85825209677831,0.183283806383373,15.5946788381278,7.91203064483211e-55,2.57152139662177e-52
"AT1G14130",2401.63867417703,1.67931815173508,0.133316379855831,12.5964877950565,2.20757713428874e-36,3.91861922698823e-34
"AT1G14240",6536.42285209513,1.79920001412775,0.220640772295077,8.15443127493031,3.50826842601565e-16,1.88710494635751e-14
"AT1G14250",27.4470567605821,2.44718734277738,0.73727180973356,3.31924713581787,0.000902605093992905,0.00924889660256673
"AT1G14290",3546.13325660674,0.565541945834801,0.154571846269759,3.65876425418259,0.000253434333337808,0.00312740677866484
"AT1G14360",6232.35747181888,1.10351434753573,0.173308816072054,6.36732955972038,1.92347600315205e-10,6.4309143961449e-09
"AT1G14370",2790.96321341703,0.737214585805119,0.173839461840348,4.24077811792911,2.22746246276612e-05,0.000360455286050428
"AT1G14600",281.850837870389,0.798312186863721,0.189650215631788,4.20939245549644,2.56058285708206e-05,0.00040869666102619
"AT1G14860",3954.63570947204,0.856734469004387,0.158851992991249,5.39328750537983,6.91801266670606e-08,1.70738032403111e-06
"AT1G14890",1048.27686449167,0.74173439424581,0.166123045870456,4.46496986832412,8.00800210772023e-06,0.000143807514893192
"AT1G15030",2713.37310644568,0.585694750398268,0.0998709543988048,5.86451540314186,4.50446283040172e-09,1.28485765481273e-07
"AT1G15040",3540.90647734122,1.75012964284802,0.343564023537486,5.09404222487534,3.50508648005046e-07,7.85275491394606e-06
"AT1G15290",4235.92678422978,1.01319885749703,0.289138632577152,3.50419744489408,0.000457985655633749,0.00521385149945949
"AT1G15380",8144.2174617976,1.29320852649229,0.24816969524142,5.21098486756914,1.87840774972095e-07,4.38726085349804e-06
"AT1G15960",5430.00551126841,0.526469131620561,0.136781742012895,3.84897226686093,0.000118614434142055,0.00160732686871277
"AT1G16370",1773.99995003313,2.99980461459908,0.333022725701131,9.00780752509737,2.10216903063411e-19,1.4060768855337e-17
"AT1G16490",371.159894914477,0.550747457209765,0.150929140560643,3.64904653378367,0.000263215426703527,0.00323599317347394
"AT1G16540",1860.14139627411,0.337324135512043,0.0932898618550283,3.6158713155374,0.000299339059516991,0.00362600952095228
"AT1G16670",2087.70206373388,0.936228969988105,0.153874323633491,6.08437423398906,1.16947157751046e-09,3.5886603886478e-08
"AT1G17170",7315.47214559878,1.18040672004695,0.195926071884292,6.02475570859229,1.69365239440286e-09,5.11553961429848e-08
"AT1G17180",10138.8323193542,1.24601018595326,0.159491362267206,7.81239916846243,5.610952810298e-15,2.75485844788163e-13
"AT1G17190",15662.7318056055,3.55212005050071,0.198208641028237,17.9211160122664,8.06929662587607e-72,4.77454074201836e-69
"AT1G17340",2182.46289826167,0.831610153733102,0.174951743040888,4.75336878203463,2.00054960257431e-06,4.04598445477692e-05
