"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01453",169.128222327349,0.986791177636553,0.270639204646375,3.64615015376624,0.000266198467184771,0.0203565126143093
"AT1G03790",43.1934262248836,1.61277038875837,0.374488493838139,4.30659530344727,1.65786519435815e-05,0.00234892541695148
"AT1G04310",999.059481736949,0.954379069497614,0.199031138984779,4.79512439292527,1.62573916844169e-06,0.000339583795378482
"AT1G05010",3880.17029192567,0.840448629914157,0.136345332625257,6.16411734623963,7.08773692936477e-10,3.47591863890304e-07
"AT1G05680",931.829815995421,0.720014587859555,0.211489596056497,3.40449176359111,0.000662872993105725,0.0402482998093124
"AT1G06080",1142.48729221279,1.26341556897932,0.29781902815068,4.2422258135236,2.21313842368568e-05,0.0029196602163699
"AT1G06160",502.290005859395,1.53070141339462,0.193671891822872,7.90358063313889,2.71003709413989e-15,3.21766983193167e-12
"AT1G06645",87.8333143904358,2.03986347253345,0.514181216049102,3.96720729747283,7.27197382110031e-05,0.00756997506785482
"AT1G07260",2542.35270833963,0.559362986457111,0.120391541377169,4.64619839615402,3.38107853201946e-06,0.000605347227014501
"AT1G07680",61.4266710850931,2.04479524006759,0.524981741173475,3.89498353885019,9.82053988831309e-05,0.00971673505879189
"AT1G09530",463.607504268934,0.643214101853883,0.181450341773658,3.54484921641112,0.000392837740784048,0.0272677741364534
"AT1G10550",223.492789021223,0.640926657787797,0.181071659005294,3.53962989740464,0.00040068852501524,0.0277274001098736
"AT1G10585",22.2083668479698,2.73121246106785,0.626542809020557,4.3591793278059,1.30551101727094e-05,0.00193756730517204
"AT1G13590",2255.20253209726,0.422098803184595,0.121805988841859,3.46533702651194,0.000529567381724205,0.0345753335850386
"AT1G13990",1700.54202119095,0.333682169609816,0.100197145664073,3.33025624031785,0.000867660966910996,0.0484494152290722
"AT1G14890",1130.97078988934,0.799955523913351,0.215243012148275,3.71652262217128,0.000201983563648211,0.0168138273518081
"AT1G15125",628.625618368056,1.66738203995303,0.311673011731912,5.34977998475929,8.80612239390015e-08,2.57996513096096e-05
"AT1G17345",163.393570022417,1.62480803602499,0.28117589041092,5.77861790941764,7.53167525994189e-09,2.99026619218696e-06
"AT1G18265",80.9987160756375,1.4052520631572,0.335418072430925,4.18955380958666,2.79503499148883e-05,0.00350295524294425
"AT1G18290",309.902337203135,0.514389374404691,0.150606794491734,3.41544600388479,0.00063677653001091,0.0393259809715014
