"genes","go"
"AT4G31490","GO:0030126"
"AT4G31490","GO:0030117"
"AT4G31490","GO:0005737"
"AT4G31490","GO:0005198"
"AT4G31490","GO:0006886"
"AT4G31490","GO:0016192"
"AT4G31490","GO:0030126"
"AT4G31490","GO:0030117"
"AT4G31490","GO:0005737"
"AT4G31490","GO:0005198"
"AT4G31490","GO:0006886"
"AT4G31490","GO:0016192"
"AT4G31490","GO:0030126"
"AT4G31490","GO:0030117"
"AT4G31490","GO:0005737"
"AT1G25330","GO:0046983"
"AT1G25330","GO:0006355"
"AT1G51810","GO:0004672"
"AT1G51810","GO:0005524"
"AT1G51810","GO:0006468"
"AT1G51810","GO:0005515"
"AT4G11460","GO:0004672"
"AT4G11460","GO:0006468"
"AT1G73460","GO:0004672"
"AT1G73460","GO:0005524"
"AT1G73460","GO:0006468"
"AT1G73460","GO:0004672"
"AT1G73460","GO:0005524"
"AT1G73460","GO:0006468"
"AT5G26580","GO:0000981"
"AT5G26580","GO:0000987"
"AT5G26580","GO:0045944"
"AT5G26580","GO:0003677"
"AT5G26580","GO:0046983"
"AT3G20530","GO:0004672"
"AT3G20530","GO:0005524"
"AT3G20530","GO:0006468"
"AT3G24110","GO:0005509"
"AT1G63210","GO:0032968"
"AT5G62880","GO:0003924"
"AT5G62880","GO:0005525"
"AT5G62880","GO:0007264"
"AT2G29730","GO:0008194"
"AT4G33330","GO:0005794"
"AT4G33330","GO:0009834"
"AT4G33330","GO:0015020"
"AT4G33330","GO:0045492"
"AT4G33330","GO:0016757"
"AT4G14385","GO:0000123"
"AT4G14385","GO:0016573"
"AT4G14340","GO:0004672"
"AT4G14340","GO:0005524"
"AT4G14340","GO:0006468"
"AT1G20130","GO:0016788"
"AT1G21640","GO:0003951"
"AT1G21640","GO:0006741"
"AT5G05700","GO:0004057"
"AT5G05700","GO:0016598"
"AT5G14800","GO:0004735"
"AT5G14800","GO:0006561"
"AT1G01320","GO:0006996"
"AT1G04140","GO:0005515"
"AT1G04420","GO:0047834"
"AT2G22970","GO:0004185"
"AT2G22970","GO:0006508"
"AT2G45720","GO:0005515"
"AT2G45720","GO:0005515"
"AT2G45720","GO:0005515"
"AT2G45720","GO:0005515"
"AT2G45720","GO:0005515"
"AT2G19050","GO:0016788"
"AT5G37930","GO:0005737"
"AT5G37930","GO:0006511"
"AT5G37930","GO:0007275"
"AT1G51390","GO:0005506"
"AT1G51390","GO:0016226"
"AT1G51390","GO:0051536"
"AT4G22330","GO:0006672"
"AT4G22330","GO:0016021"
"AT4G22330","GO:0016811"
"AT4G22330","GO:0006914"
"AT4G22330","GO:0009651"
"AT4G22330","GO:0098542"
"AT1G22480","GO:0009055"
"AT1G15015","GO:0005515"
"AT3G03330","GO:0016491"
"AT5G63220","GO:0045048"
"AT2G36080","GO:0003677"
"AT2G36080","GO:0003700"
"AT2G42850","GO:0004497"
"AT2G42850","GO:0005506"
"AT2G42850","GO:0016705"
"AT2G42850","GO:0020037"
"AT1G70290","GO:0003824"
"AT1G70290","GO:0005992"
"AT1G24180","GO:0016624"
"AT3G03840","GO:0009733"
"AT1G47578","GO:0006464"
"AT1G47578","GO:0009249"
"AT1G47578","GO:0033819"
"AT4G16890","GO:0043531"
"AT4G16890","GO:0003953"
"AT4G16890","GO:0007165"
"AT4G16890","GO:0006952"
"AT4G39880","GO:0003735"
"AT4G39880","GO:0005840"
"AT4G39880","GO:0006412"
"AT3G43520","GO:0016020"
"AT3G43920","GO:0004525"
"AT3G43920","GO:0006396"
"AT3G43920","GO:0003676"
"AT3G43920","GO:0005524"
"AT3G43920","GO:0005515"
"AT5G40240","GO:0016020"
"AT5G40240","GO:0016021"
"AT5G40240","GO:0022857"
"AT5G40240","GO:0016020"
"AT5G40240","GO:0016021"
"AT5G40240","GO:0022857"
"AT3G47180","GO:0004842"
"AT3G47180","GO:0016567"
"AT3G47180","GO:0046621"
"AT4G23200","GO:0004672"
"AT4G23200","GO:0006468"
"AT3G46710","GO:0043531"
"AT3G46710","GO:0006952"
"AT4G38360","GO:0009626"
"AT3G20960","GO:0004497"
"AT3G20960","GO:0005506"
"AT3G20960","GO:0016705"
"AT3G20960","GO:0020037"
"AT3G28415","GO:0005524"
"AT3G28415","GO:0016021"
"AT3G28415","GO:0055085"
"AT3G28415","GO:0140359"
"AT3G24440","GO:0010048"
"AT3G24440","GO:0040029"
"AT3G24440","GO:0005515"
"AT5G15550","GO:0005515"
"AT5G47480","GO:0006914"
"AT5G47480","GO:0048208"
"AT3G09360","GO:0017025"
"AT3G09360","GO:0006352"
"AT3G09360","GO:0070897"
"AT3G09360","GO:0000126"
"AT3G09360","GO:0000995"
"AT3G09360","GO:0006383"
"AT5G37510","GO:0016651"
"AT5G37510","GO:0051536"
"AT5G37510","GO:0016491"
