gene,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT5G27790,2,0,0,0,0,0
AT5G27800,2,0,0,2,0,1
AT5G27807,6,1,4,7,3,4
AT5G27810,9,9,14,12,15,19
AT5G27820,2105,1836,2002,2088,2550,1622
AT5G27830,1509,1490,1934,1467,1951,1568
AT5G27840,3200,2879,4087,3136,2714,3076
AT5G27850,66328,69357,63523,63141,85687,54981
AT5G27860,4727,4714,5943,4481,6829,4753
AT5G27870,0,0,2,0,0,2
AT5G27880,0,0,0,0,0,0
AT5G27889,0,0,0,0,1,1
AT5G27890,12,7,4,6,7,1
AT5G27910,21,8,16,34,22,22
AT5G27920,4191,4328,4519,4547,3703,4083
AT5G27930,1669,1501,1883,2057,1188,1231
AT5G27940,27,35,38,65,46,30
AT5G27944,0,0,0,0,0,0
AT5G27945,0,0,0,0,0,0
AT5G27950,4182,3616,4561,3775,2995,3589
AT5G27960,0,1,0,0,0,0
AT5G27967,0,0,0,0,0,0
AT5G27970,5240,4508,5894,4933,3899,5003
AT5G27980,12,19,20,11,17,10
AT5G27990,3635,3887,4229,4419,5796,4021
AT5G28000,11,8,8,10,16,12
AT5G28010,69,106,123,74,114,71
AT5G28020,4766,5341,5507,3815,5357,3581
AT5G28030,3,0,0,1,0,3
AT5G28040,2091,2046,3104,2333,2075,2582
AT5G28050,10213,9389,13481,10049,8860,9359
AT5G28052,2,0,0,1,0,0
AT5G28060,43095,45944,44475,39964,57924,39538
AT5G28070,0,0,0,0,0,0
AT5G28080,520,251,809,148,84,234
AT5G28090,0,0,0,0,0,0
AT5G28150,1662,2036,2227,1696,1823,1846
AT5G28160,0,0,0,0,0,0
AT5G28180,0,0,0,0,0,0
AT5G28190,0,0,0,0,0,0
AT5G28210,49,38,47,50,68,27
AT5G28220,1687,1537,2102,1511,1644,1406
AT5G28235,0,0,1,0,0,0
AT5G28237,2,0,0,6,2,0
AT5G28262,108,107,140,99,135,149
AT5G28288,0,0,0,0,0,0
AT5G28290,2258,1909,2607,2632,2239,2713
AT5G28295,0,0,0,0,0,0
AT5G28300,654,583,956,661,521,849
AT5G28310,22,28,12,10,7,32
AT5G28320,316,351,472,382,189,395
AT5G28340,12,10,9,7,5,14
AT5G28350,4006,3640,4999,3755,3091,4093
AT5G28370,0,2,1,5,4,6
AT5G28380,4,0,3,5,3,4
AT5G28390,289,277,393,358,258,356
AT5G28400,443,520,617,484,270,571
AT5G28410,3,3,3,0,0,0
AT5G28420,4,5,13,4,6,4
AT5G28442,273,279,322,245,184,285
AT5G28450,0,0,2,0,1,2
AT5G28460,34,42,32,43,64,47
AT5G28463,2,2,4,5,0,0
AT5G28465,0,0,0,0,0,0
AT5G28470,8,0,12,7,10,12
AT5G28490,77,117,117,152,232,189
AT5G28491,0,1,0,6,3,7
AT5G28500,190,234,346,161,220,332
AT5G28510,157,155,385,122,87,278
AT5G28520,31,15,33,50,25,34
AT5G28530,750,669,810,719,530,785
AT5G28540,32422,35928,43645,32016,32881,28701
AT5G28550,1,0,0,0,0,0
AT5G28560,0,0,0,0,0,0
AT5G28590,0,0,1,1,0,0
AT5G28610,300,171,623,193,131,331
AT5G28615,0,0,0,0,0,0
AT5G28620,0,0,0,0,0,0
AT5G28630,352,247,681,427,268,374
AT5G28640,5365,4512,5155,3684,4926,3737
AT5G28642,0,0,0,0,0,0
AT5G28646,103,109,178,123,158,112
AT5G28650,587,423,835,231,259,455
AT5G28660,0,0,0,0,0,0
AT5G28680,0,0,0,0,0,1
AT5G28690,0,0,0,0,0,0
AT5G28720,0,0,0,0,0,0
AT5G28730,0,0,0,0,0,0
AT5G28740,6124,5958,7364,6524,5578,6084
AT5G28750,1316,1051,1461,1270,1512,1149
AT5G28770,1760,1669,1835,1742,1724,1505
AT5G28780,0,0,2,1,0,2
AT5G28781,0,0,0,0,0,0
AT5G28800,0,0,0,0,0,0
AT5G28810,0,0,0,0,0,0
AT5G28820,0,0,0,0,0,0
AT5G28821,0,0,0,0,0,0
AT5G28823,0,0,0,0,0,0
AT5G28824,0,0,1,1,1,0
AT5G28830,1716,1418,2296,1683,1476,1636
AT5G28840,7986,7644,9901,7529,7374,7729
AT5G28850,3327,3317,4183,3550,3169,3586
AT5G28885,0,0,0,0,0,0
AT5G28900,3227,3006,3866,3227,3327,3333
