gene,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT1G01010,2029,1481,2694,2450,1767,2166
AT1G01020,1626,1608,1895,1816,2429,1716
AT1G01030,150,230,375,149,175,260
AT1G01040,3174,2599,4260,3753,2419,3838
AT1G01046,70,42,115,67,45,89
AT1G01050,9025,8165,9355,8939,9338,7507
AT1G01060,2512,2057,2796,2218,1761,2007
AT1G01070,1606,748,1225,1729,1223,1945
AT1G01073,0,0,0,0,0,0
AT1G01080,667,546,817,802,727,846
AT1G01090,11777,11072,16546,10645,11261,10239
AT1G01100,32908,34170,31402,31621,50579,26924
AT1G01110,1421,1334,1447,1267,1199,1224
AT1G01115,0,0,0,0,0,0
AT1G01120,3053,3072,5105,4790,3830,4802
AT1G01130,358,296,405,396,329,348
AT1G01140,295,279,318,601,395,399
AT1G01150,42,17,23,10,8,14
AT1G01160,3521,3220,3754,3640,4318,3423
AT1G01170,790,663,1056,716,946,758
AT1G01180,428,384,523,256,226,248
AT1G01183,3,3,8,6,1,7
AT1G01190,614,284,816,276,111,115
AT1G01200,640,644,844,609,626,661
AT1G01210,1628,1409,1744,1721,2107,1578
AT1G01220,2412,2296,2828,2292,1714,2043
AT1G01225,576,467,672,858,692,798
AT1G01230,2577,2449,3049,2702,2889,2241
AT1G01240,830,754,925,1254,881,1003
AT1G01250,0,2,2,0,2,0
AT1G01260,2275,2072,3115,2259,1821,2274
AT1G01270,0,0,0,0,0,0
AT1G01280,0,1,0,3,0,0
AT1G01290,1520,1577,1779,1407,1797,1399
AT1G01300,8644,8468,10808,8997,9415,8849
AT1G01305,4,0,0,0,2,2
AT1G01310,19,16,13,19,14,21
AT1G01320,2492,2063,2730,2346,1784,2205
AT1G01340,2413,1412,2665,2751,1591,2330
AT1G01350,2646,2627,3407,2973,3290,2972
AT1G01355,0,2,0,0,2,0
AT1G01360,1205,1156,1442,1296,1365,1322
AT1G01370,919,915,987,1016,944,798
AT1G01380,152,208,214,91,138,98
AT1G01390,18,9,10,7,2,10
AT1G01400,0,0,0,0,0,2
AT1G01410,0,0,0,0,0,0
AT1G01420,202,98,248,95,45,88
AT1G01430,1531,1631,2227,1223,1199,1238
AT1G01440,1364,1214,1762,1374,989,1269
AT1G01448,1047,957,1271,980,1123,1226
AT1G01450,581,581,723,548,534,736
AT1G01453,81,112,169,211,108,154
AT1G01460,0,2,0,4,2,2
AT1G01470,8728,6658,7998,10753,10213,7395
AT1G01471,0,0,0,0,0,0
AT1G01480,348,328,373,348,409,370
AT1G01490,6590,5587,7610,4659,5186,5339
AT1G01500,629,571,768,692,636,655
AT1G01510,5284,4921,5193,5356,5252,4888
AT1G01520,32,14,15,18,16,17
AT1G01530,0,0,3,2,0,1
AT1G01540,4552,4258,5746,4727,4316,4711
AT1G01550,13703,12632,18579,16312,13700,16083
AT1G01560,74,79,108,173,82,106
AT1G01570,245,143,308,203,135,187
AT1G01580,6641,3089,3617,2896,498,1086
AT1G01590,2,0,2,0,0,0
AT1G01600,1020,1435,1382,952,706,864
AT1G01610,2517,2335,3636,3481,2720,2788
AT1G01620,15749,14156,18631,13095,14596,11101
AT1G01630,5102,4765,6474,5695,4721,4893
AT1G01640,2466,1534,2389,1550,1546,1840
AT1G01650,3401,2892,4055,3625,3687,3574
AT1G01660,170,221,391,345,195,290
AT1G01670,155,113,227,161,161,132
AT1G01680,199,123,108,260,160,70
AT1G01690,998,911,1066,988,1084,902
AT1G01695,34,48,40,53,20,37
AT1G01700,288,193,251,200,170,179
AT1G01710,2934,2398,3155,2916,3048,2641
AT1G01720,2906,2709,4123,2537,2957,2671
AT1G01725,641,506,812,691,778,603
AT1G01730,3172,2969,3523,3231,3532,2983
AT1G01740,718,660,792,684,807,770
AT1G01750,1820,2842,3994,1835,1318,1432
AT1G01760,670,593,659,561,539,556
AT1G01770,1338,1128,1468,1373,1023,1184
AT1G01780,1034,1010,1635,1184,1113,951
AT1G01790,1542,1220,1788,1421,1026,1310
AT1G01800,6205,4871,6641,5633,5429,5537
AT1G01810,114,84,125,111,104,161
AT1G01820,4671,4031,4764,4866,4867,4322
AT1G01830,1238,1226,1728,1126,1105,1274
AT1G01840,197,170,212,196,237,175
AT1G01860,535,503,658,532,615,556
AT1G01870,1,0,0,2,0,0
AT1G01880,216,193,173,225,251,175
AT1G01890,0,0,0,0,0,0
AT1G01900,188,136,372,103,111,107
AT1G01910,5189,4882,5543,5134,4684,4454
AT1G01920,3116,3671,3160,3387,4227,3468
AT1G01930,1419,1192,1556,1390,1322,1325
AT1G01940,2217,2029,2211,2731,3046,2047
AT1G01950,2409,2306,2917,2776,2251,2534
AT1G01960,12478,10894,15065,12411,9084,12738
AT1G01970,501,446,528,527,524,434
AT1G01980,0,2,1,2,0,6
AT1G01990,1817,1437,1891,1723,1813,1687
AT1G02000,1196,1078,1677,1340,1234,1320
AT1G02010,937,753,1002,751,753,804
AT1G02020,630,554,908,681,605,694
AT1G02030,115,96,155,160,104,129
AT1G02040,12,13,13,11,18,4
AT1G02050,1016,970,806,775,1197,867
AT1G02060,1166,946,1045,998,719,1033
AT1G02065,0,0,3,18,8,14
AT1G02070,19,9,17,21,7,6
AT1G02074,0,0,0,0,0,0
AT1G02080,13048,11056,16560,14526,9607,15186
AT1G02090,4269,4076,5281,4539,5125,4248
AT1G02100,3927,3725,4609,3876,4200,3648
AT1G02110,3073,2664,3083,3007,3452,2986
AT1G02120,5841,4665,6821,5829,4674,5839
AT1G02130,4329,3896,4891,4101,4627,4002
AT1G02140,8821,8529,9936,9167,11088,8670
AT1G02145,2202,2258,2795,2332,2325,2198
AT1G02150,2373,2364,2515,2445,2905,2467
AT1G02160,1528,1409,1554,1385,1900,1092
AT1G02170,2904,2387,3401,2855,2858,2418
AT1G02180,387,296,432,463,510,363
AT1G02190,2,0,4,0,4,0
AT1G02205,72,60,123,73,35,56
AT1G02210,0,0,0,0,0,0
AT1G02220,6724,6360,8373,5690,4974,5529
AT1G02230,320,328,410,202,187,199
AT1G02250,12,18,9,12,13,4
AT1G02260,1926,1755,2193,2051,1794,1924
AT1G02270,1461,1216,1919,1612,1236,1371
AT1G02280,1808,1759,1844,1815,2023,1536
AT1G02290,1176,1045,1347,1292,976,1240
AT1G02300,387,394,444,243,221,208
AT1G02305,6554,5096,6566,5159,4493,4237
AT1G02310,324,209,327,215,133,108
AT1G02320,3,0,3,6,3,0
AT1G02330,3510,2943,3915,3345,3005,3087
AT1G02335,540,770,2128,926,550,1703
AT1G02340,563,603,836,392,393,409
AT1G02350,149,169,161,147,158,116
AT1G02360,5803,4824,7220,5149,3828,4981
AT1G02370,1314,1236,1464,1421,1542,1404
AT1G02380,350,329,427,389,324,405
AT1G02390,547,623,625,362,353,378
AT1G02391,0,0,0,0,0,0
AT1G02400,1156,1230,1484,4210,2854,3222
AT1G02405,10,8,6,15,14,19
AT1G02410,2599,2246,2941,2826,2736,2525
AT1G02420,521,582,632,521,347,546
AT1G02430,573,595,635,541,484,416
AT1G02440,107,54,97,58,55,53
AT1G02450,21,18,34,35,22,22
AT1G02460,301,157,483,84,57,155
AT1G02470,50,53,64,74,37,60
AT1G02475,579,458,750,488,504,492
AT1G02480,0,0,0,2,0,0
AT1G02490,13,22,15,7,22,6
AT1G02500,55378,51779,69626,40356,45324,41194
AT1G02510,2,0,0,0,1,2
AT1G02520,5462,4592,6536,7675,4346,5812
AT1G02530,206,186,217,337,254,293
AT1G02540,1,0,1,0,0,0
AT1G02550,0,0,2,0,2,0
AT1G02560,5535,4882,6168,5489,5476,5035
AT1G02570,73,125,207,278,119,197
AT1G02575,22,18,47,17,10,10
AT1G02580,157,139,153,383,155,180
AT1G02590,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0
AT1G02610,200,138,238,259,149,186
AT1G02620,0,0,0,0,0,0
AT1G02630,0,2,0,0,2,2
AT1G02640,1376,1543,2184,1750,1436,1910
AT1G02650,149,148,173,151,172,125
AT1G02660,336,336,358,489,358,382
AT1G02670,191,249,299,262,328,276
AT1G02680,1224,1125,1367,1198,1488,1091
AT1G02690,6431,5794,6475,7294,6745,5639
AT1G02700,23,13,41,18,26,37
AT1G02710,41,41,110,41,42,78
AT1G02720,1438,1542,2036,1183,1351,1350
AT1G02730,7893,6255,7629,8059,5262,5941
AT1G02740,767,651,1007,1083,962,1006
AT1G02750,1412,1146,1611,1541,1453,1199
AT1G02760,0,1,0,0,0,0
AT1G02770,7,10,22,19,15,14
AT1G02780,103904,100213,104679,101624,124965,88535
AT1G02790,1,0,0,0,0,0
AT1G02800,9,17,16,16,16,7
AT1G02810,4098,3266,4475,3089,2371,2651
AT1G02813,25,6,32,15,22,20
AT1G02816,1800,1648,2227,1824,1907,1462
AT1G02820,44,36,60,85,85,62
AT1G02830,9,2,15,24,6,4
AT1G02840,10825,9729,11176,10985,12924,10325
AT1G02850,3069,2965,4515,13339,14442,13800
AT1G02860,2139,2004,2507,5235,3796,3664
AT1G02870,3662,3460,3643,4258,5018,3710
AT1G02880,2698,2534,3840,2822,2848,2802
AT1G02890,10205,9010,12900,13734,9672,12400
AT1G02900,4482,3326,6083,13808,8651,9653
AT1G02910,994,948,1129,1020,1022,952
AT1G02920,31673,24993,33583,40298,28017,29241
AT1G02930,22935,16425,24930,26884,21168,21091
AT1G02940,12,6,14,3,10,6
AT1G02950,1347,1059,1676,1339,1437,1432
AT1G02952,1181,964,1526,1210,1250,1309
AT1G02960,1915,1784,2256,1788,2073,1834
AT1G02965,1,4,5,0,5,14
AT1G02970,795,778,855,917,924,732
AT1G02980,89,85,121,114,99,90
AT1G02990,1877,1726,2560,2214,1494,1981
AT1G03000,1922,1649,2259,2169,1689,2097
AT1G03010,210,247,438,452,362,669
AT1G03020,0,0,1,0,0,0
AT1G03022,0,0,0,0,0,0
AT1G03030,1788,1690,1950,1746,1769,1626
AT1G03040,4729,3728,5902,4404,5014,5030
AT1G03050,4,18,18,15,6,16
AT1G03055,14,9,8,17,15,2
AT1G03060,6589,5627,7628,6867,3827,6131
AT1G03070,67,110,228,104,63,159
AT1G03080,9747,8981,12793,10051,6753,9348
AT1G03090,2283,2005,2367,2506,2124,2067
AT1G03100,650,563,684,730,645,673
AT1G03103,0,0,0,0,0,0
AT1G03106,38,28,24,31,15,13
AT1G03110,2808,2699,2994,2905,3093,2657
AT1G03120,22,24,23,16,17,12
AT1G03130,156,145,170,139,147,155
AT1G03140,4631,4470,4877,4746,5369,4611
AT1G03150,1913,1866,2412,2082,2313,1975
AT1G03160,1338,1015,1533,1307,989,1236
AT1G03170,34,31,82,86,113,188
AT1G03180,603,765,805,627,852,585
AT1G03190,1474,1327,1641,1450,1443,1440
AT1G03200,170,149,200,165,175,191
AT1G03210,3052,3267,3402,2912,3655,2655
AT1G03220,43879,39517,49135,42840,42114,35057
AT1G03230,9203,9020,12490,7500,10001,8651
AT1G03240,21,33,20,11,2,18
AT1G03250,1778,1713,2204,1901,2115,1982
AT1G03260,1081,1043,1320,1095,1264,1031
AT1G03270,398,317,352,386,429,405
AT1G03280,3717,3469,4552,4069,4406,4161
AT1G03290,3076,2666,3779,3034,2819,3249
AT1G03300,367,324,394,424,455,350
AT1G03310,1216,1048,1342,1182,1077,1350
AT1G03320,4,4,8,2,6,4
AT1G03330,3791,3386,3704,4342,4753,3378
AT1G03340,210,197,217,245,203,179
AT1G03350,4229,3978,5208,3911,3826,4053
AT1G03360,2499,2365,2707,2932,3642,2570
AT1G03365,1814,1910,2547,2051,1742,2119
AT1G03370,3268,3066,4321,3872,2609,3502
AT1G03380,3749,2841,3978,3184,2148,3054
AT1G03390,3,6,8,7,18,6
AT1G03400,91,60,88,63,42,70
AT1G03410,3097,3020,3213,2168,2882,2377
AT1G03430,1365,1295,1775,1130,1126,1183
AT1G03440,742,624,744,577,481,452
AT1G03445,29,18,28,48,34,34
AT1G03457,1130,1009,1379,1384,933,1028
AT1G03470,881,749,890,976,986,769
AT1G03475,2789,2480,3290,2837,2847,2717
AT1G03490,0,0,0,2,0,0
AT1G03495,516,547,676,991,1067,842
AT1G03502,33,15,24,26,29,39
AT1G03506,52,30,35,48,40,43
AT1G03510,202,129,202,240,167,197
AT1G03515,0,0,0,0,0,2
AT1G03520,728,634,966,710,719,822
AT1G03530,3358,2919,3814,3708,2622,3782
AT1G03540,225,167,214,211,110,223
AT1G03545,858,981,1056,918,710,625
AT1G03550,1052,1180,1254,1109,873,742
AT1G03560,1086,1048,1434,1152,1006,1288
AT1G03570,0,1,0,0,0,0
AT1G03590,2986,3439,4199,3803,3542,3790
AT1G03600,256,186,180,252,310,279
AT1G03610,1906,1668,1803,2778,2391,2149
AT1G03620,277,231,359,429,486,417
AT1G03630,181,136,213,142,149,210
AT1G03640,0,0,0,0,0,0
AT1G03650,397,389,365,465,550,394
AT1G03660,169,129,160,141,128,77
AT1G03670,4,0,4,0,0,2
AT1G03680,1063,858,1176,1034,1219,982
AT1G03687,1617,1407,1516,1474,1748,1532
AT1G03700,82,122,187,150,114,90
AT1G03710,12,12,10,17,16,20
AT1G03720,0,2,2,2,2,0
AT1G03730,1411,1080,2148,1622,1519,1587
AT1G03740,4338,3525,5228,4192,2719,4026
AT1G03743,6,3,3,0,4,4
AT1G03746,15,3,3,11,9,6
AT1G03750,918,839,1138,995,820,991
AT1G03760,1538,1521,1628,1948,2102,1823
AT1G03770,1537,1535,1693,1803,2004,1781
AT1G03780,3070,2842,3023,3457,2863,2586
AT1G03790,20,21,26,55,61,40
AT1G03800,75,86,94,107,101,70
AT1G03810,0,0,0,0,0,6
AT1G03820,5061,4613,7461,12843,11365,7761
AT1G03830,2181,1751,2259,2236,1967,2048
AT1G03840,2281,1811,2493,1278,1227,1301
AT1G03850,2256,2203,2510,3138,2010,1515
AT1G03860,9656,10088,11006,10457,12939,9525
AT1G03870,8193,11246,16979,5890,4807,4970
AT1G03880,20,8,14,3,7,8
AT1G03890,0,0,1,0,0,0
AT1G03900,11232,9968,12345,10119,9931,8727
AT1G03905,1288,1229,1819,1164,1162,1332
AT1G03910,5147,5061,5744,5488,5468,5134
AT1G03920,434,547,1007,534,552,539
AT1G03930,1846,1755,2488,1954,1770,2036
AT1G03935,57,58,65,57,73,67
AT1G03940,485,589,675,1173,1059,874
AT1G03950,1098,935,1276,1105,932,812
AT1G03960,1294,1165,1696,1426,1467,1475
AT1G03970,1494,1345,1919,1573,1533,1551
AT1G03980,1345,1243,1635,1431,1408,1334
AT1G03982,1,0,1,2,0,0
AT1G03990,347,254,373,328,225,303
AT1G04000,1209,997,1732,1166,1167,1227
AT1G04010,1449,1290,1741,1540,1362,1363
AT1G04020,2010,2000,2262,1964,1628,1748
AT1G04030,11196,10693,13459,9592,8697,6886
AT1G04040,22609,25479,30478,18482,15465,14490
AT1G04050,686,669,812,816,787,769
AT1G04070,1309,1174,1512,1247,1359,1299
AT1G04080,12086,10531,12058,12129,11473,11716
AT1G04090,90,132,170,135,131,149
AT1G04100,419,408,648,1117,860,850
AT1G04110,12,16,16,20,4,13
AT1G04120,15907,13682,19761,14490,11213,15352
AT1G04130,1539,1552,1811,1797,2008,1618
AT1G04140,9922,8946,11406,9670,7841,9501
AT1G04150,72,66,29,72,61,47
AT1G04160,1355,1166,1724,1374,817,1073
AT1G04170,13944,13956,15505,14520,15574,13542
AT1G04171,5,0,0,1,0,0
AT1G04180,734,428,755,538,412,601
AT1G04190,5477,4939,5989,5952,5953,5209
AT1G04200,4759,4182,5871,4593,3607,4209
AT1G04210,7195,6912,8754,7790,6303,7898
AT1G04220,2211,2049,3999,3885,3219,3340
AT1G04230,1210,1148,1280,1287,1304,1138
AT1G04240,364,243,500,1980,1198,1203
AT1G04250,5477,6171,11270,7367,6729,8496
AT1G04260,1473,1209,1763,1493,1835,1310
AT1G04270,51860,47658,49983,50414,59524,42337
AT1G04280,4049,3928,5702,3870,2414,3569
AT1G04290,1565,1356,1791,1246,1348,1121
AT1G04295,1297,1214,1572,1054,1173,998
AT1G04300,6807,5711,7360,7182,5193,6915
AT1G04310,681,593,883,1119,1088,1144
AT1G04320,0,0,0,0,0,0
AT1G04330,324,227,495,332,323,229
AT1G04340,3713,3344,3962,3136,3341,2745
AT1G04350,235,313,286,178,223,189
AT1G04360,1065,922,1683,974,934,1000
AT1G04370,57,32,59,32,42,23
AT1G04380,43,33,51,23,36,30
AT1G04390,1096,973,1101,1011,910,1131
AT1G04400,6836,6623,8947,8055,6396,7563
AT1G04410,84907,79865,97134,86214,88098,75115
AT1G04420,499,569,608,506,577,527
AT1G04425,1013,801,1096,933,1044,763
AT1G04430,11811,12204,16760,10565,10085,11238
AT1G04440,7516,7056,9921,8688,7240,7986
AT1G04445,24,28,29,38,21,20
AT1G04450,3,1,0,6,6,7
AT1G04470,4,8,6,4,4,7
AT1G04480,19666,19000,20807,20207,25516,18276
AT1G04490,296,257,419,189,130,267
AT1G04500,9,17,25,4,6,11
AT1G04501,0,0,0,0,0,0
AT1G04510,6399,5860,7202,7028,6952,6749
AT1G04520,3691,3658,4444,2939,3539,3314
AT1G04530,2338,2159,3086,2375,2326,2431
AT1G04540,589,626,797,556,568,665
AT1G04550,1572,1258,1924,2086,2286,2110
AT1G04555,673,594,872,676,799,644
AT1G04560,0,0,2,2,4,0
AT1G04570,77,80,82,114,140,103
AT1G04580,15,16,17,11,6,11
AT1G04590,3711,3443,3881,4013,4477,3638
AT1G04600,240,192,224,227,183,186
AT1G04610,422,293,609,302,361,381
AT1G04620,188,170,226,199,169,222
AT1G04625,364,225,329,325,357,210
AT1G04630,3667,3545,4274,3473,4405,3286
AT1G04635,442,438,536,566,664,512
AT1G04640,623,520,552,491,585,498
AT1G04645,0,0,0,0,0,0
AT1G04650,491,448,529,541,372,456
AT1G04660,8,12,20,11,8,11
AT1G04670,6,8,17,7,3,0
AT1G04680,8655,8523,11989,16835,9869,12709
AT1G04684,0,0,0,0,0,0
AT1G04690,9385,9222,11346,8948,9424,8038
AT1G04700,349,507,713,433,294,416
AT1G04710,1293,1179,1353,1222,1335,1227
AT1G04720,0,0,3,0,2,0
AT1G04730,1300,1244,1532,1604,1336,1455
AT1G04750,10027,8923,11706,10051,11019,9402
AT1G04760,367,354,436,429,437,308
AT1G04770,3399,3864,4055,3076,4483,2742
AT1G04778,128,92,112,143,164,146
AT1G04780,6126,4918,6628,5467,4145,5553
AT1G04790,2373,2179,2795,2422,2415,2473
AT1G04800,28,11,16,16,18,12
AT1G04810,7520,6045,7992,7451,6198,7029
AT1G04820,49813,53788,64597,42130,47426,41238
AT1G04830,2080,1944,2594,2233,2368,2070
AT1G04840,191,198,248,254,148,220
AT1G04850,13601,12599,15555,13333,14174,12377
AT1G04860,4154,3714,4570,4356,3589,4148
AT1G04870,6569,5655,6119,7299,6934,5823
AT1G04880,84,78,89,65,84,63
AT1G04890,1,0,0,0,0,1
AT1G04900,2730,2840,2656,2446,2823,2280
AT1G04910,3282,3053,4316,2824,2709,2906
AT1G04920,22,16,11,15,10,20
AT1G04930,596,639,837,628,716,651
AT1G04940,1487,1380,1696,1561,1901,1564
AT1G04945,2907,2807,3368,3572,3641,3391
AT1G04950,2602,2277,2733,2583,2964,2506
AT1G04960,2193,2163,2725,2505,2586,2063
AT1G04970,3467,3179,3911,3680,3100,3411
AT1G04980,3140,3680,4711,2790,3747,2608
AT1G04985,2367,2317,2575,2727,3184,2817
AT1G04990,3088,2763,4452,3350,3233,3154
AT1G05000,2982,2185,4497,1729,1566,2216
AT1G05010,2627,2448,3767,2775,2388,2768
AT1G05020,20,66,90,65,52,57
AT1G05030,662,669,957,682,770,661
AT1G05040,0,0,3,4,6,0
AT1G05055,1387,1223,1643,1452,1341,1438
AT1G05060,1585,1633,2776,1468,1767,1869
AT1G05065,162,110,150,141,145,159
AT1G05070,1640,1629,1866,1659,2353,1802
AT1G05080,0,2,0,2,0,0
AT1G05085,0,0,0,0,0,0
AT1G05090,291,308,414,269,248,304
AT1G05100,90,85,137,63,56,69
AT1G05120,2986,2674,3680,3203,2496,3092
AT1G05136,2,10,3,3,3,2
AT1G05140,551,506,833,470,466,532
AT1G05150,3919,3699,4871,3708,3478,3896
AT1G05160,1104,882,1248,982,819,964
AT1G05170,1196,1215,1856,793,954,965
AT1G05180,4998,4416,5313,5009,4889,4543
AT1G05190,1167,1139,1195,1025,1197,948
AT1G05200,875,668,1167,719,577,751
AT1G05205,3458,2995,3802,3220,4024,2658
AT1G05210,1206,1042,1318,815,1219,812
AT1G05220,655,770,781,541,800,562
AT1G05230,372,325,413,365,359,277
AT1G05240,15,27,34,30,15,13
AT1G05250,9,15,37,29,5,17
AT1G05260,7592,8460,13617,4869,6483,6309
AT1G05270,3216,2844,3847,3358,3257,3099
AT1G05280,956,1056,1724,537,584,729
AT1G05290,0,0,0,3,0,4
AT1G05291,0,0,0,0,0,0
AT1G05300,941,1052,2349,883,1087,1818
AT1G05310,62,68,335,110,18,241
AT1G05320,1578,1906,3012,1439,1060,1434
AT1G05330,6,12,11,5,8,7
AT1G05340,1559,1100,1387,1897,964,803
AT1G05350,3862,4227,4559,3761,4423,3645
AT1G05360,1940,1764,2589,1740,1611,1735
AT1G05370,465,406,498,423,444,412
AT1G05380,3441,3292,4694,3741,2548,4126
AT1G05385,230,213,242,258,312,239
AT1G05390,0,0,0,0,0,0
AT1G05400,240,170,303,229,271,209
AT1G05410,1914,1963,2328,2104,2487,2226
AT1G05420,83,46,126,44,46,47
AT1G05430,1883,2027,2131,2157,2093,1989
AT1G05440,484,509,497,445,416,382
AT1G05450,134,147,257,171,199,136
AT1G05460,1184,990,1240,1295,1157,1364
AT1G05470,1684,1089,2010,1808,1420,1651
AT1G05490,268,290,250,187,263,224
AT1G05500,4282,4289,5572,4308,4410,4160
AT1G05510,35,35,33,24,39,20
AT1G05520,6353,5859,8338,6270,5007,6271
AT1G05530,468,343,436,20,8,25
AT1G05540,28,43,70,6,12,14
AT1G05550,1,3,2,6,0,2
AT1G05560,363,413,766,815,663,725
AT1G05562,283,368,643,693,542,638
AT1G05570,7506,5946,9006,8233,4108,7349
AT1G05575,310,330,452,258,226,330
AT1G05577,235,190,123,394,381,271
AT1G05580,0,0,0,0,0,0
AT1G05590,1113,1132,1482,1089,946,1115
AT1G05600,440,449,555,527,443,495
AT1G05610,74,47,96,75,46,74
AT1G05615,1,0,0,0,0,0
AT1G05620,4846,5400,7053,4071,4489,4016
AT1G05630,1315,1444,1714,1243,999,1325
AT1G05640,572,486,681,481,455,477
AT1G05650,272,286,442,0,4,0
AT1G05660,927,770,907,8,4,8
AT1G05670,983,937,1063,923,735,936
AT1G05675,27,44,50,31,34,30
AT1G05680,569,581,1118,1741,1803,1702
AT1G05690,142,144,152,143,92,100
AT1G05700,4725,4153,4524,4779,2232,3153
AT1G05710,3617,3058,4468,5067,4627,3591
AT1G05720,3531,3159,3659,3241,4138,2765
AT1G05730,1681,1648,2000,1828,2032,1698
AT1G05740,4,10,8,17,20,23
AT1G05750,1213,1111,1637,1291,1345,1545
AT1G05760,823,716,1184,790,928,1045
AT1G05770,195,120,199,169,155,170
AT1G05780,996,955,1156,868,861,838
AT1G05785,1008,1000,1259,849,1158,826
AT1G05790,1490,1357,1676,1738,1355,1511
AT1G05800,0,0,0,2,0,2
AT1G05805,1642,1619,2090,1189,1021,1210
AT1G05810,821,789,1038,1087,840,772
AT1G05820,246,207,297,283,198,242
AT1G05830,4255,3519,4820,4263,3538,4753
AT1G05835,226,131,189,156,213,148
AT1G05840,2548,2029,2535,2288,2501,2344
AT1G05850,21666,18731,28494,21078,18281,18066
AT1G05860,1232,1190,1444,1390,1429,1206
AT1G05870,3184,3332,4308,2963,3866,3497
AT1G05880,104,115,70,213,92,98
AT1G05890,6718,5699,6988,6752,6400,6576
AT1G05894,60,60,60,83,39,51
AT1G05900,572,486,698,601,594,605
AT1G05910,4100,3581,5085,4543,2961,4531
AT1G05920,0,0,0,0,0,0
AT1G05925,0,0,0,0,0,0
AT1G05930,0,4,3,0,6,8
AT1G05940,3169,2444,3389,3027,2681,2701
AT1G05950,854,951,1006,1121,1075,978
AT1G05960,6044,5475,7890,7729,6288,7686
AT1G05970,513,611,512,561,857,550
AT1G05980,0,0,1,0,0,0
AT1G05990,58,61,117,54,47,57
AT1G06000,5288,5497,12521,3127,3732,5479
AT1G06002,3378,3440,8093,1966,2044,3576
AT1G06010,1455,1532,1621,1329,1957,1349
AT1G06020,41,12,50,30,22,33
AT1G06030,36,60,67,40,33,41
AT1G06040,7623,5223,9347,3770,6181,6658
AT1G06050,441,376,522,392,349,414
AT1G06060,1511,1304,1792,1347,1721,1282
AT1G06070,2709,2727,3443,2670,2956,2830
AT1G06080,935,592,550,924,754,427
AT1G06090,530,783,2062,805,162,836
AT1G06100,8,9,2,0,17,5
AT1G06110,3955,3380,3815,3470,3638,3266
AT1G06120,95,69,159,34,16,15
AT1G06130,2364,1911,2510,2856,2936,2492
AT1G06135,14,4,14,11,8,8
AT1G06137,5,0,0,3,2,0
AT1G06140,180,163,209,246,202,206
AT1G06148,26,18,20,15,11,3
AT1G06149,3413,2852,4329,3488,2947,3326
AT1G06150,3729,3122,4689,3842,3270,3670
AT1G06160,285,198,339,215,220,265
AT1G06170,59,58,66,61,38,44
AT1G06180,1572,1357,1869,1639,1944,1858
AT1G06190,2147,1879,2227,2132,2252,2004
AT1G06200,4575,4120,4734,4981,5316,4008
AT1G06210,3667,4002,4900,4136,4027,4014
AT1G06220,9508,8189,10743,10811,8509,9804
AT1G06225,2,2,6,0,0,0
AT1G06230,5816,4848,6746,6483,5095,6245
AT1G06240,863,920,1107,865,905,944
AT1G06250,171,198,160,181,296,222
AT1G06260,126,113,125,138,110,149
AT1G06265,281,277,288,302,362,315
AT1G06270,660,692,741,690,652,689
AT1G06280,0,0,0,0,0,0
AT1G06290,7097,6555,8944,7553,5628,6667
AT1G06310,485,387,417,363,380,352
AT1G06320,121,142,188,102,121,140
AT1G06330,183,125,183,136,125,190
AT1G06340,2,2,1,0,2,0
AT1G06350,519,674,480,454,476,374
AT1G06360,6,1,4,4,2,2
AT1G06380,1267,1452,1572,1589,1567,1386
AT1G06390,6438,5908,7142,6858,6705,6804
AT1G06400,4719,3989,5182,4960,5087,4189
AT1G06410,7794,7594,10128,8864,5928,7401
AT1G06420,316,326,306,346,316,354
AT1G06430,2038,1773,2696,1753,1854,2092
AT1G06440,378,346,450,496,348,412
AT1G06450,451,409,669,687,529,638
AT1G06460,311,206,316,320,247,255
AT1G06470,2957,2838,3994,2661,2703,2855
AT1G06475,384,280,385,381,420,314
AT1G06480,0,0,0,0,0,0
AT1G06490,2200,1509,2262,1774,1349,1848
AT1G06500,1053,932,1343,1096,1351,1060
AT1G06510,634,596,755,639,665,578
AT1G06515,2370,2605,2953,2071,3051,2123
AT1G06520,644,581,919,555,459,584
AT1G06530,3451,3625,4523,3983,4048,4160
AT1G06540,82,89,163,71,86,69
AT1G06550,11170,10134,17451,10096,10318,11636
AT1G06560,2369,2311,2441,2779,2955,2712
AT1G06570,1512,1150,1720,1356,1469,1388
AT1G06580,340,317,336,314,335,304
AT1G06590,2398,2071,2546,2562,2192,2426
AT1G06610,0,0,0,0,0,1
AT1G06620,4011,4116,5893,4075,3622,3583
AT1G06630,3317,3167,3938,3368,3416,3387
AT1G06640,17815,14001,22270,14438,14171,14338
AT1G06645,36,33,39,22,210,60
AT1G06650,1712,1308,1889,1591,1195,1362
AT1G06660,1242,1176,1039,1263,1385,869
AT1G06670,8069,7237,8600,8484,6489,8737
AT1G06680,1543,1263,1903,921,1232,1216
AT1G06690,375,400,649,392,352,455
AT1G06700,5751,5567,6560,5830,6193,5634
AT1G06710,946,843,1146,946,670,1044
AT1G06720,6552,5981,7180,7719,6342,7820
AT1G06730,1210,1295,1618,1456,1514,1373
