,Atha_WT_Col_0_sl_FLT_Rep1_G1S1,Atha_WT_Col_0_sl_FLT_Rep2_G1S2,Atha_WT_Col_0_sl_FLT_Rep3_G1S3,Atha_WT_Col_0_sl_GC_Rep1_G2S1,Atha_WT_Col_0_sl_GC_Rep2_G2S2,Atha_WT_Col_0_sl_GC_Rep3_G2S3
AT1G01010,278.545383059795,477.925228229826,418.048016478572,734.408368864174,430.550063196983,635.523344133311
AT1G01020,103.530142376207,145.998046221644,102.496621120091,67.7915417413084,99.4259939753857,96.7100741072429
AT1G01030,125.715172885394,197.159754726664,164.685582249135,109.596325815115,150.914455141211,139.782628121393
AT1G01040,1017.22473223606,551.548174615099,625.344553575385,884.679619724074,777.653310021767,850.073424505682
AT1G01046,1.64333559327312,2.49569309780588,1.15164742831563,0,0,0
AT1G01050,1186.4882983432,1254.08578164745,1127.462832321,1169.40409503757,1099.01232626364,1368.56945207224
AT1G01060,1593.21385767829,1820.60811484939,1631.88440592324,1172.79367212463,1332.48586568798,1178.40006265128
AT1G01070,55.8734101712862,74.8707929341763,99.0416788351438,201.114907165881,213.943433464893,260.873393180042
AT1G01080,750.182698329181,1026.97770974712,1137.82765917584,575.098245772099,691.54329738237,714.354244876189
AT1G01090,2280.12813566646,2244.87594147639,2362.02887547535,1380.68773346465,2369.356945717,1852.93251230684
AT1G01100,3965.36878656805,2986.09679152473,2963.18883305611,4613.21441549603,2374.6833382514,2833.03628855335
AT1G01110,192.270264412956,200.903294373373,218.813011379969,193.205893962729,194.413327505442,212.11201127723
AT1G01120,4632.56303743694,6377.74371144292,5994.32486438283,6518.1567384268,8084.57613512355,7101.28258444612
AT1G01130,44.3700610183744,26.2047775269617,14.9714165681031,21.4673215514143,22.1933022266486,22.7553115546454
AT1G01140,999.969708506696,692.554834641131,669.107155851379,1020.26270320669,727.052580945008,914.275910677717
AT1G01150,4.10833898318281,2.49569309780588,5.75823714157813,9.03887223217445,4.43866044532972,3.25075879352077
AT1G01160,574.345789848957,565.274486653031,560.85229758971,657.577954890691,585.015446694457,689.973553924784
AT1G01170,849.604501722205,884.723203172184,786.575193539573,766.044421676785,640.054836216546,943.532739819404
AT1G01180,317.98543729835,559.035253908517,512.483105600454,799.940192547439,591.229571317919,697.287761210205
AT1G01183,0,0,0,0,0,0
AT1G01190,2.46500338990969,8.73492584232057,12.6681217114719,24.8568986384797,24.8564984938464,17.8791733643642
AT1G01200,104.351810172843,103.571263558944,93.2834416935657,53.1033743640249,79.895888015935,67.453244965556
AT1G01210,147.900203394581,87.3492584232057,95.5867365501969,124.284493192399,62.1412462346161,86.1451080283004
AT1G01220,647.474223749611,505.37785230569,482.540272464247,385.281928896436,429.662331107917,392.529124317633
AT1G01225,45.1917288150109,39.931089564894,40.3076599910469,16.9478854353271,37.2847477407697,44.6979334109106
AT1G01230,598.174155951417,535.326169479361,474.478740466038,462.112342869919,453.631097512697,493.302646916777
AT1G01240,203.773613565867,220.86883915582,168.140524534081,215.803074543165,245.901788671267,228.365805244834
AT1G01250,15.6116881360947,4.99138619561175,0,10.1687312611963,5.32639253439566,3.25075879352077
AT1G01260,771.546061041732,602.709883120119,523.99957988361,821.407514098853,440.315116176708,562.381271279093
AT1G01270,0,0,0,0,0,0
AT1G01280,1.64333559327312,2.49569309780588,0,3.38957708706542,3.55092835626378,0.812689698380193
AT1G01290,182.410250853317,131.023887634809,146.259223396084,178.517726585445,135.823009627089,172.290216056601
AT1G01300,4783.74991201806,5070.00052819264,5599.30979647057,3616.6787518988,3612.18187040933,3502.69260001863
