gene,Atha_WT_Col_0_sl_FLT_Rep1_G1S1,Atha_WT_Col_0_sl_FLT_Rep2_G1S2,Atha_WT_Col_0_sl_FLT_Rep3_G1S3,Atha_WT_Col_0_sl_GC_Rep1_G2S1,Atha_WT_Col_0_sl_GC_Rep2_G2S2,Atha_WT_Col_0_sl_GC_Rep3_G2S3
AT2G19070,1,0,5,9,5,1
AT2G19080,573,282,304,340,438,590
AT2G19090,159,105,109,147,222,220
AT2G19110,968,675,1123,2285,2914,3090
AT2G19120,205,95,105,125,119,152
AT2G19130,129,156,171,344,423,455
AT2G19146,0,0,2,8,4,1
AT2G19150,5,3,4,0,7,5
AT2G19160,504,246,270,347,399,480
AT2G19170,665,307,304,137,262,278
AT2G19180,432,259,312,298,398,498
AT2G19190,28,9,11,10,40,25
AT2G19210,15,4,20,19,20,14
AT2G19220,3,2,4,6,5,3
AT2G19230,5,0,3,2,2,6
AT2G19240,47,24,39,50,38,51
AT2G19260,270,112,112,131,166,203
AT2G19270,1039,686,715,1279,931,1332
AT2G19280,190,96,99,85,119,113
AT2G19290,0,0,0,0,0,0
AT2G19300,1,0,0,0,0,0
AT2G19310,530,334,338,209,308,331
AT2G19320,41,3,1,5,11,10
AT2G19330,21,11,23,37,44,27
AT2G19340,319,216,249,199,269,325
AT2G19350,139,98,84,78,166,179
AT2G19360,0,2,0,2,1,0
AT2G19365,7,0,0,5,0,6
AT2G19380,94,43,60,66,91,63
AT2G19385,162,95,104,136,112,139
AT2G19390,959,513,549,699,692,831
AT2G19400,60,29,26,25,41,27
AT2G19410,30,26,39,38,75,51
AT2G19420,0,0,0,0,0,0
AT2G19425,0,0,0,0,0,0
AT2G19430,261,148,165,185,196,221
AT2G19440,14,5,11,13,20,15
AT2G19450,1379,666,836,1299,952,1232
AT2G19460,407,141,160,192,152,307
AT2G19470,854,541,578,667,730,901
AT2G19480,5216,2979,2920,5894,4476,5863
AT2G19490,101,46,52,46,53,88
AT2G19500,3,13,5,6,13,12
AT2G19510,0,0,0,1,1,1
AT2G19520,1243,553,650,439,789,810
AT2G19530,41,40,41,30,59,43
AT2G19540,1142,637,697,851,832,1036
AT2G19550,19,8,11,6,22,6
AT2G19560,289,210,200,246,286,353
AT2G19570,1631,1934,2190,1231,3166,2461
AT2G19572,1618,1958,2106,1182,3030,2416
AT2G19580,845,527,572,937,780,1156
AT2G19582,272,192,210,209,274,373
AT2G19590,1498,1142,1290,1452,702,1686
AT2G19600,578,323,335,347,359,402
AT2G19610,17,6,10,32,14,32
AT2G19620,224,120,143,69,104,103
AT2G19630,0,1,1,5,1,1
AT2G19640,371,256,277,327,304,380
AT2G19650,27,19,23,37,24,18
AT2G19660,545,402,371,385,732,745
AT2G19670,138,80,55,56,111,116
AT2G19680,460,304,325,157,297,295
AT2G19690,44,30,21,13,17,22
AT2G19700,1,3,4,2,2,0
AT2G19710,639,493,570,584,946,928
AT2G19720,136,75,56,42,72,61
AT2G19730,4683,3086,2935,2048,3304,3957
AT2G19740,1157,729,642,890,770,1094
AT2G19750,1142,703,753,437,834,801
AT2G19760,3652,3561,3290,3130,4827,4454
AT2G19770,1,1,3,4,1,4
AT2G19780,92,95,91,40,137,101
AT2G19790,980,528,483,479,589,879
AT2G19796,0,0,0,0,1,1
AT2G19800,391,510,490,114,996,614
AT2G19802,0,0,0,0,1,0
AT2G19810,542,422,409,460,828,710
AT2G19820,0,0,0,0,0,0
AT2G19830,1359,1096,1090,1064,1261,1532
AT2G19850,2,5,9,22,8,4
AT2G19860,565,343,427,395,277,499
AT2G19870,549,349,399,266,287,321
AT2G19880,1123,679,635,559,818,849
AT2G19890,5,3,9,5,15,4
AT2G19893,0,0,0,0,0,0
AT2G19900,1346,84,86,441,208,467
AT2G19910,200,48,45,108,43,104
AT2G19920,31,23,13,13,13,7
AT2G19930,275,114,89,103,145,192
AT2G19940,976,482,506,310,406,440
AT2G19950,863,456,470,553,732,704
AT2G19960,0,2,4,1,8,7
AT2G19970,12,13,30,21,121,94
AT2G19980,4,0,0,3,3,3
AT2G19990,10,7,8,11,25,18
AT2G20000,692,316,370,288,517,533
AT2G20010,949,529,658,1041,1064,1121
AT2G20020,1151,646,686,512,593,574
AT2G20030,45,41,77,83,122,102
AT2G20050,1307,950,1031,1281,1599,1651
AT2G20060,736,352,356,354,410,538
AT2G20070,0,0,2,1,0,0
AT2G20080,68,88,110,82,268,195
AT2G20100,219,178,180,129,190,207
AT2G20110,94,64,55,56,95,83
AT2G20120,1261,843,838,1200,1190,1752
AT2G20130,519,312,327,345,474,545
AT2G20140,1110,516,547,583,594,797
AT2G20142,60,37,29,32,59,63
AT2G20150,2,4,5,5,10,5
AT2G20160,4,10,2,23,52,49
AT2G20170,2,0,2,1,4,1
AT2G20180,2150,840,884,1016,920,1193
AT2G20190,4240,2462,2569,2512,3150,3557
AT2G20208,1,1,0,1,0,1
AT2G20210,213,116,104,165,155,191
AT2G20230,2768,2588,2364,3438,4030,4734
AT2G20240,333,185,193,115,197,209
AT2G20250,7,7,12,10,20,7
AT2G20260,1336,1932,2002,724,2052,1544
AT2G20270,382,256,243,85,235,179
AT2G20280,1527,808,847,1258,1001,1334
AT2G20290,459,233,249,182,251,320
AT2G20300,1282,761,782,813,933,1043
AT2G20310,314,167,164,211,219,277
AT2G20320,545,331,326,556,628,776
AT2G20330,1275,664,734,787,1010,1096
AT2G20340,75,39,38,65,54,53
AT2G20350,2,3,0,4,2,2
AT2G20360,3674,2020,2075,1706,2365,2683
AT2G20362,17,17,13,11,24,30
AT2G20370,1952,951,963,1082,1095,1355
AT2G20380,2,2,6,10,8,7
AT2G20390,251,137,145,201,165,204
AT2G20400,279,142,142,223,213,284
AT2G20410,2403,1549,1633,518,1187,2452
AT2G20420,3509,1591,1454,1591,2078,2347
AT2G20430,4,4,4,4,5,5
AT2G20440,186,124,102,109,189,184
AT2G20450,1085,688,801,714,738,1008
AT2G20463,0,0,0,0,0,0
AT2G20465,0,0,0,0,1,0
AT2G20470,3,1,5,3,2,4
AT2G20480,17,12,16,8,19,24
AT2G20490,717,312,315,345,458,746
AT2G20495,181,91,96,102,82,127
AT2G20500,58,65,81,59,95,129
AT2G20510,13,12,10,10,6,20
AT2G20515,216,63,73,169,107,150
AT2G20520,569,345,535,221,757,687
AT2G20530,871,351,418,441,413,616
AT2G20540,48,27,27,38,46,30
AT2G20550,13,20,25,38,80,60
AT2G20560,340,205,137,164,160,223
AT2G20562,80,53,64,41,101,83
AT2G20570,762,789,884,286,510,410
AT2G20580,4813,2213,2226,2786,2735,3301
AT2G20585,525,322,339,185,348,351
AT2G20590,53,41,38,49,58,51
AT2G20595,0,0,0,0,0,0
AT2G20597,0,0,0,0,0,0
AT2G20605,0,0,1,1,0,1
AT2G20610,1882,933,1037,1152,1569,1671
AT2G20613,0,0,1,0,1,0
AT2G20616,0,0,0,0,0,0
AT2G20618,0,0,0,0,1,0
AT2G20619,0,0,0,0,1,1
AT2G20620,3,1,1,1,0,1
AT2G20625,0,0,0,0,0,0
AT2G20630,1655,1239,1134,1117,1428,1730
AT2G20635,88,66,67,60,89,95
AT2G20650,251,163,177,186,293,264
AT2G20660,0,0,0,0,0,1
AT2G20670,371,597,558,913,2778,2073
AT2G20680,637,278,263,262,235,314
AT2G20690,416,208,203,291,229,280
AT2G20700,10,3,5,8,10,5
AT2G20710,86,49,84,93,76,63
AT2G20720,129,40,28,104,54,82
AT2G20721,0,0,0,0,0,0
AT2G20722,0,0,0,0,0,0
AT2G20723,0,0,0,0,0,0
AT2G20725,439,257,276,316,358,474
AT2G20740,431,347,355,449,601,685
AT2G20750,345,261,239,104,328,262
AT2G20760,4670,2564,2521,3129,3358,3750
AT2G20770,136,58,76,115,89,111
AT2G20780,949,518,558,1120,860,1035
AT2G20784,1,0,0,0,1,0
AT2G20790,824,521,572,511,794,724
AT2G20800,6,11,12,14,16,6
AT2G20805,0,0,0,0,0,0
AT2G20810,928,528,553,493,616,762
AT2G20815,51,26,29,25,48,65
AT2G20820,3509,2242,2399,1546,2956,3095
AT2G20825,26,14,18,16,25,25
AT2G20830,613,393,392,574,569,675
AT2G20835,243,219,202,86,236,190
AT2G20840,462,362,380,241,463,477
AT2G20850,540,372,389,247,460,441
AT2G20860,2889,1526,1686,1574,1781,2285
AT2G20870,1,1,8,9,9,12
AT2G20873,0,0,0,0,0,0
AT2G20875,58,33,40,26,48,28
AT2G20880,29,63,78,96,126,106
AT2G20890,5323,4502,4289,2032,3925,3533
AT2G20900,649,363,378,392,503,545
AT2G20920,688,593,684,595,831,1026
AT2G20921,2,1,0,0,0,0
AT2G20930,550,279,283,135,238,288
AT2G20940,170,66,95,139,110,154
AT2G20950,770,555,510,849,763,987
AT2G20960,2210,1816,1891,2279,2712,3038
AT2G20970,5,8,11,8,7,5
AT2G20980,107,42,40,27,57,51
AT2G20990,4591,3048,3187,3489,3662,4243
AT2G21010,1,1,2,3,11,4
AT2G21030,1,0,5,1,3,2
AT2G21040,1,1,1,1,3,0
AT2G21045,86,233,329,282,695,607
AT2G21050,591,378,350,147,362,317
AT2G21060,811,298,340,234,358,431
AT2G21070,141,120,139,162,157,181
AT2G21080,24,77,100,22,70,62
AT2G21090,209,120,127,124,165,170
AT2G21100,74,52,57,66,139,99
AT2G21105,0,0,0,0,0,0
AT2G21110,1,3,4,6,5,2
AT2G21120,713,502,528,485,684,842
AT2G21130,354,151,185,93,201,161
AT2G21140,8089,12677,12256,6940,19106,15839
AT2G21150,331,199,216,214,260,281
AT2G21160,3253,1688,1656,1581,2079,2252
AT2G21170,10401,7703,8432,7172,7854,9049
AT2G21180,216,186,172,141,190,223
AT2G21185,65,75,47,136,133,184
AT2G21187,86,64,73,117,131,179
AT2G21188,7,9,1,5,14,7
AT2G21190,684,438,427,352,603,668
AT2G21195,230,185,155,137,161,186
AT2G21200,37,67,53,17,72,59
AT2G21210,164,274,247,64,229,190
AT2G21220,25,21,25,7,35,19
AT2G21230,624,449,475,621,646,700
AT2G21235,3,7,5,12,14,12
AT2G21237,6,5,1,3,3,2
AT2G21240,847,488,500,783,691,986
AT2G21250,1809,844,893,685,876,982
AT2G21260,22,11,11,6,16,15
AT2G21270,1185,782,768,683,1020,1018
AT2G21280,483,328,339,229,267,328
AT2G21290,627,301,384,469,459,584
AT2G21300,1471,555,613,899,842,1025
AT2G21320,63,45,39,55,74,71
AT2G21330,2991,1919,2040,2781,2469,2860
AT2G21340,313,163,170,67,190,139
AT2G21350,66,26,36,31,33,50
AT2G21360,0,0,0,0,0,0
AT2G21370,120,124,125,16,103,57
AT2G21380,1389,704,719,763,877,1023
AT2G21385,797,720,662,449,554,594
AT2G21390,10133,4826,4768,6816,6094,7889
AT2G21400,2,1,3,4,4,7
AT2G21410,2190,1213,1157,1498,1570,1907
AT2G21420,2,13,8,10,10,5
AT2G21430,51,27,28,71,45,59
AT2G21440,1161,609,738,881,861,1032
AT2G21450,11,9,14,18,18,17
AT2G21455,1,0,2,0,0,1
AT2G21465,0,0,0,0,1,2
AT2G21470,942,594,594,720,875,1049
AT2G21480,12,15,17,16,21,11
AT2G21490,2673,103,155,875,153,773
AT2G21500,278,211,243,279,370,453
AT2G21510,45,17,14,26,41,34
AT2G21520,1842,1510,1447,1660,2189,2275
AT2G21530,519,478,485,137,355,329
AT2G21540,1680,1309,1290,1680,2009,2340
AT2G21550,189,101,121,162,186,201
AT2G21560,83,103,116,269,336,303
AT2G21570,0,0,0,0,0,0
AT2G21580,2943,2119,2261,1880,2274,2889
AT2G21590,360,99,117,46,59,81
AT2G21595,0,0,2,0,0,0
AT2G21600,1431,950,872,683,1140,1190
AT2G21610,4,2,8,8,14,15
AT2G21620,4470,2951,2724,3379,3320,3852
AT2G21630,370,199,206,217,241,297
AT2G21640,321,316,335,109,218,242
AT2G21650,2,1,2,1,2,2
AT2G21655,1,0,2,0,0,1
AT2G21660,11537,3446,4276,7615,3968,7300
AT2G21670,0,0,0,0,0,0
AT2G21680,4,1,4,15,9,4
AT2G21690,0,0,0,1,1,0
AT2G21700,0,0,0,0,0,0
AT2G21710,263,152,199,137,140,168
AT2G21720,487,32,43,181,74,197
AT2G21725,0,0,1,0,0,0
AT2G21727,0,0,0,1,2,1
AT2G21730,10,6,12,17,20,8
AT2G21740,1,2,1,5,3,2
AT2G21750,1,2,2,9,6,2
AT2G21770,75,39,36,39,37,37
AT2G21780,15,17,13,24,11,13
AT2G21790,2247,1233,1200,696,1149,1239
AT2G21800,90,23,27,26,36,57
AT2G21810,3,0,0,0,0,1
AT2G21820,1068,39,58,276,64,322
AT2G21830,304,225,192,206,249,266
AT2G21840,53,126,185,82,336,250
AT2G21850,81,222,221,80,435,301
AT2G21860,290,417,413,125,330,242
AT2G21870,5282,3731,3582,2704,4211,4291
AT2G21880,184,130,133,92,247,216
AT2G21890,2,4,4,1,4,2
AT2G21900,6,9,4,5,8,10
AT2G21910,2725,1395,1139,1361,1089,1516
AT2G21920,4,1,1,1,4,2
AT2G21930,11,5,12,10,15,11
AT2G21940,254,159,170,232,238,279
AT2G21950,885,613,597,1036,873,1110
AT2G21960,378,429,452,210,511,411
AT2G21970,262,238,206,156,238,238
AT2G21980,0,0,0,0,0,0
AT2G21990,5,5,8,18,13,13
AT2G22000,261,180,160,119,242,316
AT2G22010,975,724,721,711,1082,1013
AT2G22030,1,9,9,12,7,7
AT2G22040,0,1,2,0,0,2
AT2G22050,2,4,7,13,9,6
AT2G22055,0,0,1,1,0,1
AT2G22060,0,4,12,12,16,9
AT2G22070,37,20,30,47,34,27
AT2G22080,1690,706,806,1427,1007,1569
AT2G22088,8,0,5,2,5,2
AT2G22090,438,302,334,361,459,495
AT2G22100,192,126,131,169,159,151
AT2G22110,0,0,0,0,0,0
AT2G22120,308,238,241,297,285,310
AT2G22121,0,0,0,0,0,0
AT2G22122,905,434,474,2797,1389,2633
AT2G22125,12122,6259,6475,7803,8368,10015
AT2G22140,102,30,33,21,38,42
AT2G22145,0,0,0,0,0,0
AT2G22155,0,0,0,1,0,2
AT2G22160,0,0,0,0,0,3
AT2G22170,6149,3493,3415,1915,2895,3252
AT2G22180,4,13,13,26,9,7
AT2G22190,32,16,17,19,16,41
AT2G22200,310,372,361,133,410,264
AT2G22220,0,0,0,0,0,0
AT2G22230,882,499,518,134,480,403
AT2G22240,747,297,289,345,331,448
AT2G22241,0,0,0,0,0,0
AT2G22250,406,218,274,121,314,268
AT2G22260,52,30,35,30,38,38
AT2G22270,202,135,118,144,223,256
AT2G22280,0,0,0,0,0,0
AT2G22290,12,7,13,11,22,21
AT2G22300,909,745,735,1102,1172,1449
AT2G22310,106,71,62,74,108,128
AT2G22320,1,1,3,11,5,1
AT2G22330,1510,1364,1361,1586,1332,1773
AT2G22340,0,4,4,2,5,3
AT2G22345,0,0,0,0,0,0
AT2G22360,791,466,517,460,496,540
AT2G22370,130,88,96,76,89,118
AT2G22380,0,0,0,0,0,0
AT2G22400,1300,805,848,1082,1104,1400
AT2G22410,121,44,60,75,67,66
AT2G22420,261,163,210,115,195,204
AT2G22425,680,497,463,339,586,620
AT2G22426,2,0,3,1,7,2
AT2G22430,2304,1932,2027,1722,2478,2485
AT2G22440,0,2,1,6,4,2
AT2G22450,735,346,398,646,392,669
AT2G22460,22,22,23,21,18,5
AT2G22465,2,0,1,1,0,0
AT2G22470,2506,3444,4081,1015,5432,3693
AT2G22475,499,307,298,354,417,473
AT2G22480,865,547,485,519,779,888
AT2G22482,15,2,8,6,13,10
AT2G22490,799,684,752,666,739,922
AT2G22496,0,0,0,0,0,0
AT2G22500,647,850,700,532,772,691
AT2G22510,6,31,59,65,259,209
AT2G22520,2,0,0,1,1,0
AT2G22530,277,123,114,101,164,191
AT2G22540,707,151,180,1133,199,770
AT2G22560,399,259,299,400,453,466
AT2G22570,108,80,88,100,194,214
AT2G22580,0,0,0,0,0,0
AT2G22590,1,6,8,8,20,6
AT2G22600,12,9,15,10,22,14
AT2G22610,270,122,146,114,151,170
AT2G22620,42,58,46,45,89,92
AT2G22630,1,3,5,11,19,31
AT2G22640,188,117,144,143,160,159
AT2G22650,203,112,123,253,107,319
AT2G22660,3051,1855,1799,3789,3297,4362
AT2G22668,0,0,0,0,0,0
AT2G22670,2836,1669,1680,1294,1886,1896
AT2G22680,1635,1209,1211,2050,2235,2332
AT2G22690,249,158,148,229,215,293
AT2G22720,1883,1035,1076,1719,1693,2256
AT2G22730,35,25,19,12,28,30
AT2G22740,404,216,232,283,345,352
AT2G22750,0,2,10,14,26,12
AT2G22760,2,8,9,5,5,5
AT2G22770,903,938,898,469,827,724
AT2G22780,5755,2822,3211,2541,2677,3084
AT2G22790,70,73,48,128,101,106
AT2G22795,1607,678,846,648,1015,960
AT2G22800,56,50,57,90,82,86
AT2G22805,0,0,0,0,1,0
AT2G22807,0,0,1,2,0,0
AT2G22810,4,8,15,8,15,14
AT2G22820,0,1,0,0,1,3
AT2G22821,2,14,24,3,5,2
AT2G22830,123,76,97,31,105,96
AT2G22840,1090,389,448,573,504,702
AT2G22850,29,36,52,59,101,89
AT2G22860,59,67,96,147,358,347
AT2G22870,345,237,241,170,258,291
AT2G22880,48,31,49,52,68,86
AT2G22890,396,255,238,201,287,351
AT2G22900,1535,871,920,963,820,946
AT2G22905,7,6,6,10,3,8
AT2G22910,370,223,241,286,276,351
AT2G22920,103,94,87,128,247,242
AT2G22930,64,49,48,32,52,61
AT2G22940,0,0,0,0,0,0
AT2G22941,0,0,0,3,0,0
AT2G22942,1,4,2,1,8,6
AT2G22950,1,6,12,15,23,4
AT2G22955,0,1,1,1,0,0
AT2G22960,0,0,0,0,0,0
AT2G22970,581,431,388,262,638,589
AT2G22980,18,25,28,21,111,84
AT2G22990,898,1333,1274,618,2023,1613
AT2G23000,0,3,5,2,7,2
AT2G23010,542,335,309,104,143,175
AT2G23020,0,0,0,0,0,0
AT2G23030,50,44,68,143,286,242
AT2G23040,33,27,30,14,30,26
AT2G23050,20,14,25,44,72,84
AT2G23060,13,7,9,22,20,19
AT2G23067,0,0,0,0,0,0
AT2G23070,4051,3046,3291,4491,4197,5466
AT2G23080,319,295,227,227,322,372
AT2G23090,5243,3521,3288,3022,4732,6564
AT2G23093,95,56,44,38,78,64
AT2G23096,2,0,0,0,0,0
AT2G23100,291,141,182,112,224,179
AT2G23110,373,69,80,199,86,177
AT2G23118,2,0,0,0,0,0
AT2G23120,1447,1126,1233,778,1706,1442
AT2G23130,515,384,373,121,193,159
AT2G23140,745,460,465,719,655,873
AT2G23142,0,0,1,0,0,0
AT2G23148,1,0,1,0,1,0
AT2G23150,550,281,324,247,334,383
AT2G23160,3,4,8,4,4,4
AT2G23170,1003,890,721,1730,1104,1856
AT2G23180,132,98,75,60,99,89
AT2G23190,4,7,13,15,16,13
AT2G23200,458,251,310,374,440,520
AT2G23210,262,132,143,89,188,186
AT2G23220,9,4,8,14,10,3
AT2G23230,2,3,2,9,3,2
AT2G23240,1451,24,26,218,47,438
AT2G23250,0,4,6,10,14,4
AT2G23260,2,6,9,16,15,4
AT2G23270,1,1,3,7,15,10
AT2G23290,157,70,96,146,162,172
AT2G23300,273,114,132,204,216,244
AT2G23310,1634,952,1182,1348,1361,1679
AT2G23320,1126,879,901,1096,1299,1621
AT2G23321,0,0,0,0,0,0
AT2G23340,131,134,117,157,187,175
AT2G23347,1,2,2,2,2,4
AT2G23348,14,10,11,4,11,10
AT2G23350,6847,4536,4708,5256,5022,6089
AT2G23360,465,245,244,204,284,284
AT2G23370,188,95,100,95,133,137
AT2G23380,768,400,429,513,429,496
AT2G23390,518,355,367,225,385,364
AT2G23400,2,1,0,3,9,4
AT2G23410,7,2,2,3,12,12
AT2G23420,298,215,218,185,242,272
AT2G23430,154,129,113,110,132,145
AT2G23440,1,0,5,5,0,1
AT2G23445,1,2,0,0,2,0
AT2G23450,667,530,571,854,971,1033
AT2G23460,1412,805,890,1118,1096,1369
AT2G23470,44,34,36,18,31,44
AT2G23510,2,2,5,4,3,5
AT2G23520,560,361,334,354,458,468
AT2G23530,23,20,39,28,51,50
AT2G23540,2,12,21,58,82,83
AT2G23550,14,10,15,15,13,22
AT2G23560,68,36,49,56,84,83
AT2G23570,0,0,6,1,1,3
AT2G23580,3,1,6,7,5,3
AT2G23590,81,53,68,34,36,34
AT2G23600,192,120,117,246,266,393
AT2G23610,522,253,222,410,388,583
AT2G23620,432,245,369,556,728,749
AT2G23630,20,10,13,55,79,80
AT2G23640,172,9,10,83,20,57
AT2G23650,0,0,0,0,0,0
AT2G23660,0,2,1,13,6,2
AT2G23670,395,308,280,178,286,237
AT2G23672,420,334,335,241,288,270
AT2G23680,97,105,76,92,92,130
AT2G23690,173,56,71,88,71,105
AT2G23700,295,200,258,148,250,212
AT2G23740,809,362,372,374,407,463
AT2G23755,59,63,46,49,61,72
AT2G23760,689,505,562,641,611,800
AT2G23770,407,369,365,541,698,805
AT2G23780,638,398,445,481,583,755
AT2G23790,450,205,237,351,391,416
AT2G23800,2,3,5,19,10,3
AT2G23810,1126,1477,1276,1247,2221,2208
AT2G23820,715,486,575,294,479,492
AT2G23830,3,0,3,14,2,17
AT2G23834,0,0,0,0,0,0
AT2G23840,24,30,32,10,22,22
AT2G23890,349,200,180,169,239,260
AT2G23900,3,3,6,8,6,8
AT2G23910,106,132,126,24,60,60
AT2G23930,913,509,555,384,492,606
AT2G23940,371,215,201,280,249,276
AT2G23945,29,17,20,28,35,16
AT2G23950,174,150,184,162,298,296
AT2G23960,4,4,6,8,18,14
AT2G23970,31,6,11,29,10,42
AT2G23980,1112,741,693,1071,1092,1358
AT2G23985,88,87,93,74,126,142
AT2G23987,15,24,12,17,24,28
AT2G23990,1,2,3,5,4,1
AT2G24000,4,1,2,3,0,6
AT2G24010,11,6,13,15,21,6
AT2G24020,1212,798,836,327,734,681
AT2G24030,29,12,12,19,10,16
AT2G24040,189,132,143,85,230,245
AT2G24050,1321,883,923,849,956,1081
AT2G24060,1580,1108,1044,540,937,996
AT2G24070,84,39,38,42,58,68
AT2G24080,0,5,3,8,3,6
AT2G24090,5059,4467,4751,1983,3314,3148
AT2G24100,487,351,379,494,593,736
AT2G24103,0,1,0,1,0,0
AT2G24120,1401,961,1103,877,879,1037
AT2G24130,3,10,17,27,50,23
AT2G24140,10,7,10,37,37,29
AT2G24150,1258,1168,1108,750,1395,1376
AT2G24170,1157,400,410,399,494,598
AT2G24180,1242,998,1067,1410,1381,1758
AT2G24190,3,5,6,5,7,6
AT2G24195,2,1,0,4,1,1
AT2G24200,4817,2147,2338,3810,2987,4208
AT2G24205,0,0,0,1,1,0
AT2G24210,19,9,11,7,0,6
AT2G24220,294,104,118,126,116,200
AT2G24230,525,278,305,259,304,347
AT2G24240,387,222,251,581,464,541
AT2G24250,124,93,125,64,115,118
AT2G24255,3,1,6,6,8,5
AT2G24260,1083,697,948,2366,2194,2951
AT2G24270,8826,5719,5610,5591,6198,7014
AT2G24280,862,547,744,250,552,512
AT2G24285,2,5,3,9,12,6
AT2G24290,444,287,298,238,279,340
AT2G24300,683,378,349,341,626,631
AT2G24310,52,21,19,47,37,47
AT2G24320,11,9,7,9,13,11
AT2G24330,578,347,345,380,508,524
AT2G24340,9,2,1,10,4,4
AT2G24350,85,39,40,20,25,47
AT2G24360,2135,1330,1308,2111,2200,2610
AT2G24370,1,1,7,8,10,2
AT2G24380,0,0,0,0,0,0
AT2G24390,182,114,108,79,56,90
AT2G24395,81,63,64,20,37,47
AT2G24400,18,15,20,22,37,32
AT2G24410,1,0,0,0,0,0
AT2G24420,1517,935,1001,1614,1379,2047
AT2G24430,6,9,8,8,21,12
AT2G24440,105,62,74,42,70,65
AT2G24450,35,42,25,30,36,27
AT2G24460,1,2,7,7,9,2
AT2G24470,0,0,0,0,0,0
AT2G24480,2,3,3,2,3,1
AT2G24490,225,106,95,53,123,107
AT2G24500,604,439,459,463,591,711
AT2G24510,0,0,2,1,0,2
AT2G24520,300,162,183,205,179,257
AT2G24530,156,107,127,108,149,132
AT2G24535,7,7,0,1,6,7
AT2G24540,197,233,261,165,243,261
AT2G24545,204,230,271,182,263,221
AT2G24550,645,723,718,1135,1748,1675
AT2G24560,175,46,80,22,28,37
AT2G24570,775,622,807,1114,1487,1474
AT2G24580,197,159,217,520,529,631
AT2G24590,855,301,345,425,459,532
AT2G24592,94,31,41,58,49,73
AT2G24600,81,86,101,25,99,72
AT2G24610,63,37,73,84,148,122
AT2G24615,0,0,0,0,2,0
AT2G24617,0,0,0,0,1,1
AT2G24620,0,0,0,0,1,0
AT2G24625,0,0,0,0,0,0
AT2G24630,435,241,277,155,258,238
AT2G24640,492,274,270,256,375,404
AT2G24645,62,42,43,19,34,36
AT2G24650,408,186,232,275,316,297
AT2G24670,0,2,3,4,8,3
AT2G24680,10,4,9,12,21,12
AT2G24681,3,3,2,3,13,3
AT2G24683,2,4,1,0,2,3
AT2G24690,304,131,152,163,195,245
AT2G24692,19,0,5,8,0,7
AT2G24693,1,1,0,3,8,5
AT2G24696,0,2,3,1,6,0
AT2G24700,35,23,27,9,12,14
AT2G24710,7,19,9,48,71,69
AT2G24720,0,11,9,23,31,33
AT2G24735,1,0,1,0,1,1
AT2G24740,6,10,14,22,18,10
AT2G24755,119,396,411,142,619,344
AT2G24762,254,155,229,752,430,626
AT2G24765,935,613,584,544,667,749
AT2G24780,1,7,7,6,17,5
AT2G24790,4385,2736,2737,1682,2530,2520
AT2G24800,299,168,151,113,104,165
AT2G24810,1,0,0,0,0,0
AT2G24820,758,514,585,281,426,397
AT2G24830,231,172,176,167,234,205
AT2G24840,3,4,6,13,9,7
AT2G24850,15,83,51,6,16,11
AT2G24860,227,201,184,92,157,172
AT2G24870,0,1,0,1,3,0
AT2G24880,0,0,1,0,1,0
AT2G24940,1543,1182,1101,1248,1781,2152
AT2G24945,132,72,72,110,121,137
AT2G24950,0,2,0,5,3,1
AT2G24960,152,79,95,82,123,158
AT2G24970,79,27,45,51,42,59
AT2G24980,4494,3623,6349,1200,5971,4489
AT2G24990,443,258,248,338,311,452
AT2G25000,201,140,108,82,184,169
AT2G25010,232,129,139,182,205,219
AT2G25011,0,0,0,1,1,0
AT2G25050,839,464,493,510,504,602
AT2G25055,0,0,0,0,0,0
AT2G25060,394,245,270,110,240,202
AT2G25070,928,739,642,780,1106,1344
AT2G25080,688,899,911,702,1324,1091
AT2G25090,109,59,72,145,186,200
AT2G25095,0,0,1,2,0,0
AT2G25100,171,116,113,63,114,99
AT2G25110,1133,527,548,510,756,808
AT2G25120,6,1,4,5,4,7
AT2G25125,0,0,2,0,4,1
AT2G25130,221,87,97,142,74,144
AT2G25140,832,451,454,558,724,752
AT2G25150,288,198,152,65,189,146
AT2G25160,946,888,769,391,1235,907
AT2G25169,0,0,0,0,0,0
AT2G25170,1786,915,946,965,1115,1256
AT2G25171,0,0,0,0,0,0
AT2G25180,1165,803,821,748,1249,1203
AT2G25185,0,1,0,0,0,0
AT2G25190,239,158,136,194,229,258
AT2G25200,38,41,45,62,87,74
AT2G25210,1407,666,639,291,671,913
AT2G25215,5,2,4,5,10,9
AT2G25220,159,159,156,110,205,191
AT2G25230,0,1,2,0,3,1
AT2G25240,85,127,173,94,311,269
AT2G25250,689,774,869,387,1136,888
AT2G25260,127,113,140,204,343,342
AT2G25270,254,115,112,65,125,135
AT2G25280,550,385,385,361,579,617
AT2G25290,232,151,185,203,226,249
AT2G25295,0,0,0,1,0,0
AT2G25297,5,4,4,1,7,6
AT2G25300,190,87,94,98,120,128
AT2G25305,0,0,1,0,1,0
AT2G25310,1167,685,706,840,764,1072
AT2G25312,0,0,1,0,0,2
AT2G25320,1516,756,790,902,1143,1288
AT2G25330,3,2,10,9,17,5
AT2G25340,21,2,1,2,0,6
AT2G25344,0,0,1,4,1,0
