gene,Atha_WT_Col_0_sl_FLT_Rep1_G1S1,Atha_WT_Col_0_sl_FLT_Rep2_G1S2,Atha_WT_Col_0_sl_FLT_Rep3_G1S3,Atha_WT_Col_0_sl_GC_Rep1_G2S1,Atha_WT_Col_0_sl_GC_Rep2_G2S2,Atha_WT_Col_0_sl_GC_Rep3_G2S3
AT1G02380,33,41,44,60,33,49
AT1G02390,32,31,42,25,38,59
AT1G02400,692,707,648,278,927,676
AT1G02405,20,14,28,19,45,22
AT1G02410,359,203,206,154,214,307
AT1G02420,75,52,65,50,60,53
AT1G02430,13,2,6,21,21,13
AT1G02440,7,1,4,10,8,4
AT1G02450,3,7,4,8,7,12
AT1G02460,171,76,108,71,99,87
AT1G02470,10,12,11,13,18,14
AT1G02475,273,254,246,61,220,198
AT1G02480,0,0,0,0,0,0
AT1G02490,2,1,0,1,1,0
AT1G02500,14838,9339,9295,12973,13617,15673
AT1G02510,3,5,5,7,6,5
AT1G02520,211,145,248,459,481,552
AT1G02530,13,11,20,29,28,18
AT1G02540,0,0,2,1,3,1
AT1G02550,1,2,1,8,5,7
AT1G02560,3605,2311,2238,1031,2079,1937
AT1G02570,49,50,89,61,135,76
AT1G02575,20,22,24,31,59,38
AT1G02580,26,16,24,76,74,94
AT1G02590,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0
AT1G02610,56,57,54,63,112,133
AT1G02620,64,40,46,35,46,39
AT1G02630,51,24,18,25,13,20
AT1G02640,7412,5908,6043,3857,6336,5718
AT1G02650,62,71,54,64,87,66
AT1G02660,370,362,319,276,739,525
AT1G02670,45,17,12,13,14,15
AT1G02680,236,122,128,149,184,242
AT1G02690,386,199,246,313,380,476
AT1G02700,660,25,36,236,56,165
AT1G02705,53,31,53,19,66,49
AT1G02710,37,17,30,19,30,23
AT1G02720,425,302,320,238,394,360
AT1G02730,1279,624,739,684,1019,1004
AT1G02740,137,95,96,94,132,141
AT1G02750,282,186,227,229,224,387
AT1G02760,0,0,0,0,0,0
AT1G02770,45,27,15,24,38,33
AT1G02780,15398,6794,7747,8473,8442,10155
AT1G02790,1,0,1,1,5,0
AT1G02800,3511,2295,1954,404,1087,895
AT1G02810,645,540,536,577,916,854
AT1G02813,1,1,1,3,3,1
AT1G02816,823,558,483,322,534,610
AT1G02820,18,20,24,7,9,12
AT1G02830,1,0,0,0,0,2
AT1G02840,2693,1480,1570,3009,2169,3155
AT1G02850,1290,474,692,641,793,997
AT1G02860,168,192,151,367,443,549
AT1G02870,543,219,271,291,321,494
AT1G02880,383,278,302,202,343,352
AT1G02890,3164,1790,1967,3413,2645,3849
AT1G02900,696,590,529,724,942,1130
AT1G02910,581,439,443,365,434,507
AT1G02920,927,1389,1449,1132,3406,2993
AT1G02930,699,555,680,712,1078,1223
AT1G02940,2,0,1,4,0,2
AT1G02950,12,23,32,38,96,63
AT1G02952,2,3,1,0,5,2
AT1G02960,288,184,156,144,205,268
AT1G02965,0,0,0,0,0,0
AT1G02970,78,46,40,23,42,62
AT1G02980,2,4,1,2,7,8
AT1G02990,554,357,341,394,541,582
AT1G03000,743,381,437,481,507,643
AT1G03010,13,10,19,50,68,85
