gene,root_control_1,root_control_2,root_control_3,root_ABA_1,root_ABA_2,root_ABA_3
AT1G78970,40,73,148,111,144,225
AT1G78980,2,2,9,8,5,5
AT1G78990,517,570,854,1261,955,1440
AT1G78995,2,4,3,6,6,2
AT1G79000,6209,4770,8048,5028,4359,6771
AT1G79010,11048,10116,11686,6987,9339,7281
AT1G79020,1329,1293,1745,1065,1272,1259
AT1G79030,2464,1990,2915,1530,1735,1792
AT1G79040,1996,1804,2484,2089,2437,2255
AT1G79050,1620,1407,1938,803,1090,1047
AT1G79060,1246,1411,1609,308,566,432
AT1G79070,538,569,671,308,424,348
AT1G79075,2831,2670,2478,1124,2002,859
AT1G79080,820,847,1025,515,654,538
AT1G79090,5032,4413,6748,3906,4155,4824
AT1G79100,31,54,60,25,52,20
AT1G79110,576,451,784,395,431,403
AT1G79120,327,271,324,170,195,233
AT1G79130,2,0,4,0,2,2
AT1G79150,5396,4784,5819,1493,1816,1808
AT1G79160,1911,1962,2438,4333,4655,3377
AT1G79170,46,30,35,15,25,16
AT1G79180,907,891,1615,890,854,1102
AT1G79190,2054,1687,2479,1054,1202,1399
AT1G79200,1854,1908,2240,1098,1446,1209
AT1G79210,4529,4479,5300,3289,4623,3393
AT1G79220,480,453,491,271,443,308
AT1G79230,9996,9699,11505,7936,9195,9112
AT1G79240,0,0,0,0,0,0
AT1G79250,63,82,147,46,26,42
AT1G79260,1976,1935,2261,1187,1925,1353
AT1G79270,5105,4392,6915,6578,8687,9619
AT1G79280,9705,8708,12069,6263,5945,8314
AT1G79290,0,0,0,0,0,0
AT1G79300,0,0,0,0,0,0
AT1G79310,745,688,1260,355,277,519
AT1G79320,522,625,534,1441,1122,857
AT1G79330,353,342,445,556,561,523
AT1G79340,11235,11637,14941,10222,10437,10838
AT1G79350,4248,4128,5954,3482,3700,4446
AT1G79360,443,446,431,670,1053,665
AT1G79370,4,0,2,0,2,2
AT1G79380,5084,4468,5366,2795,3108,3372
AT1G79390,3410,3216,3295,1662,2751,1763
AT1G79400,7,1,4,1,0,0
AT1G79410,932,759,1572,329,297,522
AT1G79420,641,539,893,588,669,560
AT1G79430,1339,819,1502,711,826,942
AT1G79440,5823,5467,7517,4639,5773,5419
AT1G79450,2087,2238,2595,2704,3216,2261
AT1G79460,1302,1308,1506,1064,1409,1401
AT1G79470,3097,2551,3624,1477,1282,1649
AT1G79480,311,174,401,219,208,257
AT1G79490,1123,1122,1085,493,695,527
AT1G79500,3275,3150,3725,1975,2885,2479
AT1G79510,580,583,701,485,571,665
AT1G79520,1567,1374,1798,6021,8951,5558
AT1G79529,10118,9798,10439,5542,9248,5947
AT1G79530,34647,33118,39223,19932,27732,23779
AT1G79540,1279,1131,1492,754,914,919
AT1G79550,47498,47958,58638,27166,37310,33993
AT1G79560,3151,3102,3854,1322,1731,1638
AT1G79570,4170,3780,5635,2920,2847,3698
AT1G79580,814,887,904,319,410,307
AT1G79590,2292,2220,2542,1873,2126,1836
AT1G79600,2704,2283,3443,3470,4096,3866
AT1G79610,2398,2004,2621,2937,2669,2847
AT1G79620,948,887,1834,1215,1432,1911
AT1G79630,2512,2073,2739,1515,1854,2212
AT1G79640,821,679,963,335,333,403
AT1G79650,5480,4802,5959,2627,3280,2971
AT1G79660,1923,1812,2478,1510,1871,1679
AT1G79670,2718,2469,3199,1341,1340,1819
AT1G79680,35,36,83,10,6,20
AT1G79690,9860,8205,10999,5570,6155,6914
AT1G79700,366,354,503,816,873,965
AT1G79710,2797,2741,3558,1778,2218,2218
AT1G79720,1830,1801,2240,1109,1394,1393
AT1G79730,4688,4593,6026,3213,3622,3763
AT1G79740,1781,1616,2108,1333,1477,1629
AT1G79750,21264,19112,24628,16737,18164,19046
AT1G79760,313,236,512,98,74,151
AT1G79770,0,0,2,0,0,0
AT1G79780,142,137,179,100,139,146
AT1G79790,1138,961,1198,602,839,784
AT1G79800,8,0,6,4,8,2
AT1G79810,2488,2018,2627,1440,1812,1882
AT1G79820,3077,3165,3335,1862,2877,2261
