gene,root_control_1,root_control_2,root_control_3,root_ABA_1,root_ABA_2,root_ABA_3
AT1G01010,2029,1481,2694,1353,1174,1404
AT1G01020,1626,1608,1895,1068,1413,1342
AT1G01030,150,230,375,108,232,223
AT1G01040,3174,2599,4260,2271,2471,3410
AT1G01046,70,42,115,38,57,93
AT1G01050,9025,8165,9355,5575,7561,6597
AT1G01060,2512,2057,2796,2430,3398,3229
AT1G01070,1606,748,1225,1950,1640,2153
AT1G01073,0,0,0,0,0,0
AT1G01080,667,546,817,358,448,429
AT1G01090,11777,11072,16546,13325,11880,11901
AT1G01100,32908,34170,31402,15724,28989,16102
AT1G01110,1421,1334,1447,644,780,723
AT1G01115,0,0,0,0,0,0
AT1G01120,3053,3072,5105,15249,13046,10981
AT1G01130,358,296,405,198,319,232
AT1G01140,295,279,318,352,306,300
AT1G01150,42,17,23,13,14,15
AT1G01160,3521,3220,3754,2370,3153,2704
AT1G01170,790,663,1056,588,717,634
AT1G01180,428,384,523,224,166,229
AT1G01183,3,3,8,1,8,3
AT1G01190,614,284,816,222,151,339
AT1G01200,640,644,844,346,445,419
AT1G01210,1628,1409,1744,606,823,676
AT1G01220,2412,2296,2828,1564,1791,1904
AT1G01225,576,467,672,733,621,462
AT1G01230,2577,2449,3049,2064,2496,2009
AT1G01240,830,754,925,2069,2675,1925
AT1G01250,0,2,2,2,2,0
AT1G01260,2275,2072,3115,1291,1314,1785
AT1G01270,0,0,0,0,0,0
AT1G01280,0,1,0,0,0,0
AT1G01290,1520,1577,1779,958,1235,1016
AT1G01300,8644,8468,10808,4495,5480,5094
AT1G01305,4,0,0,0,2,0
AT1G01310,19,16,13,27,11,8
AT1G01320,2492,2063,2730,1349,1580,1916
AT1G01340,2413,1412,2665,712,548,815
AT1G01350,2646,2627,3407,1748,2204,2154
AT1G01355,0,2,0,0,2,0
AT1G01360,1205,1156,1442,941,1247,1026
AT1G01370,919,915,987,418,557,417
AT1G01380,152,208,214,78,66,80
AT1G01390,18,9,10,16,5,0
AT1G01400,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0
AT1G01420,202,98,248,67,58,99
AT1G01430,1531,1631,2227,1193,1700,1469
AT1G01440,1364,1214,1762,1074,1038,1038
AT1G01448,1047,957,1271,776,1035,959
AT1G01450,581,581,723,495,660,545
AT1G01453,81,112,169,69,50,87
AT1G01460,0,2,0,2,0,2
AT1G01470,8728,6658,7998,24697,32537,19090
AT1G01471,0,0,0,0,0,0
AT1G01480,348,328,373,287,343,290
AT1G01490,6590,5587,7610,4598,5361,5153
AT1G01500,629,571,768,585,612,518
AT1G01510,5284,4921,5193,3305,4603,3651
AT1G01520,32,14,15,51,144,97
AT1G01530,0,0,3,0,0,0
AT1G01540,4552,4258,5746,4070,5755,4856
AT1G01550,13703,12632,18579,13945,14705,15908
AT1G01560,74,79,108,323,323,137
AT1G01570,245,143,308,632,612,550
AT1G01580,6641,3089,3617,322,227,234
AT1G01590,2,0,2,5,5,3
AT1G01600,1020,1435,1382,2611,3034,2463
AT1G01610,2517,2335,3636,14837,11750,11052
AT1G01620,15749,14156,18631,18388,24346,18469
AT1G01630,5102,4765,6474,3330,4461,4051
AT1G01640,2466,1534,2389,1270,1413,1644
AT1G01650,3401,2892,4055,4309,4585,4874
AT1G01660,170,221,391,92,95,157
AT1G01670,155,113,227,87,142,137
AT1G01680,199,123,108,116,131,122
AT1G01690,998,911,1066,563,663,722
AT1G01695,34,48,40,26,28,33
AT1G01700,288,193,251,116,100,135
AT1G01710,2934,2398,3155,2433,2737,2658
AT1G01720,2906,2709,4123,7613,8319,8026
AT1G01725,641,506,812,445,498,505
AT1G01730,3172,2969,3523,2005,2261,2266
AT1G01740,718,660,792,271,455,409
AT1G01750,1820,2842,3994,1113,889,1471
AT1G01760,670,593,659,420,510,443
AT1G01770,1338,1128,1468,1650,1703,1990
AT1G01780,1034,1010,1635,1087,1188,1240
AT1G01790,1542,1220,1788,695,759,960
AT1G01800,6205,4871,6641,4036,4969,4940
AT1G01810,114,84,125,82,105,97
AT1G01820,4671,4031,4764,2292,2999,2665
AT1G01830,1238,1226,1728,1048,1262,1409
AT1G01840,197,170,212,113,169,166
AT1G01860,535,503,658,394,426,423
AT1G01870,1,0,0,0,0,0
AT1G01880,216,193,173,108,168,118
AT1G01890,0,0,0,0,0,0
AT1G01900,188,136,372,734,1093,1205
AT1G01910,5189,4882,5543,3401,4242,3537
AT1G01920,3116,3671,3160,1763,2958,2131
AT1G01930,1419,1192,1556,992,1137,1161
AT1G01940,2217,2029,2211,1241,1786,1238
AT1G01950,2409,2306,2917,1418,1633,1731
AT1G01960,12478,10894,15065,7957,8501,10252
AT1G01970,501,446,528,380,460,399
AT1G01980,0,2,1,6,10,4
AT1G01990,1817,1437,1891,1341,1564,1210
AT1G02000,1196,1078,1677,1170,1324,1398
AT1G02010,937,753,1002,635,753,784
AT1G02020,630,554,908,476,524,621
AT1G02030,115,96,155,115,125,124
AT1G02040,12,13,13,1,8,6
AT1G02050,1016,970,806,403,757,572
AT1G02060,1166,946,1045,522,670,671
AT1G02065,0,0,3,1,0,2
AT1G02070,19,9,17,36,30,35
AT1G02074,0,0,0,9,10,0
AT1G02080,13048,11056,16560,10066,10031,13591
AT1G02090,4269,4076,5281,2676,3490,2878
AT1G02100,3927,3725,4609,2894,3434,3445
AT1G02110,3073,2664,3083,1656,2392,1893
AT1G02120,5841,4665,6821,3465,3148,4336
AT1G02130,4329,3896,4891,3061,3853,3465
AT1G02140,8821,8529,9936,5290,7181,5613
AT1G02145,2202,2258,2795,1432,1966,1829
AT1G02150,2373,2364,2515,1337,1874,1492
AT1G02160,1528,1409,1554,948,1561,1041
AT1G02170,2904,2387,3401,3110,2959,2763
AT1G02180,387,296,432,299,319,295
AT1G02190,2,0,4,0,4,7
AT1G02205,72,60,123,6009,9480,9090
AT1G02210,0,0,0,0,0,0
AT1G02220,6724,6360,8373,5955,7675,6261
AT1G02230,320,328,410,141,166,191
AT1G02250,12,18,9,8,10,6
AT1G02260,1926,1755,2193,1341,1495,1714
AT1G02270,1461,1216,1919,970,1048,1146
AT1G02280,1808,1759,1844,1044,1517,1003
AT1G02290,1176,1045,1347,691,888,913
AT1G02300,387,394,444,252,279,308
AT1G02305,6554,5096,6566,8706,8084,8012
AT1G02310,324,209,327,1595,1938,1377
AT1G02320,3,0,3,8,7,2
AT1G02330,3510,2943,3915,2039,2366,2372
AT1G02335,540,770,2128,712,929,1756
AT1G02340,563,603,836,1088,1405,1032
AT1G02350,149,169,161,66,125,95
AT1G02360,5803,4824,7220,1336,949,1057
AT1G02370,1314,1236,1464,467,644,551
AT1G02380,350,329,427,397,374,265
AT1G02390,547,623,625,400,483,421
AT1G02391,0,0,0,0,0,0
AT1G02400,1156,1230,1484,5662,6187,3719
AT1G02405,10,8,6,5,0,10
AT1G02410,2599,2246,2941,1828,2345,2087
AT1G02420,521,582,632,320,344,362
AT1G02430,573,595,635,210,263,201
AT1G02440,107,54,97,8,13,18
AT1G02450,21,18,34,6,4,12
AT1G02460,301,157,483,74,16,91
AT1G02470,50,53,64,481,426,270
AT1G02475,579,458,750,499,642,583
AT1G02480,0,0,0,0,0,0
AT1G02490,13,22,15,3,11,7
AT1G02500,55378,51779,69626,52691,53351,51238
AT1G02510,2,0,0,3,1,1
AT1G02520,5462,4592,6536,2289,2139,2415
AT1G02530,206,186,217,125,117,106
AT1G02540,1,0,1,0,0,0
AT1G02550,0,0,2,0,0,0
AT1G02560,5535,4882,6168,3325,4315,3798
AT1G02570,73,125,207,38,52,76
AT1G02575,22,18,47,20,4,0
AT1G02580,157,139,153,118,61,67
AT1G02590,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0
AT1G02610,200,138,238,335,273,229
AT1G02620,0,0,0,0,0,0
AT1G02630,0,2,0,2,0,2
AT1G02640,1376,1543,2184,990,755,953
AT1G02650,149,148,173,85,161,114
AT1G02660,336,336,358,3736,4156,2527
AT1G02670,191,249,299,406,591,472
AT1G02680,1224,1125,1367,758,1120,939
AT1G02690,6431,5794,6475,2545,3716,2824
AT1G02700,23,13,41,253,330,182
AT1G02710,41,41,110,46,66,85
AT1G02720,1438,1542,2036,638,1111,847
AT1G02730,7893,6255,7629,2960,3705,3108
AT1G02740,767,651,1007,442,479,559
AT1G02750,1412,1146,1611,1084,1366,1094
AT1G02760,0,1,0,0,1,0
AT1G02770,7,10,22,17,21,20
AT1G02780,103904,100213,104679,50425,81694,54891
AT1G02790,1,0,0,0,0,0
AT1G02800,9,17,16,4,10,2
AT1G02810,4098,3266,4475,1031,1187,1205
AT1G02813,25,6,32,10,4,20
AT1G02816,1800,1648,2227,3657,4657,3677
AT1G02820,44,36,60,6,18,8
AT1G02830,9,2,15,2,5,0
AT1G02840,10825,9729,11176,7654,9826,8449
AT1G02850,3069,2965,4515,6364,7952,8572
AT1G02860,2139,2004,2507,1774,1528,1379
AT1G02870,3662,3460,3643,1747,2942,2004
AT1G02880,2698,2534,3840,1659,1967,2186
AT1G02890,10205,9010,12900,6518,6469,8068
AT1G02900,4482,3326,6083,4594,4526,3862
AT1G02910,994,948,1129,624,851,830
AT1G02920,31673,24993,33583,6092,7682,6605
AT1G02930,22935,16425,24930,3871,4789,4597
AT1G02940,12,6,14,0,8,4
AT1G02950,1347,1059,1676,1016,1442,1254
AT1G02952,1181,964,1526,935,1327,1159
AT1G02960,1915,1784,2256,1306,1660,1722
AT1G02965,1,4,5,2,3,0
AT1G02970,795,778,855,384,491,417
AT1G02980,89,85,121,46,52,78
AT1G02990,1877,1726,2560,1542,1385,1860
AT1G03000,1922,1649,2259,1115,1244,1542
AT1G03010,210,247,438,173,193,345
AT1G03020,0,0,1,2,0,0
AT1G03022,0,0,0,0,0,0
AT1G03030,1788,1690,1950,1387,1900,1744
AT1G03040,4729,3728,5902,3157,3484,3914
AT1G03050,4,18,18,6,22,21
AT1G03055,14,9,8,4,2,10
AT1G03060,6589,5627,7628,4267,4053,5580
AT1G03070,67,110,228,412,555,537
AT1G03080,9747,8981,12793,9502,8586,12736
AT1G03090,2283,2005,2367,2089,2018,2120
AT1G03100,650,563,684,235,268,274
AT1G03103,0,0,0,0,0,0
AT1G03106,38,28,24,26,12,15
AT1G03110,2808,2699,2994,1125,1469,1282
AT1G03120,22,24,23,44,58,41
AT1G03130,156,145,170,209,149,140
AT1G03140,4631,4470,4877,3468,4422,3638
AT1G03150,1913,1866,2412,1226,1483,1374
AT1G03160,1338,1015,1533,751,822,1011
AT1G03170,34,31,82,20,34,70
AT1G03180,603,765,805,590,883,672
AT1G03190,1474,1327,1641,953,1287,1226
AT1G03200,170,149,200,145,164,154
AT1G03210,3052,3267,3402,1395,2131,1618
AT1G03220,43879,39517,49135,72134,67681,52595
AT1G03230,9203,9020,12490,4785,5740,5054
AT1G03240,21,33,20,3,14,14
AT1G03250,1778,1713,2204,1536,1562,1605
AT1G03260,1081,1043,1320,714,860,817
AT1G03270,398,317,352,299,335,282
AT1G03280,3717,3469,4552,2929,3395,3429
AT1G03290,3076,2666,3779,3358,3735,4076
AT1G03300,367,324,394,165,216,206
AT1G03310,1216,1048,1342,889,1231,1195
AT1G03320,4,4,8,0,6,2
AT1G03330,3791,3386,3704,2360,3381,2331
AT1G03340,210,197,217,526,349,235
AT1G03350,4229,3978,5208,3353,3894,3831
AT1G03360,2499,2365,2707,895,1466,1178
AT1G03365,1814,1910,2547,1340,1497,1609
AT1G03370,3268,3066,4321,2235,2121,2672
AT1G03380,3749,2841,3978,3991,3327,4109
AT1G03390,3,6,8,6,24,3
AT1G03400,91,60,88,49,24,53
AT1G03410,3097,3020,3213,1178,1744,1354
AT1G03430,1365,1295,1775,880,1008,946
AT1G03440,742,624,744,426,543,408
AT1G03445,29,18,28,10,16,16
AT1G03457,1130,1009,1379,672,845,664
AT1G03470,881,749,890,347,613,426
AT1G03475,2789,2480,3290,1589,1816,1975
AT1G03490,0,0,0,0,0,0
AT1G03495,516,547,676,236,302,226
AT1G03502,33,15,24,15,11,31
AT1G03506,52,30,35,22,19,25
AT1G03510,202,129,202,72,74,88
AT1G03515,0,0,0,0,0,0
AT1G03520,728,634,966,1087,1319,1285
AT1G03530,3358,2919,3814,1155,1211,1393
AT1G03540,225,167,214,93,123,133
AT1G03545,858,981,1056,625,523,616
AT1G03550,1052,1180,1254,745,635,718
AT1G03560,1086,1048,1434,733,937,839
AT1G03570,0,1,0,0,0,0
AT1G03590,2986,3439,4199,2167,3084,2738
AT1G03600,256,186,180,383,431,271
AT1G03610,1906,1668,1803,2875,2953,1781
AT1G03620,277,231,359,142,236,192
AT1G03630,181,136,213,208,163,223
AT1G03640,0,0,0,0,0,0
AT1G03650,397,389,365,154,280,166
AT1G03660,169,129,160,84,66,78
AT1G03670,4,0,4,2,0,0
AT1G03680,1063,858,1176,662,840,714
AT1G03687,1617,1407,1516,841,1211,945
AT1G03700,82,122,187,909,483,422
AT1G03710,12,12,10,10,8,14
AT1G03720,0,2,2,1,0,0
AT1G03730,1411,1080,2148,800,770,981
AT1G03740,4338,3525,5228,3333,2107,3634
AT1G03743,6,3,3,1,0,0
AT1G03746,15,3,3,4,2,0
AT1G03750,918,839,1138,908,954,972
AT1G03760,1538,1521,1628,798,1328,982
AT1G03770,1537,1535,1693,1202,1406,1302
AT1G03780,3070,2842,3023,1505,1805,1317
AT1G03790,20,21,26,2760,3323,2189
AT1G03800,75,86,94,86,125,93
AT1G03810,0,0,0,0,2,0
AT1G03820,5061,4613,7461,837,727,1072
AT1G03830,2181,1751,2259,910,1208,1119
AT1G03840,2281,1811,2493,775,892,701
AT1G03850,2256,2203,2510,1554,799,720
AT1G03860,9656,10088,11006,4511,7375,5209
AT1G03870,8193,11246,16979,1099,1095,1452
AT1G03880,20,8,14,0,2,2
AT1G03890,0,0,1,0,0,0
AT1G03900,11232,9968,12345,9085,10953,9262
AT1G03905,1288,1229,1819,1014,1356,1236
AT1G03910,5147,5061,5744,3213,3892,4008
AT1G03920,434,547,1007,326,298,560
AT1G03930,1846,1755,2488,1511,1800,1914
AT1G03935,57,58,65,25,45,35
AT1G03940,485,589,675,180,241,186
AT1G03950,1098,935,1276,855,939,874
AT1G03960,1294,1165,1696,863,985,1231
AT1G03970,1494,1345,1919,1273,1492,1523
AT1G03980,1345,1243,1635,829,1081,978
AT1G03982,1,0,1,0,0,0
AT1G03990,347,254,373,242,246,346
AT1G04000,1209,997,1732,696,844,811
AT1G04010,1449,1290,1741,979,1211,1191
AT1G04020,2010,2000,2262,1343,1529,1347
AT1G04030,11196,10693,13459,3747,4511,3928
AT1G04040,22609,25479,30478,7414,8370,8008
AT1G04050,686,669,812,311,424,385
AT1G04070,1309,1174,1512,624,674,665
AT1G04080,12086,10531,12058,7259,8905,8197
AT1G04090,90,132,170,64,92,72
AT1G04100,419,408,648,552,500,523
AT1G04110,12,16,16,5,8,8
AT1G04120,15907,13682,19761,17386,18113,22738
AT1G04130,1539,1552,1811,1206,1609,1433
AT1G04140,9922,8946,11406,7865,8890,9193
AT1G04150,72,66,29,14,58,16
AT1G04160,1355,1166,1724,914,858,1097
AT1G04170,13944,13956,15505,6771,8736,7935
AT1G04171,5,0,0,0,0,0
AT1G04180,734,428,755,413,397,621
AT1G04190,5477,4939,5989,2412,3035,2848
AT1G04200,4759,4182,5871,2877,3226,3675
AT1G04210,7195,6912,8754,4739,5665,5973
AT1G04220,2211,2049,3999,28039,25554,23888
AT1G04230,1210,1148,1280,1160,1433,1220
AT1G04240,364,243,500,284,375,346
AT1G04250,5477,6171,11270,3067,4225,4331
AT1G04260,1473,1209,1763,898,1223,981
AT1G04270,51860,47658,49983,23743,38218,24573
AT1G04280,4049,3928,5702,2389,1981,2542
AT1G04290,1565,1356,1791,793,926,873
AT1G04295,1297,1214,1572,680,822,784
AT1G04300,6807,5711,7360,5407,5803,6458
AT1G04310,681,593,883,902,1179,1449
AT1G04320,0,0,0,0,0,0
AT1G04330,324,227,495,50,74,47
AT1G04340,3713,3344,3962,1768,2481,1990
AT1G04350,235,313,286,208,193,218
AT1G04360,1065,922,1683,3247,1604,2123
AT1G04370,57,32,59,4,6,3
AT1G04380,43,33,51,24,60,32
AT1G04390,1096,973,1101,740,896,1034
AT1G04400,6836,6623,8947,7769,8002,8834
AT1G04410,84907,79865,97134,50277,62128,58099
AT1G04420,499,569,608,421,426,369
AT1G04425,1013,801,1096,506,798,532
AT1G04430,11811,12204,16760,4914,5889,5998
AT1G04440,7516,7056,9921,9884,9819,9771
AT1G04445,24,28,29,27,20,22
AT1G04450,3,1,0,2,2,6
AT1G04470,4,8,6,11,8,2
AT1G04480,19666,19000,20807,8826,15355,10306
AT1G04490,296,257,419,226,298,281
AT1G04500,9,17,25,14,8,18
AT1G04501,0,0,0,0,0,0
AT1G04510,6399,5860,7202,3395,4413,4040
AT1G04520,3691,3658,4444,944,1484,1247
AT1G04530,2338,2159,3086,2166,2419,2152
AT1G04540,589,626,797,494,631,604
AT1G04550,1572,1258,1924,797,1081,1058
AT1G04555,673,594,872,552,749,569
AT1G04560,0,0,2,1991,3481,1816
AT1G04570,77,80,82,155,187,179
AT1G04580,15,16,17,20,17,46
AT1G04590,3711,3443,3881,1772,2666,2214
AT1G04600,240,192,224,152,185,179
AT1G04610,422,293,609,210,354,413
AT1G04620,188,170,226,218,219,283
AT1G04625,364,225,329,178,209,161
AT1G04630,3667,3545,4274,2373,3394,2423
AT1G04635,442,438,536,173,231,243
AT1G04640,623,520,552,285,368,285
AT1G04645,0,0,0,0,2,0
AT1G04650,491,448,529,258,310,291
AT1G04660,8,12,20,14,8,14
AT1G04670,6,8,17,2,6,4
AT1G04680,8655,8523,11989,2358,2673,2885
AT1G04684,0,0,0,0,0,0
AT1G04690,9385,9222,11346,6204,8095,7263
AT1G04700,349,507,713,340,268,354
AT1G04710,1293,1179,1353,788,1013,847
AT1G04720,0,0,3,0,0,0
AT1G04730,1300,1244,1532,769,842,1044
AT1G04750,10027,8923,11706,6498,8450,7209
AT1G04760,367,354,436,187,267,199
AT1G04770,3399,3864,4055,2818,3598,3624
AT1G04778,128,92,112,74,74,85
AT1G04780,6126,4918,6628,4872,5167,5394
AT1G04790,2373,2179,2795,1724,2310,2206
AT1G04800,28,11,16,15,8,4
AT1G04810,7520,6045,7992,5538,6282,6470
AT1G04820,49813,53788,64597,23096,32859,28246
AT1G04830,2080,1944,2594,2020,2532,2227
AT1G04840,191,198,248,70,69,80
AT1G04850,13601,12599,15555,10293,12543,12039
AT1G04860,4154,3714,4570,2572,3131,3231
AT1G04870,6569,5655,6119,2666,3619,2904
AT1G04880,84,78,89,48,64,52
AT1G04890,1,0,0,1,0,0
AT1G04900,2730,2840,2656,1237,1811,1344
AT1G04910,3282,3053,4316,2203,2593,2782
AT1G04920,22,16,11,24,5,12
AT1G04930,596,639,837,348,475,464
AT1G04940,1487,1380,1696,955,1246,1050
AT1G04945,2907,2807,3368,1569,1980,1827
AT1G04950,2602,2277,2733,1810,2326,2189
AT1G04960,2193,2163,2725,1999,2087,2150
AT1G04970,3467,3179,3911,4091,4308,4667
AT1G04980,3140,3680,4711,1431,1785,1552
AT1G04985,2367,2317,2575,1996,2416,2196
AT1G04990,3088,2763,4452,3906,4727,4229
AT1G05000,2982,2185,4497,1536,1338,1943
AT1G05010,2627,2448,3767,2305,1947,2495
AT1G05020,20,66,90,23,14,40
AT1G05030,662,669,957,509,566,604
AT1G05040,0,0,3,0,4,0
AT1G05055,1387,1223,1643,744,862,871
AT1G05060,1585,1633,2776,1036,1208,1325
AT1G05065,162,110,150,69,77,76
AT1G05070,1640,1629,1866,982,1637,1368
AT1G05080,0,2,0,0,0,0
AT1G05085,0,0,0,0,0,0
AT1G05090,291,308,414,236,292,315
AT1G05100,90,85,137,2863,3171,2070
AT1G05120,2986,2674,3680,2746,2927,3180
AT1G05136,2,10,3,16,10,17
AT1G05140,551,506,833,608,676,782
AT1G05150,3919,3699,4871,2653,3218,3427
AT1G05160,1104,882,1248,692,851,885
AT1G05170,1196,1215,1856,980,1433,1320
AT1G05180,4998,4416,5313,2736,3415,3148
AT1G05190,1167,1139,1195,770,906,642
AT1G05200,875,668,1167,244,331,458
AT1G05205,3458,2995,3802,1860,2580,2029
AT1G05210,1206,1042,1318,376,668,435
AT1G05220,655,770,781,346,564,426
AT1G05230,372,325,413,218,288,270
AT1G05240,15,27,34,0,0,4
AT1G05250,9,15,37,1,2,0
AT1G05260,7592,8460,13617,9725,11460,10591
AT1G05270,3216,2844,3847,2645,2794,2793
AT1G05280,956,1056,1724,808,994,1143
AT1G05290,0,0,0,0,0,0
AT1G05291,0,0,0,0,0,0
AT1G05300,941,1052,2349,357,404,695
AT1G05310,62,68,335,93,118,241
AT1G05320,1578,1906,3012,1998,1807,2189
AT1G05330,6,12,11,11,8,14
AT1G05340,1559,1100,1387,10720,11909,5506
AT1G05350,3862,4227,4559,2399,3361,2917
AT1G05360,1940,1764,2589,1309,1687,1855
AT1G05370,465,406,498,204,299,222
AT1G05380,3441,3292,4694,3008,2878,3674
AT1G05385,230,213,242,154,295,170
AT1G05390,0,0,0,0,0,0
AT1G05400,240,170,303,141,150,216
AT1G05410,1914,1963,2328,1527,2163,1629
AT1G05420,83,46,126,31,24,30
AT1G05430,1883,2027,2131,1180,1764,1544
AT1G05440,484,509,497,245,294,173
AT1G05450,134,147,257,6758,4272,2319
AT1G05460,1184,990,1240,973,868,917
AT1G05470,1684,1089,2010,550,718,665
AT1G05490,268,290,250,180,227,252
AT1G05500,4282,4289,5572,3270,3966,3939
AT1G05510,35,35,33,18,30,31
AT1G05520,6353,5859,8338,4073,4588,5194
AT1G05530,468,343,436,244,128,202
AT1G05540,28,43,70,19,12,8
AT1G05550,1,3,2,5,0,0
AT1G05560,363,413,766,1583,1568,1038
AT1G05562,283,368,643,1311,1308,921
AT1G05570,7506,5946,9006,1982,1811,2745
AT1G05575,310,330,452,65,80,76
AT1G05577,235,190,123,76,118,74
AT1G05580,0,0,0,0,0,0
AT1G05590,1113,1132,1482,601,618,711
AT1G05600,440,449,555,192,263,339
AT1G05610,74,47,96,38,60,61
AT1G05615,1,0,0,2,0,0
AT1G05620,4846,5400,7053,3860,5209,4425
AT1G05630,1315,1444,1714,732,863,1038
AT1G05640,572,486,681,357,296,348
AT1G05650,272,286,442,97,28,35
AT1G05660,927,770,907,451,231,307
AT1G05670,983,937,1063,501,689,732
AT1G05675,27,44,50,21,4,12
AT1G05680,569,581,1118,2915,2630,2925
AT1G05690,142,144,152,53,84,71
AT1G05700,4725,4153,4524,119,84,171
AT1G05710,3617,3058,4468,1741,2054,2146
AT1G05720,3531,3159,3659,1896,2729,2217
AT1G05730,1681,1648,2000,773,1255,1071
AT1G05740,4,10,8,4,6,6
AT1G05750,1213,1111,1637,923,1288,1221
AT1G05760,823,716,1184,713,1007,952
AT1G05770,195,120,199,124,213,157
AT1G05780,996,955,1156,676,744,605
AT1G05785,1008,1000,1259,625,840,716
AT1G05790,1490,1357,1676,1378,1520,1541
AT1G05800,0,0,0,2,0,0
AT1G05805,1642,1619,2090,583,516,591
AT1G05810,821,789,1038,267,299,356
AT1G05820,246,207,297,178,126,165
AT1G05830,4255,3519,4820,2753,3016,3690
AT1G05835,226,131,189,123,162,117
AT1G05840,2548,2029,2535,2118,2527,2382
AT1G05850,21666,18731,28494,13505,16221,14903
AT1G05860,1232,1190,1444,762,1082,985
AT1G05870,3184,3332,4308,2529,4209,3521
AT1G05880,104,115,70,18,14,12
AT1G05890,6718,5699,6988,5220,6036,6243
AT1G05894,60,60,60,26,31,48
AT1G05900,572,486,698,507,479,691
AT1G05910,4100,3581,5085,1958,2090,2723
AT1G05920,0,0,0,0,0,0
AT1G05925,0,0,0,0,0,0
AT1G05930,0,4,3,0,0,5
AT1G05940,3169,2444,3389,2162,2462,2457
AT1G05950,854,951,1006,503,644,604
AT1G05960,6044,5475,7890,4371,5574,5599
AT1G05970,513,611,512,333,562,444
AT1G05980,0,0,1,0,2,0
AT1G05990,58,61,117,10,15,17
AT1G06000,5288,5497,12521,3885,6715,9825
AT1G06002,3378,3440,8093,2523,4143,6376
AT1G06010,1455,1532,1621,920,1660,1119
AT1G06020,41,12,50,16,38,48
AT1G06030,36,60,67,13,22,26
AT1G06040,7623,5223,9347,2051,5523,5527
AT1G06050,441,376,522,426,605,498
AT1G06060,1511,1304,1792,1097,1610,1400
AT1G06070,2709,2727,3443,1975,2509,2517
AT1G06080,935,592,550,1112,1200,788
AT1G06090,530,783,2062,698,923,1473
AT1G06100,8,9,2,8,4,7
AT1G06110,3955,3380,3815,2884,4139,3611
AT1G06120,95,69,159,48,38,68
AT1G06130,2364,1911,2510,1581,2050,1928
AT1G06135,14,4,14,6,4,10
AT1G06137,5,0,0,2,0,0
AT1G06140,180,163,209,51,71,83
AT1G06148,26,18,20,8,5,6
AT1G06149,3413,2852,4329,1880,2227,2537
AT1G06150,3729,3122,4689,2005,2444,2807
AT1G06160,285,198,339,18,11,54
AT1G06170,59,58,66,28,24,29
AT1G06180,1572,1357,1869,854,1289,1256
AT1G06190,2147,1879,2227,980,1523,1119
AT1G06200,4575,4120,4734,2953,3846,3256
AT1G06210,3667,4002,4900,3354,3823,4005
AT1G06220,9508,8189,10743,4703,5110,5642
AT1G06225,2,2,6,0,0,0
AT1G06230,5816,4848,6746,4559,4606,5258
AT1G06240,863,920,1107,493,702,642
AT1G06250,171,198,160,112,199,176
AT1G06260,126,113,125,106,120,116
AT1G06265,281,277,288,196,341,281
AT1G06270,660,692,741,455,542,552
AT1G06280,0,0,0,0,0,0
AT1G06290,7097,6555,8944,6664,6202,7148
AT1G06310,485,387,417,134,208,164
AT1G06320,121,142,188,48,71,59
AT1G06330,183,125,183,88,100,108
AT1G06340,2,2,1,0,0,2
AT1G06350,519,674,480,310,672,347
AT1G06360,6,1,4,6,12,8
AT1G06380,1267,1452,1572,539,822,635
AT1G06390,6438,5908,7142,4195,5406,5023
AT1G06400,4719,3989,5182,3880,4597,4101
AT1G06410,7794,7594,10128,6208,6489,6893
AT1G06420,316,326,306,161,223,230
AT1G06430,2038,1773,2696,2858,4099,4016
AT1G06440,378,346,450,166,192,244
AT1G06450,451,409,669,288,315,341
AT1G06460,311,206,316,221,170,224
AT1G06470,2957,2838,3994,1878,1941,2189
AT1G06475,384,280,385,193,236,199
AT1G06480,0,0,0,2,0,0
AT1G06490,2200,1509,2262,1144,1335,1532
AT1G06500,1053,932,1343,697,946,820
AT1G06510,634,596,755,383,614,548
AT1G06515,2370,2605,2953,1552,2423,1772
AT1G06520,644,581,919,617,593,619
AT1G06530,3451,3625,4523,2364,2629,2682
AT1G06540,82,89,163,73,58,114
AT1G06550,11170,10134,17451,9309,10109,12210
AT1G06560,2369,2311,2441,1332,1892,1612
AT1G06570,1512,1150,1720,5602,5594,4736
AT1G06580,340,317,336,203,304,262
AT1G06590,2398,2071,2546,1158,1501,1506
AT1G06610,0,0,0,0,0,0
AT1G06620,4011,4116,5893,1898,2255,2523
AT1G06630,3317,3167,3938,2620,3305,3258
AT1G06640,17815,14001,22270,12337,14859,15450
AT1G06645,36,33,39,12,106,30
AT1G06650,1712,1308,1889,1167,1150,1315
AT1G06660,1242,1176,1039,675,1121,656
AT1G06670,8069,7237,8600,3720,4093,4950
AT1G06680,1543,1263,1903,1582,1310,1549
AT1G06690,375,400,649,316,532,553
AT1G06700,5751,5567,6560,5410,6730,6145
AT1G06710,946,843,1146,411,538,528
AT1G06720,6552,5981,7180,2328,2801,3057
AT1G06730,1210,1295,1618,770,981,901
AT1G06750,223,193,239,118,93,116
AT1G06760,19407,16762,22227,14013,17133,16538
AT1G06770,920,833,1026,613,758,733
AT1G06780,2998,2631,3989,2557,3128,3439
