gene,Atha_WT.Col.0_sl_FLT_Rep1_G1S1,Atha_WT.Col.0_sl_FLT_Rep2_G1S2,Atha_WT.Col.0_sl_FLT_Rep3_G1S3,Atha_WT.Col.0_sl_GC_Rep1_G2S1,Atha_WT.Col.0_sl_GC_Rep2_G2S2,Atha_WT.Col.0_sl_GC_Rep3_G2S3
AT1G16360,12.32501695,18.71769823,29.94283314,12.42844932,16.86690969,13.00303517
AT1G16370,114.2118237,248.3214632,249.9074919,126.5442113,336.4504618,240.5561507
AT1G16380,3.286671187,7.487079293,11.51647428,18.07774446,9.76505298,5.688827889
AT1G16390,205.4169492,547.804635,495.2083942,155.920546,407.4690289,220.2389083
AT1G16400,19.72002712,21.21339133,50.67248685,50.84365631,87.88547682,65.82786557
AT1G16410,1.643335593,8.734925842,16.123064,16.94788544,15.9791776,2.438069095
AT1G16420,8.216677966,8.734925842,24.18459599,23.72703961,15.09144551,13.00303517
AT1G16430,46.83506441,32.44401027,28.79118571,16.94788544,33.73381938,34.13296733
AT1G16440,36.15338305,32.44401027,56.43072399,51.97351534,71.01856713,43.88524371
AT1G16445,40.26172204,46.17032231,48.36919199,32.76591184,31.95835521,30.06951884
AT1G16450,0,0,0,0,0,0
AT1G16460,365.6421695,324.4401027,322.4612799,345.7368629,431.4377953,504.6803027
AT1G16470,958.0646509,989.5423133,811.911437,535.5531798,740.3685623,753.3633504
AT1G16480,80.52344407,59.89663435,71.40214056,77.960273,69.24310295,58.51365828
AT1G16489,63.26842034,58.6487878,74.85708284,50.84365631,48.8252649,57.70096858
AT1G16490,58.33841356,83.60571878,51.82413427,40.67492504,44.38660445,49.5740716
AT1G16500,82.98844746,114.8018825,100.1933263,88.12900426,89.660941,84.51972863
AT1G16510,63.26842034,86.10141187,122.0746274,163.8295592,84.33454846,119.4653857
AT1G16515,24.6500339,36.18754992,55.27907656,9.038872232,24.85649849,24.38069095
AT1G16520,723.8893288,481.6687679,490.6018045,480.1900873,326.6854088,467.2965766
AT1G16530,10.68168136,11.23061894,17.27471142,4.519436116,11.54051716,7.314207285
AT1G16540,205.4169492,199.6554478,157.7756977,199.9850481,182.8728103,199.9216658
AT1G16560,1390.261912,1251.590089,1091.761762,1517.400676,1083.033149,1458.778009
AT1G16570,233.3536542,234.5951512,236.0877228,172.8684314,229.9226111,233.2419434
AT1G16590,105.9951458,54.90524815,52.9757817,77.960273,44.38660445,65.82786557
AT1G16610,1257.973397,1333.947961,1396.948331,1386.337029,1403.504433,1305.179656
AT1G16630,223.4936407,200.9032944,178.5053514,296.0230656,254.7791096,234.0546331
AT1G16635,44.37006102,59.89663435,62.18896113,24.85689864,33.73381938,30.06951884
AT1G16640,6.573342373,6.239232745,8.061531998,2.259718058,11.54051716,7.314207285
AT1G16650,115.8551593,74.87079293,81.76696741,64.40196465,80.78362011,74.76745225
AT1G16670,276.0803797,304.4745579,283.3052674,413.5284046,444.7537766,459.1696796
AT1G16680,438.7706034,341.9099544,324.7645748,375.1131976,319.5835521,355.1453982
AT1G16690,178.3019119,160.9722048,160.0789925,103.9470307,127.8334208,125.9669032
AT1G16700,551.3390915,606.4534228,532.0611119,301.6723607,539.7411102,456.7316105
AT1G16705,24.6500339,13.72631204,6.90988457,7.909013203,2.663196267,6.501517587
AT1G16710,1182.379959,930.8935255,931.6827695,1195.390853,1085.696345,1143.454406
AT1G16720,399.3305492,486.6601541,504.4215736,367.2041844,452.7433654,390.9037449
AT1G16730,345.1004746,34.93970337,26.48789085,172.8684314,31.07062312,101.5862123
AT1G16740,487.2490034,419.2764404,438.7776702,312.970951,334.6749976,303.1332575
AT1G16750,225.9586441,269.5348546,179.6569988,105.0768897,144.7003305,143.0333869
AT1G16760,2.46500339,1.247846549,8.061531998,16.94788544,11.54051716,4.87613819
AT1G16770,138.8618576,24.95693098,28.79118571,91.51858135,32.8460873,52.82483039
AT1G16780,463.4206373,304.4745579,301.7316262,258.7377176,201.5151842,238.9307713
AT1G16790,276.9020475,298.2353252,239.5426651,171.7385724,173.9954895,197.4835967
AT1G16800,590.7791458,540.3175557,489.450157,455.3331887,537.965646,498.1787851
AT1G16810,1008.186386,1124.309741,1062.970576,947.9517253,1006.688189,1107.696059
AT1G16820,2329.428203,2297.285497,2359.725581,534.4233207,1193.99966,2077.234869
AT1G16825,65.73342373,61.1444809,71.40214056,35.0256299,47.04980072,39.82179522
AT1G16830,44.37006102,41.17893611,28.79118571,41.80478407,41.72340819,27.63144974
AT1G16840,808.5211119,869.7490446,852.219097,829.3165273,798.0711481,964.662672
AT1G16850,469.1723119,310.7137907,298.2766839,479.0602283,187.3114708,272.251049
AT1G16860,1746.044068,1926.675072,1835.726001,1864.267398,1726.638913,1729.403678
AT1G16870,639.2575458,428.0113663,467.5688559,359.2951712,371.0720132,404.7194698
AT1G16880,2884.053966,3849.606603,3747.460732,2126.394693,3109.725508,2264.966189
AT1G16890,1154.443254,1407.570907,1461.440587,1067.716782,1553.531156,1524.605874
AT1G16900,456.0256271,368.1147319,324.7645748,253.0884225,328.460873,347.0185012
AT1G16905,14.79002034,9.982772391,12.66812171,30.50619378,38.17247983,26.81876005
AT1G16910,0.821667797,1.247846549,1.151647428,6.779154174,3.550928356,4.063448492
AT1G16916,86.27511865,114.8018825,86.37355712,65.53182368,90.54867308,95.08469471
AT1G16920,1170.87661,955.8504565,843.0059175,837.2255405,684.4414407,820.8165954
AT1G16930,189.805261,220.8688392,173.8987617,209.0239204,203.2906484,242.9942198
AT1G16940,0,1.247846549,6.90988457,7.909013203,5.326392534,1.625379397
AT1G16945,0,0,0,0,0,0
AT1G16950,0,0,2.303294857,3.389577087,0,0
AT1G16960,29.58004068,32.44401027,19.57800628,19.20760349,13.31598134,25.19338065
AT1G16970,175.8369085,178.4420565,163.5339348,197.7253301,192.6378633,214.5500804
AT1G16980,0.821667797,2.495693098,0,0,0,0.812689698
AT1G17000,0,0,1.151647428,0,0,0
AT1G17010,13.14668475,12.47846549,3.454942285,11.29859029,3.550928356,4.063448492
AT1G17020,148.7218712,173.4506703,155.4724028,305.0619378,188.1992029,235.6800125
AT1G17030,0,1.247846549,4.606589713,7.909013203,4.438660445,7.314207285
AT1G17040,85.45345085,131.0238876,95.58673655,110.7261848,85.22228055,82.08165954
AT1G17050,221.0286373,209.6382202,240.6943125,179.6475856,171.3322932,166.6013882
AT1G17060,411.6555661,581.4964918,477.9336828,755.8756904,679.1150481,711.1034861
AT1G17065,73.1284339,89.84495152,74.85708284,101.6873126,90.54867308,99.1481432
AT1G17070,233.3536542,203.3989875,207.2965371,167.2191363,210.3925051,185.2932512
AT1G17080,829.8844746,1038.208329,775.0587193,1039.470307,885.9566249,987.4179835
AT1G17090,20.54169492,28.70047062,31.09448056,5.649295145,24.85649849,26.00607035
AT1G17100,667.1942509,596.4706504,544.7292336,371.7236205,374.6229416,397.4052625
AT1G17110,1425.593627,1116.822661,1066.425519,1107.261848,1017.340974,1134.514819
